timestamp,x,y,pol
13,50,40,0
13,49,39,1
13,49,40,1
13,50,39,1
13,51,40,1
13,49,40,0
13,49,39,0
13,49,40,1
13,14,49,0
13,16,50,0
13,39,17,1
13,17,50,0
13,39,17,1
13,18,49,0
13,19,49,0
13,20,49,0
13,21,49,0
13,22,49,0
13,38,17,1
13,50,40,0
13,81,49,0
13,125,49,0
13,98,50,0
13,35,31,1
13,32,56,0
13,49,39,1
13,106,49,0
13,40,17,1
13,114,49,0
13,40,17,1
13,115,49,0
13,38,17,1
13,50,39,0
13,50,39,0
13,50,40,0
13,36,13,0
13,46,50,0
13,118,3,1
13,51,49,0
13,79,49,0
13,81,49,0
13,82,49,0
13,83,49,0
13,85,49,0
13,86,49,0
13,87,33,1
13,49,40,0
13,49,39,1
13,49,39,1
13,49,39,1
13,49,39,1
13,50,39,0
13,50,39,0
13,49,38,0
13,50,40,0
13,50,39,1
13,49,40,0
13,49,39,0
13,49,38,0
13,50,39,0
13,50,39,0
13,49,40,1
13,50,40,0
13,50,39,1
13,49,40,0
13,49,40,0
13,49,39,0
13,50,39,0
13,50,39,0
13,49,38,0
13,49,40,1
13,50,40,0
13,50,39,1
13,49,40,0
13,50,39,0
13,50,39,0
13,49,39,0
13,49,40,1
13,48,39,0
13,48,39,0
13,50,40,0
13,49,38,0
13,49,39,1
13,49,40,1
13,50,39,1
13,49,40,0
13,49,39,0
13,49,38,0
13,50,39,0
13,50,39,0
13,49,40,1
13,50,40,0
13,51,123,1
13,51,123,1
13,49,39,1
13,49,40,1
13,50,39,1
13,48,39,1
13,49,40,0
13,49,39,0
13,50,39,0
13,50,39,0
13,50,39,0
13,48,39,0
13,48,39,0
13,49,40,1
13,50,40,0
13,49,39,1
13,49,40,1
13,50,39,1
13,37,122,1
13,49,40,0
13,14,11,1
13,70,22,1
13,42,32,1
13,49,39,0
13,42,104,1
13,48,39,0
13,50,39,0
13,50,39,0
13,49,40,1
13,50,40,0
13,49,39,1
13,49,40,1
13,50,39,1
13,48,39,1
13,48,39,1
13,48,39,1
13,49,40,0
13,49,39,0
13,50,39,0
13,50,39,0
13,50,39,0
13,49,40,1
13,50,40,0
13,49,39,1
13,49,40,1
13,50,39,1
13,49,40,0
13,49,39,0
13,50,39,0
13,50,39,0
13,50,39,0
13,49,40,1
13,50,40,0
13,49,39,1
13,49,40,1
13,50,39,1
13,49,40,0
13,49,39,0
13,50,39,0
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,50,40,0
13,49,38,0
13,49,39,1
13,50,39,1
13,125,8,1
13,49,39,0
13,49,40,0
13,49,38,0
13,49,39,1
13,50,39,0
13,50,39,0
13,49,39,1
13,48,39,0
13,48,39,0
13,50,40,0
13,49,40,1
13,50,39,1
13,22,72,1
13,49,40,0
13,49,39,0
13,50,39,0
13,50,39,0
13,50,39,0
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,40,1
13,49,38,0
13,50,40,0
13,49,39,1
13,40,114,1
13,49,40,1
13,80,91,1
13,50,39,1
13,59,111,1
13,26,63,1
13,87,112,1
13,37,20,1
13,17,32,1
13,106,18,1
13,72,54,1
13,65,72,1
13,59,73,1
13,97,70,1
13,95,66,1
13,55,19,1
13,56,37,1
13,105,127,1
13,22,8,1
13,49,40,0
13,49,39,0
13,49,38,0
13,50,39,0
13,50,39,0
13,49,40,1
13,48,39,0
13,50,40,0
13,49,39,1
13,49,40,1
13,113,61,1
13,86,102,1
13,50,39,1
13,25,102,1
13,49,40,0
13,49,39,0
13,50,39,0
13,50,39,0
