timestamp,neuron
37,3
37,10
37,47
38,52
38,0
39,12
39,9
39,2
39,8
40,50
40,109
40,6
41,5
41,112
41,13
41,111
43,49
43,51
43,53
44,56
44,110
45,11
45,7
45,1
45,46
46,108
46,58
46,14
46,57
46,4
46,59
46,54
47,45
48,55
48,3
48,0
49,10
49,12
50,8
50,47
51,6
51,9
52,52
52,2
54,109
55,13
55,5
56,111
56,112
57,50
59,110
60,11
60,49
61,108
61,1
62,7
62,51
62,53
62,4
63,56
63,46
63,0
64,12
64,3
64,14
64,8
64,58
64,10
65,6
67,54
67,59
67,57
67,13
67,9
67,111
67,2
67,109
67,45
67,112
67,47
67,52
67,55
68,5
70,110
71,50
72,11
72,108
76,1
77,49
77,0
78,4
79,12
79,7
79,8
80,3
80,46
80,6
81,10
81,51
81,56
81,53
81,14
82,111
82,13
82,112
83,109
83,58
83,9
83,2
83,5
84,110
85,47
85,52
85,108
85,59
85,11
85,54
86,57
87,45
87,1
87,0
87,55
87,50
89,12
90,49
90,4
90,8
91,6
91,3
92,7
94,46
96,13
96,10
96,111
97,112
98,109
98,56
99,14
99,110
99,51
100,9
100,5
100,108
100,53
100,2
101,58
101,11
102,0
102,52
103,47
103,1
103,12
104,8
104,59
104,6
105,4
105,54
105,50
105,57
105,3
106,45
106,49
106,55
107,7
107,13
107,111
108,46
108,10
108,112
110,110
111,109
111,108
112,56
113,5
114,9
114,14
115,11
115,0
115,2
115,51
118,12
118,53
119,1
119,58
119,8
120,6
120,52
120,47
121,4
121,3
122,111
122,13
123,59
123,112
123,50
123,7
123,49
124,10
124,110
124,46
124,57
124,45
124,54
125,108
125,109
125,55
126,0
126,11
126,5
127,9
127,56
128,2
128,12
128,14
129,51
130,8
130,6
131,1
134,58
134,53
135,3
135,4
136,47
137,111
137,52
137,13
139,112
139,110
139,108
140,0
140,10
141,7
141,49
141,109
141,50
141,46
141,59
142,11
142,5
143,12
143,9
144,8
144,57
144,54
144,45
144,2
144,6
145,55
145,56
145,1
145,14
146,51
146,3
147,4
147,111
148,13
148,58
149,53
149,47
149,112
150,52
150,110
150,108
151,0
155,10
156,7
157,109
157,11
157,12
158,49
158,46
159,5
159,8
159,50
159,6
160,59
160,9
161,2
161,1
162,3
162,111
163,56
163,13
163,57
163,45
163,4
163,54
163,14
164,112
164,108
164,55
164,110
164,0
165,51
165,58
166,47
166,53
167,52
168,10
168,12
168,11
168,109
169,7
170,8
170,6
171,46
171,5
171,49
175,50
176,9
176,59
176,1
177,111
177,3
177,2
178,13
179,0
179,108
179,4
179,112
179,110
181,14
181,56
182,12
183,45
183,57
183,11
183,54
184,109
184,10
184,8
184,58
184,47
184,52
184,6
184,51
185,55
185,7
185,5
186,46
186,53
187,49
188,1
188,111
188,9
188,3
189,13
189,0
189,50
189,108
190,2
190,59
190,110
191,4
191,112
197,12
198,14
198,11
199,56
199,8
199,6
199,109
200,10
202,5
202,47
202,7
202,52
202,111
202,58
203,45
203,0
203,57
203,1
203,54
203,108
204,3
204,13
204,46
204,51
204,110
204,9
204,49
204,112
205,55
205,53
205,4
205,2
207,50
207,12
208,59
209,11
209,8
211,6
212,14
213,109
214,56
214,10
217,111
217,0
217,5
218,108
219,7
219,110
219,13
219,1
219,3
219,47
220,112
220,52
221,58
221,9
221,4
221,46
222,12
222,2
222,49
223,45
223,57
224,8
224,51
224,54
224,11
224,6
224,53
225,55
225,50
226,109
226,59
227,10
227,0
227,14
228,111
228,56
228,108
229,5
230,13
230,110
231,3
231,1
232,7
232,112
235,12
235,47
236,4
237,52
237,9
238,46
239,58
239,8
239,2
239,6
240,11
240,49
241,0
242,109
242,51
243,111
243,45
243,10
243,108
243,57
243,53
243,54
244,50
244,110
244,5
244,13
244,14
245,3
245,112
245,55
245,59
245,1
246,56
246,12
247,7
248,4
249,8
249,47
250,9
250,6
251,52
251,11
252,2
252,46
253,0
254,58
257,49
257,111
257,108
258,109
259,110
259,10
260,13
260,112
261,5
261,3
261,51
261,12
262,1
262,53
262,14
263,50
263,4
263,45
263,7
263,8
263,57
264,6
264,54
265,11
265,0
265,9
265,56
266,59
266,2
266,55
266,47
267,52
267,46
268,108
268,111
269,58
270,109
270,49
270,110
271,13
272,10
274,12
274,112
275,3
276,5
277,1
278,8
279,6
279,4
279,0
280,14
280,11
280,7
280,51
282,9
282,53
282,50
282,108
282,2
283,111
284,110
284,47
284,45
284,57
284,54
284,52
285,109
285,46
285,56
285,13
285,12
286,10
286,59
286,112
286,58
286,49
286,55
286,3
287,5
288,1
289,8
289,6
289,0
291,4
292,11
295,7
297,108
297,14
298,111
298,51
298,9
299,110
299,2
300,50
300,53
300,12
300,13
300,109
301,112
302,46
302,47
302,10
302,52
302,3
303,8
303,56
303,0
303,5
303,6
303,49
303,45
304,57
304,1
304,58
304,54
304,59
305,11
305,4
305,55
307,108
308,7
309,111
310,9
310,14
310,110
311,12
313,51
313,13
313,2
316,109
316,112
317,3
318,0
318,8
318,50
318,10
318,6
319,46
319,53
319,5
319,1
319,47
320,52
320,11
321,4
321,49
321,108
321,56
322,58
323,111
323,45
323,57
323,59
323,54
324,7
324,110
324,12
325,55
325,13
325,9
327,14
327,2
327,112
328,0
328,109
328,8
328,51
329,3
329,6
330,10
331,1
332,5
332,50
332,11
332,46
335,108
335,4
336,47
337,53
337,52
338,111
338,49
339,110
339,12
339,56
339,58
340,13
341,7
341,59
342,45
342,112
342,0
342,9
342,57
343,8
343,54
343,6
343,2
343,109
344,3
344,14
344,55
345,10
345,11
345,1
345,108
346,5
347,51
347,4
347,46
349,50
349,111
350,47
350,12
351,110
351,52
352,53
353,49
353,13
355,56
355,0
356,58
357,7
357,112
357,8
358,6
359,9
359,109
359,3
360,2
360,108
360,59
361,11
361,45
362,1
362,10
362,14
362,57
362,5
363,54
363,4
363,111
364,12
