timestamp,neuron
10954,45
11008,45
11062,45
11119,45
11175,45
11229,45
11284,45
11304,46
11341,45
11357,46
11401,45
11406,46
11458,46
11465,45
11509,46
11541,45
11560,46
11612,46
11654,47
11662,46
11710,47
11717,46
11765,47
11772,46
11821,47
11830,46
11878,47
11901,46
11935,47
11992,47
12009,112
12048,47
12050,126
12050,96
12051,90
12051,216
12051,162
12052,117
12053,160
12053,94
12053,200
12053,116
12053,172
12054,184
12054,186
12054,212
12054,174
12054,138
12054,132
12054,122
12055,156
12055,95
12055,154
12056,108
12056,144
12056,214
12056,159
12057,97
12057,134
12057,194
12057,153
12058,135
12058,0
12058,140
12059,120
12059,166
12059,152
12059,157
12061,182
12065,111
12067,92
12067,141
12067,188
12067,146
12069,105
12070,164
12071,112
12072,192
12076,201
12077,151
12077,178
12077,206
12095,91
12107,47
12111,96
12112,126
12114,90
12133,116
12135,118
12139,117
12152,112
12168,47
12172,96
12173,126
12174,216
12174,90
12177,162
12184,200
12186,94
12189,160
12193,184
12193,186
12212,212
12234,47
12235,112
12262,126
12270,96
12315,47
12315,112
12355,49
12395,112
12408,49
12412,90
12412,126
12414,134
12415,94
12416,152
12420,172
12421,146
12430,141
12432,93
12440,137
12441,117
12442,214
12462,49
12464,112
12487,90
12517,49
12535,112
12572,49
12580,90
12581,126
12585,134
12594,94
12598,152
12615,112
12625,49
12680,49
12683,112
12705,50
12712,90
12718,126
12724,194
12726,154
12737,49
12754,112
12763,50
12776,90
12795,49
12822,50
12824,112
12854,49
12863,90
12878,126
12881,50
12894,112
12919,49
12939,50
12976,112
12998,50
13032,49
13039,90
13039,126
13042,134
13047,94
13050,152
13055,51
13055,112
13058,50
13108,51
13112,126
13115,214
13115,94
13115,118
13118,172
13119,50
13121,99
13122,112
13122,90
13124,141
13129,195
13139,215
13163,51
13163,184
13185,50
13187,112
13192,90
13197,126
13201,194
13202,154
13219,51
13255,94
13256,112
13264,50
13273,90
13275,51
13283,126
13329,51
13331,112
13335,214
13336,94
13336,118
13339,172
13342,99
13344,90
13345,141
13351,195
13361,215
13384,51
13391,126
13405,52
13405,112
13407,118
13419,90
13424,178
13441,51
13462,52
13468,112
13500,51
13520,52
13536,112
13561,51
13578,52
13580,126
13617,112
13628,51
13634,214
13634,94
13635,118
13636,52
13637,172
13640,99
13643,90
13644,141
13649,195
13658,215
13693,52
13695,112
13709,51
13713,126
13713,90
13715,214
13715,94
13716,118
13718,172
13720,178
13721,99
13724,141
13749,52
13753,184
13755,53
13758,112
13762,164
13762,142
13763,97
13767,206
13771,117
13802,53
13807,52
13814,90
13817,178
13820,126
13823,94
13837,112
13838,141
13849,53
13856,194
13857,214
13857,162
13861,110
13866,52
13869,216
13876,90
13883,130
13893,97
13893,164
13896,142
13898,53
13898,174
13899,200
13900,112
13927,52
13934,90
13936,178
13939,126
13943,94
13944,53
13948,206
13955,141
13958,117
13971,214
13973,194
13976,112
13983,162
13989,52
13993,53
13996,90
14002,164
14003,142
14004,97
14025,99
14040,53
14043,112
14054,52
14087,53
14094,126
14094,194
14095,162
14095,214
14103,110
14104,90
14105,54
14107,112
14123,52
14124,216
14124,160
14129,96
14137,53
14137,106
14165,54
14168,112
14181,90
14185,126
14186,53
14196,194
14197,162
14197,214
14200,52
14224,54
14225,110
14236,112
14238,53
14283,54
14287,52
14291,53
14293,90
14295,126
14296,178
14297,194
14297,162
14297,214
14299,164
14300,142
14300,94
14301,97
14302,110
14305,206
14306,141
14309,117
14309,216
14316,130
14318,112
14320,174
14325,99
14326,172
14326,200
14329,0
14343,54
14350,53
14361,90
14392,52
14394,112
14402,54
14410,178
14416,126
14422,53
14455,55
14456,97
14458,112
14462,54
14472,90
14510,55
14515,126
14524,54
14526,112
14528,95
14532,96
14533,156
14534,52
14535,94
14540,90
14558,93
14559,152
14566,55
14575,162
14588,54
14590,112
14594,90
14595,126
14596,160
14598,96
14599,106
14603,142
14623,55
14659,54
14660,112
14680,55
14737,55
14737,112
14765,54
14781,90
14786,126
14794,55
14805,56
14807,112
14826,117
14851,55
14855,90
14855,126
14862,56
14870,95
14871,96
14874,156
14877,112
14885,94
14910,152
