timestamp,x,y,pol
21,61,35,1
21,92,71,1
21,8,122,1
21,52,113,1
21,28,23,1
21,60,41,1
21,21,104,1
21,62,114,1
21,19,54,1
21,98,3,1
21,37,84,1
21,82,102,1
21,51,115,1
21,82,108,1
21,111,4,1
21,123,33,1
21,43,111,1
21,84,82,1
21,101,9,1
21,76,68,1
21,77,106,1
21,65,51,1
21,21,27,1
21,94,28,1
21,80,13,1
21,15,109,1
21,107,114,1
21,73,94,1
21,16,123,1
21,73,43,1
21,52,121,1
21,2,112,1
21,22,33,1
21,13,89,1
21,28,77,1
21,79,112,1
21,43,125,1
21,73,118,1
21,28,47,1
21,83,123,1
21,87,126,1
21,43,31,1
21,2,95,1
21,118,114,1
21,1,11,1
21,8,126,1
21,55,62,1
21,126,98,1
21,86,74,1
21,25,46,1
21,40,8,1
21,65,21,1
21,11,121,1
21,90,22,1
21,41,14,1
21,9,75,1
21,24,30,1
21,120,117,1
21,79,67,1
21,75,35,1
21,80,60,1
21,9,51,1
21,24,55,1
21,9,95,1
21,29,85,1
21,37,11,1
21,96,23,1
21,96,95,1
21,62,36,1
21,93,67,1
21,51,100,1
21,2,105,1
21,50,85,1
21,18,68,1
21,83,99,1
21,15,12,1
21,49,97,1
21,96,45,1
21,94,32,1
21,28,19,1
21,112,67,1
21,60,49,1
21,81,106,1
21,7,116,1
21,31,73,1
21,2,1,1
21,43,4,1
21,4,53,1
21,94,109,1
21,58,46,1
21,103,124,1
21,119,89,1
21,90,116,1
21,17,91,1
21,34,58,1
21,1,35,1
21,101,15,1
21,59,111,1
21,67,75,1
21,30,110,1
21,43,56,1
21,30,119,1
21,3,53,1
21,101,43,1
21,70,98,1
21,13,18,1
21,27,125,1
21,8,5,1
21,19,17,1
21,33,1,1
21,101,83,1
21,127,38,1
21,72,15,1
21,19,22,1
21,81,36,1
21,51,66,1
21,19,3,1
21,31,36,1
21,101,89,1
21,89,73,1
21,28,71,1
21,108,102,1
21,37,77,1
21,39,63,1
21,14,24,1
21,70,50,1
21,82,87,1
21,14,70,1
21,14,74,1
21,34,27,1
21,89,108,1
21,35,71,1
21,47,103,1
21,5,36,1
21,0,15,1
21,5,101,1
21,125,49,1
21,127,36,1
21,47,37,1
21,44,39,1
21,61,14,1
21,105,21,1
21,127,31,1
21,89,126,1
21,50,53,1
21,70,37,1
21,43,92,1
21,67,81,1
21,63,56,1
21,116,19,1
21,74,10,1
21,33,25,1
21,41,115,1
21,121,26,1
21,121,71,1
21,83,68,1
21,106,83,1
21,91,57,1
21,85,84,1
21,30,98,1
21,91,0,1
21,5,97,1
21,5,79,1
21,65,10,1
21,64,17,1
21,37,122,1
21,3,118,1
21,77,119,1
21,42,75,1
21,71,72,1
21,16,119,1
21,29,123,1
21,6,8,1
21,3,107,1
21,44,61,1
21,85,57,1
21,3,20,1
21,108,57,1
21,109,119,1
21,77,112,1
21,106,29,1
21,4,42,1
21,96,124,1
21,25,33,1
21,96,97,1
21,92,69,1
21,96,48,1
21,116,48,1
21,2,90,1
21,120,93,1
21,35,107,1
21,17,83,1
21,25,71,1
21,20,65,1
21,127,79,1
21,84,116,1
21,39,30,1
21,34,63,1
21,34,17,1
21,121,123,1
21,48,31,1
21,80,47,1
21,27,17,1
21,108,122,1
21,71,63,1
21,126,126,1
21,21,77,1
21,21,63,1
21,98,92,1
21,7,13,1
21,120,76,1
21,42,40,1
21,49,87,1
21,70,44,1
21,41,94,1
21,11,84,1
21,108,124,1
21,116,119,1
21,10,35,1
21,58,51,1
21,0,120,1
21,99,28,1
21,10,54,1
21,37,123,1
21,63,112,1
21,3,99,1
21,23,60,1
21,3,47,1
21,117,63,1
21,47,72,1
21,71,32,1
21,9,90,1
21,47,105,1
21,8,15,1
21,82,0,1
21,100,27,1
21,76,84,1
21,0,63,1
21,78,17,1
21,3,42,1
21,10,68,1
21,26,29,1
21,14,121,1
21,113,48,1
21,47,79,1
21,106,63,1
21,4,33,1
21,109,38,1
21,111,81,1
21,35,18,1
21,97,91,1
21,56,106,1
21,90,42,1
21,70,56,1
21,0,43,1
21,56,54,1
21,87,24,1
21,71,29,1
21,91,65,1
21,6,125,1
21,47,48,1
21,43,13,1
21,72,10,1
21,6,30,1
21,82,103,1
21,105,78,1
21,66,17,1
21,86,111,1
21,57,116,1
21,59,66,1
21,87,111,1
21,87,12,1
21,27,63,1
21,15,39,1
21,34,83,1
21,33,24,1
21,103,13,1
21,44,101,1
21,71,97,1
21,77,62,1
21,32,0,1
21,35,102,1
21,115,9,1
21,106,38,1
21,53,106,1
21,11,83,1
21,71,3,1
21,8,113,1
21,51,53,1
21,18,113,1
21,87,116,1
21,87,26,1
21,15,3,1
21,4,63,1
21,15,77,1
21,102,35,1
21,2,13,1
21,57,111,1
21,58,55,1
21,117,72,1
21,123,20,1
21,96,119,1
21,98,120,1
21,58,73,1
21,60,43,1
21,62,17,1
21,103,32,1
21,114,53,1
21,60,40,1
21,82,105,1
21,66,78,1
21,66,26,1
21,79,15,1
21,41,66,1
21,29,110,1
21,49,117,1
21,60,82,1
21,93,9,1
21,24,51,1
21,20,98,1
21,107,89,1
21,93,49,1
21,52,90,1
21,47,21,1
21,20,35,1
21,50,51,1
21,31,53,1
21,40,67,1
21,93,114,1
21,24,18,1
21,93,46,1
21,19,68,1
21,54,24,1
21,54,119,1
21,115,83,1
21,125,55,1
21,9,99,1
21,91,55,1
21,79,116,1
21,112,112,1
21,84,110,1
21,92,42,1
21,79,120,1
21,53,27,1
21,68,125,1
21,39,34,1
21,69,126,1
21,96,81,1
21,83,34,1
21,54,46,1
21,116,115,1
21,109,74,1
21,85,94,1
21,70,53,1
21,72,117,1
21,14,1,1
21,0,65,1
21,7,37,1
21,74,59,1
21,75,17,1
21,64,114,1
21,61,110,1
21,41,75,1
21,42,4,1
21,16,76,1
21,56,122,1
21,14,65,1
21,97,0,1
21,67,44,1
21,6,5,1
21,30,82,1
21,96,57,1
21,30,105,1
21,45,29,1
21,96,82,1
21,45,33,1
21,87,122,1
21,118,6,1
21,100,26,1
21,89,0,1
21,52,19,1
21,8,32,1
21,85,78,1
21,46,123,1
21,32,85,1
21,95,112,1
21,43,96,1
21,6,6,1
21,120,123,1
21,85,43,1
21,25,75,1
21,31,84,1
21,118,29,1
21,57,28,1
21,57,126,1
21,127,113,1
21,87,89,1
21,83,72,1
21,18,71,1
21,37,54,1
21,89,29,1
21,29,7,1
21,26,0,1
21,99,70,1
21,87,86,1
21,41,49,1
21,42,45,1
21,0,11,1
21,14,122,1
21,46,70,1
21,110,45,1
21,73,47,1
21,34,77,1
21,86,54,1
21,86,63,1
21,67,60,1
21,44,60,1
21,12,43,1
21,47,13,1
21,105,109,1
21,109,125,1
21,35,23,1
21,41,74,1
21,54,66,1
21,61,44,1
21,50,79,1
21,24,112,1
21,85,55,1
21,18,45,1
21,30,119,1
21,23,3,1
21,126,8,1
21,123,101,1
21,114,43,1
21,59,99,1
21,65,110,1
21,53,56,1
21,126,71,1
21,21,57,1
21,29,12,1
21,38,89,1
21,5,27,1
21,123,9,1
21,38,46,1
21,100,31,1
21,110,11,1
21,102,93,1
