timestamp,x,y,pol
11,24,12,1
11,59,103,1
11,3,33,1
11,47,45,1
11,68,3,1
11,36,90,1
11,36,88,1
11,93,91,1
11,121,76,1
11,4,90,1
11,95,111,1
11,27,52,1
11,50,107,1
11,49,13,1
11,49,23,1
11,77,71,1
11,45,16,1
11,92,86,1
11,62,111,1
11,72,65,1
11,56,106,1
11,35,5,1
11,68,123,1
11,2,41,1
11,67,16,1
11,0,27,1
11,49,19,1
11,49,40,1
11,102,97,1
11,20,28,1
11,55,9,1
11,4,12,1
11,8,63,1
11,37,50,1
11,99,24,1
11,72,124,1
11,49,27,1
11,84,118,1
11,16,83,1
11,29,2,1
11,51,9,1
11,57,8,1
11,19,13,1
11,36,9,1
11,20,13,1
11,36,8,1
11,31,6,1
11,0,28,1
11,52,44,1
11,39,6,1
11,46,63,1
11,4,14,1
11,40,104,1
11,81,83,1
11,40,64,1
11,57,87,1
11,89,87,1
11,114,66,1
11,52,4,1
11,21,97,1
11,50,25,1
11,75,40,1
11,41,26,1
11,78,104,1
11,91,94,1
11,91,19,1
11,79,23,1
11,39,17,1
11,90,105,1
11,79,4,1
11,35,31,1
11,16,119,1
11,18,1,1
11,42,106,1
11,29,78,1
11,74,14,1
11,11,46,1
11,37,77,1
11,36,35,1
11,45,55,1
11,107,69,1
11,18,1,0
11,59,41,1
11,85,35,1
11,34,13,1
11,42,6,1
11,28,71,1
11,93,9,1
11,27,9,1
11,43,96,1
11,112,90,1
11,81,11,1
11,50,19,1
11,102,53,1
11,8,9,1
11,45,43,1
11,53,103,1
11,36,4,1
11,4,53,1
11,58,1,1
11,29,10,1
11,25,1,1
11,5,14,1
11,92,27,1
11,5,31,1
11,100,110,1
11,53,75,1
11,87,86,1
11,40,0,1
11,32,4,1
11,65,80,1
11,46,43,1
11,6,28,1
11,46,11,1
11,58,114,1
11,126,5,1
11,10,10,1
11,87,83,1
11,40,11,1
11,101,31,1
11,101,74,1
11,31,62,1
11,40,26,1
11,51,98,1
11,111,22,1
11,31,11,1
11,58,4,1
11,0,50,1
11,3,69,1
11,62,44,1
11,80,63,1
11,66,91,1
11,20,2,1
11,25,6,1
11,83,99,1
11,76,104,1
11,50,39,1
11,14,102,1
11,41,23,1
11,26,56,1
11,26,68,1
11,61,47,1
11,54,74,1
11,96,64,1
11,40,10,1
11,9,14,1
11,18,9,1
11,24,0,1
11,37,7,1
11,13,63,1
11,83,35,1
11,38,71,1
11,60,77,1
11,67,32,1
11,16,17,1
11,24,85,1
11,4,33,1
11,64,27,1
11,37,70,1
11,12,45,1
11,35,11,1
11,27,0,1
11,6,3,1
11,6,4,1
11,45,3,1
11,0,1,1
11,44,7,1
11,50,2,1
11,103,32,1
11,59,73,1
11,75,117,1
11,70,29,1
11,15,49,1
11,6,103,1
11,65,16,1
11,82,0,1
11,30,23,1
11,65,9,1
11,93,13,1
11,35,51,1
11,23,43,1
11,76,98,1
11,69,32,1
11,95,85,1
11,18,83,1
11,12,41,1
11,86,2,1
11,79,82,1
11,35,13,1
11,61,66,1
11,116,83,1
11,62,33,1
11,33,5,1
11,30,38,1
11,18,47,1
11,33,82,1
11,37,59,1
11,86,126,1
11,66,34,1
11,99,119,1
11,48,68,1
11,66,2,1
11,46,19,1
11,2,0,1
11,54,69,1
11,40,20,1
11,36,93,1
11,7,0,1
11,27,88,1
11,72,9,1
11,126,22,1
11,101,89,1
11,10,122,1
11,23,37,1
11,33,40,1
11,88,68,1
11,46,116,1
11,97,0,1
11,40,61,1
11,40,30,1
11,78,82,1
11,94,126,1
11,74,56,1
11,91,110,1
11,24,98,1
11,45,81,1
11,25,98,1
11,14,58,1
11,38,79,1
11,62,77,1
11,85,104,1
11,47,126,1
11,60,3,1
11,99,7,1
11,32,39,1
11,24,82,1
11,25,58,1
11,69,52,1
11,9,37,1
11,25,33,1
11,37,53,1
11,51,94,1
11,49,6,1
11,76,68,1
11,83,109,1
11,1,20,1
11,76,115,1
11,80,11,1
11,28,31,1
11,55,6,1
11,16,12,1
11,28,14,1
11,1,8,1
11,49,12,1
11,7,1,1
11,16,11,1
11,44,2,1
11,40,2,1
11,44,8,1
11,30,10,1
11,30,5,1
11,40,5,1
11,34,8,1
11,44,1,1
11,116,122,1
11,30,0,1
11,54,5,1
11,54,10,1
11,46,8,1
11,29,12,1
11,56,9,1
11,46,10,1
11,94,18,1
11,110,49,1
11,110,79,1
11,118,32,1
11,27,125,1
11,123,82,1
11,85,13,1
11,78,56,1
11,30,47,1
11,102,9,1
11,85,57,1
11,16,120,1
11,46,56,1
11,39,108,1
11,18,8,1
11,30,4,1
11,37,9,1
11,62,114,1
11,78,121,1
11,104,85,1
11,49,6,0
11,77,39,1
11,116,125,1
11,30,119,1
11,99,25,1
11,70,121,1
11,0,112,1
11,46,118,1
11,60,9,1
11,19,0,1
11,59,120,1
11,116,48,1
11,10,127,1
11,47,3,1
11,93,110,1
11,123,33,1
11,35,79,1
11,8,78,1
11,26,2,1
11,87,112,1
11,49,117,1
11,1,65,1
11,103,84,1
11,8,29,1
11,34,1,1
11,23,16,1
11,24,10,1
11,18,7,1
11,9,1,1
11,7,12,1
11,45,2,1
11,58,5,1
11,17,4,1
11,27,8,1
11,20,17,1
11,12,7,1
11,10,49,1
11,37,4,1
11,0,43,1
11,75,80,1
11,82,102,1
11,20,113,1
11,73,7,1
11,3,47,1
11,85,98,1
11,6,2,1
11,10,35,1
11,40,90,1
11,65,22,1
11,3,48,1
11,91,96,1
11,29,14,1
11,61,6,1
11,44,6,1
11,25,75,1
11,78,105,1
11,81,25,1
11,43,55,1
11,34,36,1
11,53,50,1
11,53,19,1
11,29,101,1
11,45,4,1
11,48,4,1
11,68,76,1
11,109,34,1
11,61,9,1
11,56,11,1
11,25,61,1
11,19,57,1
11,20,50,1
11,103,126,1
11,68,60,1
11,48,28,1
11,51,76,1
11,43,2,1
11,41,5,1
11,26,60,1
11,11,83,1
11,115,79,1
11,121,80,1
11,22,15,1
11,13,48,1
11,47,21,1
11,47,57,1
11,41,5,0
11,94,95,1
11,31,100,1
11,100,120,1
11,48,27,1
11,126,0,1
11,100,27,1
11,14,14,1
11,91,11,1
11,117,117,1
11,51,100,1
11,75,73,1
11,13,31,1
11,6,81,1
11,112,76,1
11,65,10,1
11,57,9,1
11,12,8,1
11,39,10,1
11,12,13,1
11,20,6,1
11,52,3,1
11,54,3,1
11,36,70,1
11,20,11,1
11,77,105,1
11,93,59,1
11,41,118,1
11,99,124,1
11,80,85,1
11,81,69,1
11,48,105,1
11,58,53,1
11,61,5,1
11,101,84,1
11,34,0,1
11,22,0,1
11,7,10,1
11,46,8,0
11,92,53,1
11,67,87,1
11,70,44,1
11,96,90,1
11,74,106,1
11,60,117,1
11,102,82,1
11,73,3,1
11,87,63,1
11,69,53,1
11,38,126,1
11,91,55,1
11,123,0,1
11,28,1,1
11,41,6,1
11,28,9,1
11,8,8,1
11,17,123,1
11,17,32,1
11,59,111,1
11,56,26,1
11,91,57,1
11,30,35,1
11,71,78,1
11,83,112,1
11,30,33,1
11,72,92,1
11,111,82,1
11,113,83,1
11,109,96,1
11,108,65,1
11,59,104,1
11,54,61,1
11,54,41,1
11,27,19,1
11,87,94,1
11,44,84,1
11,74,91,1
11,77,62,1
11,74,53,1
11,74,66,1
11,33,12,1
11,21,76,1
11,38,28,1
11,92,71,1
11,91,86,1
11,21,59,1
11,13,55,1
11,61,7,1
11,32,38,1
11,11,122,1
11,81,114,1
11,9,32,1
11,47,82,1
11,61,16,1
11,100,52,1
11,37,34,1
11,2,118,1
11,0,34,1
11,2,36,1
11,32,11,1
11,46,1,1
11,31,5,1
11,26,83,1
11,94,115,1
11,79,113,1
11,34,23,1
11,26,27,1
11,99,109,1
11,59,60,1
11,79,19,1
11,72,85,1
11,72,71,1
11,91,124,1
11,16,90,1
11,32,6,1
11,39,3,1
11,42,32,1
11,79,93,1
11,77,6,1
11,24,5,1
11,99,96,1
11,54,85,1
11,55,107,1
11,74,107,1
11,125,19,1
11,27,24,1
11,28,103,1
11,80,13,1
11,108,39,1
11,105,108,1
11,88,42,1
11,36,17,1
11,46,111,1
11,103,94,1
11,103,91,1
11,109,75,1
11,67,111,1
11,50,84,1
11,50,32,1
11,86,66,1
11,114,12,1
11,20,58,1
11,34,115,1
11,53,82,1
11,46,6,1
11,46,5,1
11,52,7,1
11,111,126,1
11,31,69,1
11,36,59,1
