timestamp,neuron
91,102
92,117
94,99
95,106
103,201
115,103
430,122
438,124
442,123
443,121
445,122
447,125
454,119
455,124
464,122
485,122
506,122
528,122
550,122
571,122
588,122
607,122
628,122
649,122
670,122
687,121
688,124
690,122
703,123
708,122
716,121
718,124
726,122
727,123
736,124
738,121
745,122
751,123
755,124
762,121
766,122
771,123
773,124
786,122
792,121
794,123
795,124
806,122
814,123
814,124
819,121
824,122
828,124
831,123
843,121
845,122
850,124
851,123
867,122
874,124
875,123
883,121
888,122
891,124
896,123
906,124
910,122
916,123
917,121
924,124
929,122
936,123
942,124
949,122
950,121
957,123
961,124
969,122
980,124
981,123
988,122
989,121
999,124
1005,123
1011,122
1016,124
1027,121
1032,124
1034,123
1034,122
1048,124
1050,121
1056,122
1058,123
1066,124
1070,121
1074,122
1081,123
1086,124
1090,121
1092,122
1106,124
1108,123
1115,122
1116,121
1126,124
1135,122
1135,123
1140,121
1145,124
1149,122
1156,123
1164,121
1166,124
1167,122
1175,123
1187,122
1187,124
1192,123
1194,121
1203,124
1205,122
1209,123
1216,121
1220,124
1223,122
1228,123
1237,124
1241,122
1241,121
1246,123
1247,124
1258,122
1263,124
1265,121
1267,123
1272,122
1281,124
1285,122
1289,123
1298,121
1298,124
1302,122
1310,123
1312,124
1320,122
1325,124
1326,121
1331,123
1338,122
1343,124
1351,123
1352,122
1361,124
1361,121
1365,122
1371,123
1379,124
1383,122
1391,123
1394,124
1396,121
1401,122
1407,124
1413,123
1419,122
1424,124
1429,121
1432,123
1435,122
1443,124
1448,122
1453,123
1462,124
1465,122
1467,121
1473,123
1481,124
1483,122
1493,123
1501,124
1503,122
1506,121
1513,123
1519,124
1522,122
1528,121
1535,123
1539,124
1540,122
1549,121
1556,124
1558,123
1560,122
1569,121
1571,124
1578,122
1583,123
1588,124
1591,121
1596,122
1608,124
1610,123
1613,122
1617,121
1628,124
1629,122
1638,123
1641,121
1647,122
1647,124
1659,123
1664,121
1665,124
1666,122
1687,121
1687,123
1689,122
1690,124
1708,121
1710,122
1712,124
1719,123
1728,121
1729,122
1730,124
1744,123
1750,122
1751,121
1751,124
1766,124
1772,122
1773,121
1775,123
1784,124
1790,122
1791,123
1792,121
1801,124
1809,122
1810,123
1812,121
1817,124
1831,122
1831,124
1831,123
1835,121
1844,124
1847,121
1848,122
1848,123
1861,124
1865,121
1868,122
1870,123
1879,124
1884,121
1890,122
1891,123
1893,124
1904,121
1907,124
1911,123
1911,122
1922,121
1923,124
1928,122
1930,123
1942,121
1942,124
1946,122
1948,123
1960,124
1962,121
1967,122
1970,123
1977,124
1983,121
1990,122
1991,124
1992,123
2005,121
2008,124
2013,122
2014,123
2024,121
2026,124
2032,122
2033,123
2043,121
2045,124
2051,122
2053,123
2063,121
2065,124
2071,122
2073,123
2083,121
2085,124
2091,122
2093,123
2104,121
2105,124
2111,122
2112,123
2125,124
2125,121
2132,122
2133,123
2145,124
2148,121
2153,122
2154,123
2164,124
2171,121
2173,122
2176,123
2184,124
2192,121
2193,122
2199,123
2204,124
2212,122
2212,121
2219,123
2222,124
2228,122
2229,121
2239,124
2244,123
2251,122
2253,121
2255,124
2266,123
2269,124
2273,122
2277,121
2285,124
2288,123
2294,122
2299,121
2303,124
2308,123
2312,122
2322,124
2324,121
2329,123
2331,122
2340,124
2351,123
2353,122
2355,121
2358,124
2372,123
2374,122
2374,124
2381,121
2386,124
2391,123
2391,122
2406,124
2413,121
2413,123
2415,122
2423,124
2433,123
2434,122
2440,124
2444,121
2452,122
2452,123
2455,124
2467,124
2467,122
2467,121
2471,123
2484,124
2487,122
2493,123
2503,124
2505,121
2508,122
2513,123
2521,124
2527,122
2535,123
2539,124
2546,121
2548,122
2554,124
2555,123
2569,122
2569,124
2579,123
2586,124
2589,122
2593,121
2603,123
2606,124
2609,122
2627,121
2627,124
2631,122
2634,123
2645,124
2650,122
2656,123
2665,124
2672,122
2672,121
2679,123
2684,124
2690,122
2705,123
2706,124
2712,121
2712,122
2726,124
2734,122
2736,123
2746,124
2752,121
2754,122
2759,123
2765,124
2773,122
2784,123
2787,124
2792,122
2795,121
2809,124
2814,123
2816,122
2829,124
2833,121
2839,122
2840,123
2847,124
2863,122
2870,124
2873,123
2881,121
2887,122
2889,124
2896,123
2911,124
2912,122
2918,121
2920,123
2928,124
2931,122
2939,121
2947,123
2949,124
2953,122
2961,121
2969,124
2974,122
2974,123
2983,121
2990,124
2992,122
2998,123
3007,121
3010,124
3014,122
3021,123
3029,124
3033,121
3034,122
3048,123
3052,124
3057,122
3062,121
3069,124
3073,123
3078,122
3089,124
3090,121
3099,122
3100,123
3108,124
3119,121
3124,122
3129,123
3130,124
3150,121
3153,122
3158,124
3161,123
3171,122
3177,124
3179,121
3186,123
3193,122
3194,124
3208,121
3215,124
3218,122
3219,123
3233,124
3242,122
3246,123
3249,121
3249,124
3266,122
3273,124
3277,123
3291,122
3292,121
3294,124
3297,123
3313,124
3314,122
3319,123
3330,121
3331,124
3335,122
3339,123
3350,124
3357,122
3362,123
3369,124
3376,121
3377,122
3384,123
3390,124
3397,122
3405,123
3410,122
3411,124
3413,121
3425,123
3426,122
3431,124
3445,123
3445,122
3448,121
3451,124
3464,122
3465,123
3471,124
3484,122
3485,121
3486,123
3491,124
3504,122
3507,123
3511,124
3524,122
3528,123
3528,121
3531,124
3542,122
3547,123
3548,124
3556,121
3561,122
3565,124
3568,123
3581,121
3582,122
3585,124
3587,123
3603,122
3606,124
3607,123
3607,121
3622,122
3624,124
3626,123
3628,121
3643,122
3645,124
3647,123
3654,121
3664,122
3665,124
3666,123
3675,121
3686,124
3686,122
3686,123
3689,121
3703,124
3704,122
3704,123
3708,121
3722,124
3724,123
3724,122
3730,121
3742,124
3745,123
3746,122
3757,121
3762,124
3766,123
3769,122
3781,121
3784,124
3786,123
3789,122
3806,124
3810,123
3814,122
3821,121
3826,124
3830,123
3832,122
3848,124
3853,123
3855,121
3856,122
3869,124
3873,123
3878,122
3888,124
3889,121
3890,123
3893,122
3909,123
3909,122
3911,124
3928,121
3929,122
3930,123
3933,124
3948,122
3951,123
3954,124
3968,122
3968,123
3968,121
3972,124
3986,122
3987,123
3989,124
3996,121
4006,122
4007,123
4011,124
4028,123
4028,121
4029,122
4033,124
4047,122
4048,123
4051,124
4057,121
4065,122
4069,123
4071,124
4075,121
4084,122
4089,123
4090,124
4093,121
4103,122
4108,123
4110,124
4113,121
4122,122
4128,121
4129,123
4129,124
4142,122
4148,121
4149,124
4149,123
4162,122
4168,121
4169,124
4170,123
4182,122
4189,121
4189,124
4191,123
4202,122
4208,123
4209,124
4209,121
4223,122
4227,123
4230,124
4231,121
4244,122
4248,123
4250,124
4252,121
4265,122
4269,123
4271,124
4274,121
4286,122
4288,123
4292,124
4296,121
4306,122
4308,123
4311,121
4312,124
4325,122
4328,123
4329,121
4331,124
4344,122
4348,123
4350,121
4351,124
4364,122
4368,123
4370,121
4370,124
4383,122
4388,123
4390,124
4390,121
4402,122
4407,123
4408,124
4409,121
4422,122
4428,123
4429,124
4431,121
4442,122
4449,123
4449,124
4452,121
4463,122
4468,121
4469,123
4469,124
4482,122
4486,121
4488,124
4490,123
4503,122
4508,121
4509,124
4511,123
4524,122
4529,121
4531,124
4531,123
4545,122
4551,121
4552,124
4553,123
4567,122
4573,121
4573,124
4575,123
4586,122
4589,124
4591,121
4594,123
4608,122
4612,124
4615,121
4618,123
4630,122
4632,124
4638,121
4640,123
4650,122
4650,124
4658,121
4661,123
4666,122
4667,124
4680,121
4685,122
4688,123
4689,124
4706,122
4707,121
4712,124
4715,123
4725,122
4732,124
4736,123
4738,121
4744,122
4750,124
4758,123
4764,122
4766,121
4770,124
4783,123
4786,122
4791,124
4798,121
4807,122
4808,123
4812,124
4823,121
4828,123
4828,122
4831,124
4847,121
4847,122
4849,123
4850,124
4868,124
4870,122
4873,123
4887,121
4887,124
4890,123
4890,122
4904,124
4907,122
4909,123
4910,121
4923,124
4929,122
4930,123
4943,124
4948,121
4951,122
4951,123
4960,124
4968,122
4970,123
4973,121
4977,124
4990,122
4995,124
4996,123
5005,121
5010,123
5011,124
5011,122
5028,123
5031,124
5035,122
5047,123
5050,124
5051,121
5056,122
5067,123
5069,124
5076,122
5088,123
5090,124
5095,121
5097,122
5106,123
5107,124
5114,122
5125,124
5126,123
5127,121
5132,122
5143,124
5146,123
5151,122
5160,124
5165,123
5166,121
5172,122
5175,124
5186,123
5188,124
5193,122
5205,124
5207,123
5208,121
5213,122
5222,124
5227,123
5233,122
5239,124
5247,123
5249,121
5254,124
5254,122
5267,124
5269,123
5276,122
5285,124
5290,123
5295,122
5295,121
5302,124
5310,123
5314,122
5320,124
5331,123
5333,121
5336,122
5337,124
5352,123
5352,124
5356,122
5358,121
5366,124
5370,123
5372,122
5377,121
5384,124
5391,123
5392,122
5398,121
5403,124
5411,122
5411,123
5420,124
5421,121
5431,122
5432,123
5438,124
5444,121
5452,122
5452,123
5454,124
5465,121
5468,124
5469,123
5473,122
5486,121
5488,124
5490,123
5495,122
5508,121
5508,124
5511,123
5517,122
5528,124
5530,121
5532,123
5538,122
5547,124
5552,123
5552,121
5557,122
5564,124
5570,123
5572,121
5578,122
5581,124
5590,123
5592,121
5599,122
5599,124
5611,123
5613,124
5614,121
5620,122
5627,124
5633,123
5637,121
5638,122
5643,124
5651,123
5656,122
5659,121
5660,124
5669,122
5673,123
5676,124
5683,121
5686,122
5688,124
5692,123
5705,124
5705,122
5710,123
5711,121
5723,124
5724,122
5731,123
5736,121
5741,124
5743,122
5751,123
5759,124
5762,121
5763,122
5772,124
5772,123
5782,122
5786,124
5794,123
5794,121
5802,122
5805,124
5814,123
5822,122
5823,121
5824,124
5832,123
5840,122
5844,124
5853,123
5857,121
5859,122
5862,124
5875,123
5875,122
5880,124
5889,121
5889,122
5899,123
5899,124
5905,122
5911,121
5913,124
5921,123
5924,122
5928,124
5942,121
5944,124
5945,122
5951,123
5961,124
5965,122
5974,123
5978,124
5982,121
5985,122
5989,124
5994,123
6005,124
6006,122
6014,123
6022,121
6023,124
6026,122
6034,123
6040,124
6046,122
6051,123
6057,124
6059,121
6066,122
6069,124
6071,123
6079,121
6086,124
6087,122
6091,123
6100,121
6103,124
6108,122
6110,123
6122,121
6122,124
6128,122
6130,123
6141,124
6147,121
6149,122
6152,123
6158,124
6168,123
6169,122
6173,124
6173,121
6187,123
6187,122
6188,124
6192,121
6205,122
6205,124
6206,123
6212,121
6224,122
6225,124
6226,123
6235,121
6244,122
6245,124
6247,123
6256,121
6264,122
6265,124
6267,123
6278,121
6284,122
6285,124
6288,123
6302,121
6306,122
6306,124
6308,123
6328,122
6329,124
6332,123
6342,121
6348,122
6348,124
6351,123
6371,124
6371,122
6374,123
6378,121
6387,124
6388,122
6391,123
6403,121
6409,124
6409,122
6411,123
6432,124
6433,122
6437,123
6448,121
6451,124
6453,122
6457,123
6470,124
6473,122
6479,123
6490,124
6490,121
6493,122
6500,123
6509,124
6512,122
6524,123
6531,124
6531,122
6533,121
6550,123
6552,124
6555,122
6572,121
6573,124
6579,122
6579,123
6589,124
6600,122
6606,123
6609,124
6621,121
6624,122
6629,124
6631,123
6646,122
6653,124
6657,123
6666,122
6668,121
6672,124
6674,123
6685,122
6690,123
6691,124
6692,121
6705,122
6710,123
6711,124
6713,121
6725,122
6730,123
6731,124
6735,121
6745,122
6751,123
6751,124
6756,121
6766,122
6772,123
6772,124
6777,121
6784,122
6790,124
6791,123
6798,121
6805,122
6811,124
6812,123
6822,121
6827,122
6830,124
6832,123
6850,122
6850,121
6855,124
6858,123
6871,122
6875,124
6880,123
6885,121
6886,122
6891,124
6904,122
6904,123
6910,124
6918,121
6922,122
6929,124
6929,123
6941,122
6947,121
6948,124
6954,123
6959,122
6969,124
6974,122
6979,123
6986,121
6988,122
6989,124
7002,123
7007,122
7010,124
7023,121
7027,122
7031,124
7031,123
7041,121
7044,122
7047,124
7051,123
7062,121
7064,122
7069,124
7073,123
7084,122
7085,121
7091,124
7093,123
7105,122
7109,121
7111,124
7115,123
7125,122
7131,124
7134,121
7137,123
7145,122
7151,124
7155,121
7160,123
7165,122
7170,124
7176,121
7181,123
7185,122
7190,124
7198,121
7202,123
7207,122
7210,124
7221,121
7225,123
7228,122
7230,124
7250,121
7252,123
7253,122
7257,124
7273,122
7275,123
7279,124
7285,121
7291,122
7293,123
7298,124
7308,122
7315,123
7316,124
7319,121
7326,122
7332,124
7334,123
7346,122
7347,121
7352,124
7353,123
7365,122
7372,124
7374,123
7385,121
7386,122
7391,124
7393,123
7406,122
7413,124
7416,123
7427,122
7427,121
7431,124
7432,123
7447,122
7450,124
7456,123
7469,122
7469,121
7473,124
7479,123
7489,122
7492,124
7496,121
7502,123
7508,122
7510,124
7514,121
7528,123
7531,122
7534,124
7537,121
7552,122
7554,124
7560,123
7561,121
7570,122
7571,124
7585,121
7586,123
7591,122
7592,124
7613,121
7615,124
7616,122
7620,123
7633,124
7635,122
7637,121
7643,123
7650,124
7652,122
7661,121
7670,124
7670,123
7672,122
7688,121
7693,124
7696,122
7700,123
7711,124
7717,122
7718,121
7724,123
7730,124
7734,122
7744,121
7752,124
7754,122
7754,123
7772,122
7773,124
7781,123
7781,121
7787,122
7789,124
7809,122
7812,123
7817,124
7826,121
7829,122
7835,124
7837,123
7848,122
7854,124
7861,123
7867,122
7870,121
7871,124
7888,123
7889,122
7895,124
7902,121
7907,123
7908,122
7912,124
7925,121
7928,123
7930,122
7932,124
7949,123
7949,121
7953,122
7955,124
7968,121
7969,123
7970,124
7972,122
7988,124
7989,121
7991,123
7993,122
8007,124
8010,121
8011,123
8013,122
8026,124
8031,121
8031,123
8032,122
8045,124
8048,121
8051,123
8052,122
8065,124
8068,121
8071,123
8072,122
8085,124
8088,121
8091,123
8092,122
8104,124
8106,121
8111,123
8112,122
8125,124
8125,121
8131,123
8132,122
8145,121
8145,124
8151,123
