timestamp,neuron
14192,45
14249,45
14303,45
14357,45
14413,45
14470,45
14527,45
14542,46
14583,45
14593,46
14642,45
14645,46
14695,46
14708,45
14748,46
14797,46
14850,46
14861,45
14892,47
14902,46
14949,47
14955,46
15006,47
15014,46
15061,47
15081,46
15117,47
15173,47
15231,47
15262,112
15290,47
15323,126
15334,112
15345,96
15351,47
15416,47
15416,112
15426,126
15428,96
15431,90
15445,216
15453,162
15490,47
15495,112
15585,112
15592,49
15648,49
15651,112
15702,49
15709,90
15709,126
15713,134
15716,94
15719,152
15748,112
15756,49
15768,90
15789,172
15811,49
15815,112
15867,49
15910,112
15921,49
15927,90
15927,126
15930,134
15932,94
15935,152
15942,50
15949,172
15961,146
15966,141
15971,194
15972,154
15976,49
15979,112
15985,90
16000,50
16001,134
16008,126
16012,94
16036,49
16041,112
16042,184
16047,90
16057,50
16080,194
16080,154
16100,49
16103,112
16107,90
16107,126
16111,134
16113,94
16116,50
16117,152
16140,172
16174,50
16177,112
16181,49
16186,90
16187,126
16190,134
16191,94
16194,152
16205,141
16208,146
16215,214
16225,117
16233,50
16259,112
16292,51
16293,50
16349,51
16353,112
16356,50
16365,90
16366,126
16387,94
16388,194
16396,154
16404,51
16424,50
16427,112
16446,90
16458,51
16463,126
16467,94
16468,214
16470,118
16476,172
16488,99
16497,141
16513,51
16517,112
16543,50
16553,90
16558,126
16570,51
16604,112
16626,51
16637,94
16642,52
16654,90
16659,126
16664,178
16669,194
16682,51
16685,112
16695,214
16698,52
16700,118
16719,172
16722,94
16727,141
16739,97
16740,51
16746,126
16756,52
16758,112
16764,90
16778,99
16802,51
16810,126
16812,94
16813,214
16813,52
16817,118
16825,172
16853,112
16862,141
16872,52
16872,51
16905,126
16930,52
16934,112
16988,52
16993,53
16996,112
17040,53
17047,52
17049,126
17052,162
17053,194
17053,214
17063,90
17083,110
17089,53
17091,112
17107,52
17135,53
17154,126
17169,52
17172,214
17173,112
17174,194
17177,162
17184,53
17232,53
17235,52
17236,112
17270,90
17278,53
17289,126
17293,162
17294,214
17294,194
17306,52
17309,112
17328,53
17344,54
17361,90
17376,53
17379,112
17386,52
17389,126
17396,162
17397,214
17398,194
17402,54
17425,160
17425,96
17428,53
17461,54
17463,112
17468,90
17469,126
17479,53
17488,52
17488,162
17490,194
17490,214
17493,142
17503,110
17519,54
17523,112
17526,90
17530,96
17531,160
17537,53
17543,216
17549,126
17578,54
17588,90
17606,53
17609,112
17637,54
17646,90
17646,126
17652,96
17652,160
17672,142
17693,55
17698,54
17700,112
17705,90
17751,55
17760,54
17762,112
17768,90
17769,126
17774,96
17774,160
17798,142
17809,55
17826,54
17829,112
17866,55
17906,54
17909,112
17922,55
17929,90
17977,55
17984,90
17991,112
18016,156
18016,94
18025,96
18035,55
18044,56
18049,90
18094,112
18094,55
18097,56
18102,90
18109,117
18111,126
18120,94
18120,99
18127,194
18134,141
18153,56
18156,55
18157,112
18164,90
18210,56
18224,55
18241,90
18245,112
18267,56
18321,56
18323,112
18326,90
18328,55
18333,117
18335,126
18344,94
18344,99
18359,141
18360,194
18376,56
18383,90
18394,57
18397,112
18434,56
18445,90
18455,57
18458,112
18495,56
18506,90
18517,57
18519,112
18536,154
18536,186
18537,162
18544,126
18561,56
18566,90
18570,152
18573,117
18579,57
18581,112
18585,94
18585,99
18587,108
18592,194
18601,141
18639,122
18641,57
18643,112
18651,90
18659,56
18661,154
18662,186
18662,162
18667,126
18669,117
18675,94
18676,99
18683,141
18699,152
18700,108
18704,57
18704,178
18707,112
18744,58
18767,57
18770,112
18801,58
18818,90
18819,94
18823,126
18824,107
18832,57
18835,112
18858,58
18884,93
18900,57
18902,112
18909,90
18915,154
18916,58
18917,186
18917,162
18924,126
18931,108
18934,152
18957,94
18974,58
18980,57
18982,112
18988,90
18994,154
18996,162
19002,126
19033,58
19090,112
19092,58
19094,59
19104,90
19119,126
19133,108
19147,59
19155,58
19180,112
19197,59
19204,90
19211,126
19214,108
19220,107
19225,58
19226,122
19249,59
19253,112
19300,59
19305,90
19309,126
19312,108
19316,107
19316,122
19320,94
19333,184
19351,59
19354,112
19403,59
19412,90
19427,126
19441,108
19444,60
19448,112
19454,59
19502,60
19510,59
19513,112
19520,126
19522,90
19535,160
19549,122
19559,60
19565,59
19575,111
19575,164
19578,158
19582,94
19590,182
19608,112
19617,60
19624,59
19631,126
19632,90
19644,160
19649,122
19675,60
19678,112
19698,59
19704,90
19709,126
19711,108
19717,107
19727,94
19734,60
19753,184
19764,112
19793,60
19794,61
19854,60
19855,61
19857,112
19875,94
19898,90
19915,61
19919,60
19919,112
19927,126
19929,122
19929,160
19932,164
19933,111
19934,158
19938,182
19961,172
19975,61
19988,112
19992,60
20007,94
20035,61
20095,61
20098,112
20120,94
20145,62
20156,61
20159,112
20204,62
20219,61
20221,112
20227,94
20232,90
20238,117
20245,164
20247,214
20248,108
20253,141
20257,91
20263,62
20282,134
20284,61
20286,126
20287,112
20322,62
20322,96
20332,94
20354,61
20357,112
20380,62
20389,134
20390,126
20392,96
20438,62
20441,61
20441,112
20447,94
20448,134
20459,90
20474,214
20495,63
20498,62
20502,112
20510,134
20511,126
20515,96
20556,63
20560,62
20564,112
20565,90
20567,94
20568,134
20592,214
20613,152
20617,63
20625,90
20626,62
20630,112
20636,126
20651,154
20668,115
20679,63
20684,90
20693,152
20699,114
20704,134
20704,110
20705,186
20706,62
20710,112
20740,63
20746,90
20756,126
20762,154
20762,115
20801,63
20803,112
20808,90
20824,152
20845,64
20864,63
20868,112
20903,64
20903,90
20914,117
20932,63
20936,112
20960,64
20966,90
20984,95
20986,214
21002,142
21014,63
21017,112
21018,64
21024,90
21025,117
21076,64
21079,112
21085,90
21087,117
21135,64
21146,90
21161,112
21194,64
21195,65
21208,90
21214,117
21214,126
21252,65
21255,64
21256,112
21264,90
21308,65
21317,64
21320,112
21324,90
21324,117
21353,95
21355,214
21365,65
21383,64
21386,112
21392,90
21394,117
21419,65
21426,126
21433,162
21442,118
21457,64
21459,112
21463,90
21464,117
21473,108
21474,65
21495,95
21498,122
21531,65
21535,112
21545,66
21568,64
21590,65
21606,66
21609,112
21651,65
21666,66
21705,112
21717,65
21726,66
21726,126
21740,162
21786,66
21790,112
21802,65
21815,126
21846,66
21890,112
21895,67
21902,90
21905,126
21908,66
21913,146
21925,94
21948,92
21963,67
21965,112
21971,90
21971,66
21974,126
22029,67
22033,112
22042,66
22051,90
22068,126
22085,178
22094,67
22097,112
22160,67
22162,112
22165,90
22167,126
22168,146
22173,94
22176,92
22208,214
22213,194
22228,67
22231,112
22245,68
22296,67
22298,112
22300,68
22302,90
22305,126
22311,146
22312,94
22319,160
22323,194
22340,186
22348,92
22356,68
22359,112
22367,90
22371,67
22412,68
22447,112
22466,67
22470,68
22520,90
22526,68
22530,112
22583,68
22596,69
22597,90
22599,112
22609,126
22638,68
22652,94
22655,69
22655,160
22659,194
22667,186
22673,112
22679,166
22695,90
22696,164
22697,68
22714,69
22723,126
22760,68
22762,112
22767,90
22773,69
22778,94
22782,160
22787,194
22807,186
22829,68
22833,69
22834,112
22892,69
22896,112
22946,70
22952,69
22979,112
22980,68
22988,90
23000,126
23002,94
23007,160
23007,70
23014,69
23024,194
23068,70
23073,112
23079,69
23086,126
23089,90
23100,108
23100,94
23116,186
23129,70
23154,69
23157,112
23183,126
23190,70
23251,112
23251,70
23296,71
23313,70
23315,126
23316,112
23319,172
23349,90
23355,71
23375,70
23379,112
23414,71
23440,70
23442,112
23446,90
23453,126
23455,94
23457,156
23461,137
23474,71
23508,70
23513,112
23533,71
23586,70
23591,112
23592,71
23646,72
23653,71
23656,112
23710,72
23715,71
23717,112
23750,126
23774,72
23781,71
23783,112
23797,172
23819,94
23822,122
23838,72
23852,126
23860,71
23862,112
23874,134
23874,142
23878,152
23878,172
23882,117
23888,214
23904,72
23964,112
23968,72
23997,73
24005,90
24005,126
24006,94
24033,72
24037,112
24058,73
24064,90
24072,150
24086,102
24094,186
24102,72
24105,112
24119,73
24124,117
24126,90
24126,126
24127,95
24128,94
24178,72
24179,92
24180,73
24181,112
24187,90
24198,117
24203,150
24205,102
24208,142
24209,134
24209,214
24212,186
24227,141
24241,73
24242,162
24244,112
24250,90
24250,126
24253,94
24303,73
24306,112
24307,72
24316,90
24347,74
24366,73
24370,112
24407,74
24431,73
24435,112
24436,126
24467,74
24500,73
24502,112
24507,90
24507,126
24509,94
24528,74
24534,150
24567,102
24580,186
24588,74
24589,73
24592,112
24648,74
24686,112
