timestamp,neuron
25678,45
25734,45
25791,45
25847,45
25901,45
25956,45
26013,45
26028,46
26072,45
26077,46
26130,46
26134,45
26180,46
26204,45
26232,46
26283,46
26333,46
26378,47
26387,46
26435,47
26439,46
26492,47
26497,46
26549,47
26564,46
26606,47
26660,47
26716,47
26746,112
26775,47
26786,126
26787,96
26793,90
26810,216
26812,162
26836,47
26839,112
26900,47
26903,112
26911,126
26914,96
26918,90
26956,162
26964,216
26974,47
26978,112
27078,49
27081,112
27089,90
27091,126
27103,134
27119,94
27133,49
27189,49
27193,112
27244,49
27275,126
27277,90
27296,49
27299,112
27352,49
27408,49
27412,112
27429,50
27464,49
27488,50
27491,112
27521,49
27532,90
27533,126
27544,134
27546,50
27561,94
27584,49
27587,112
27604,50
27662,50
27664,112
27665,49
27674,90
27685,126
27719,50
27764,194
27778,50
27779,51
27780,112
27788,126
27790,90
27800,94
27805,214
27834,51
27840,50
27842,112
27850,90
27890,51
27907,50
27910,112
27947,51
28000,51
28003,112
28009,126
28018,214
28019,94
28029,50
28035,118
28055,51
28112,51
28116,112
28129,52
28170,51
28186,52
28190,112
28230,51
28243,52
28293,51
28297,112
28299,52
28312,90
28320,126
28326,178
28356,52
28359,112
28368,51
28413,52
28472,52
28476,112
28479,53
28492,126
28495,162
28501,214
28502,194
28528,53
28531,52
28575,53
28578,112
28592,52
28623,53
28654,52
28657,112
28671,53
28717,53
28720,52
28720,112
28732,126
28739,162
28743,90
28751,214
28762,194
28766,53
28790,52
28795,112
28814,53
28830,54
28863,53
28866,112
28871,52
28890,54
28914,53
28949,54
28953,112
28967,53
28977,52
29002,90
29009,54
29023,53
29026,112
29069,54
29091,53
29095,112
29128,54
29180,55
29189,54
29190,90
29193,112
29236,55
29252,54
29252,90
29256,112
29293,55
29320,54
29322,112
29335,90
29336,126
29350,55
29404,54
29407,55
29407,112
29464,55
29519,55
29529,90
29530,56
29534,112
29577,55
29586,56
29588,90
29639,55
29640,56
29643,112
29645,90
29667,117
29675,126
29695,56
29706,55
29709,90
29751,56
29755,112
29808,56
29813,55
29864,56
29867,112
29880,57
29884,90
29919,56
29941,162
29942,57
29945,112
29954,126
29962,117
29978,56
29985,90
30004,57
30007,112
30043,56
30057,90
30066,57
30070,112
30128,57
30138,112
30140,56
30147,90
30168,117
30172,126
30189,57
30231,58
30252,57
30255,112
30290,58
30317,57
30319,112
30340,90
30348,58
30385,57
30389,112
30407,58
30465,58
30466,57
30469,112
30522,58
30580,58
30581,59
30583,112
30587,90
30592,126
30597,108
30600,107
30612,94
30616,122
30632,59
30642,58
30684,59
30687,112
30712,58
30734,59
30766,90
30786,59
30790,112
30836,59
30848,90
30882,126
30889,59
30893,112
30931,60
30939,59
30947,90
30956,126
30961,108
30974,107
30990,60
30993,59
30995,112
31023,90
31049,60
31051,59
31108,60
31113,112
31115,59
31128,90
31167,60
31199,59
31201,112
31207,90
31215,126
31225,108
31225,60
31237,107
31281,61
31284,60
31284,112
31341,61
31344,60
31347,112
31401,61
31408,60
31414,112
31418,94
31460,61
31485,60
31490,112
31520,61
31560,94
31580,61
31582,112
31631,62
31640,61
31644,112
31675,94
31691,62
31703,61
31707,112
31751,62
31768,61
31772,112
31811,62
31838,61
31841,112
31860,94
31870,62
31928,61
31930,62
31932,112
31982,63
31991,62
31997,112
32007,90
32043,63
32054,62
32060,112
32104,63
32121,62
32124,112
32152,134
32154,126
32155,94
32165,63
32207,62
32212,112
32226,63
32288,63
32292,112
32331,64
32350,63
32355,112
32391,64
32418,63
32420,112
32428,90
32450,64
32502,63
32506,112
32509,64
32564,90
32568,64
32574,112
32627,64
32682,65
32685,112
32687,64
32736,65
32748,64
32752,126
32753,112
32792,65
32811,64
32816,112
32848,65
32878,64
32881,112
32886,90
32887,117
32905,65
32953,64
32957,112
32959,65
32973,126
32984,90
33014,65
33020,112
33032,66
33072,65
33092,66
33096,112
33133,65
33152,66
33199,65
33202,112
33212,66
33214,126
33272,66
33276,112
33282,65
33332,66
33382,67
33385,112
33394,66
33397,90
33412,126
33448,67
33452,112
33457,66
33468,90
33513,67
33516,112
33528,66
33551,90
33554,126
33579,67
33582,112
33596,146
33646,67
33650,112
33662,92
33712,67
33715,112
33732,68
33750,90
33780,67
33783,112
33790,68
33790,126
33802,146
33847,68
33851,112
33854,67
33864,90
33868,126
33903,68
33953,67
33956,112
33957,68
33966,90
33979,126
34013,68
34019,112
34071,68
34083,69
34086,112
34130,68
34140,69
34157,126
34190,68
34195,112
34198,69
34200,90
34255,68
34256,69
34258,112
34274,90
34277,126
34315,69
34320,112
34329,68
34374,69
34433,70
34433,69
34436,112
34468,126
34494,70
34495,69
34498,112
34529,90
34554,70
34559,69
34562,112
34572,126
34615,70
34633,69
34634,90
34636,112
34675,70
34736,70
34739,112
34748,90
34783,71
34797,70
34800,112
34808,90
34842,71
34860,70
34863,112
34872,90
34900,71
34925,70
34929,112
34958,71
34990,126
34993,70
34997,112
35016,71
35052,90
35072,70
35075,71
35076,112
35133,72
35135,71
35137,112
35197,71
35198,72
35199,112
35220,126
35244,94
35263,71
35263,72
35266,112
35282,127
35327,72
35332,112
35342,71
35391,72
35395,112
35455,72
35458,112
35484,73
35522,72
35525,112
35545,73
35591,72
35595,112
35606,73
35667,72
35667,73
35671,112
35729,73
35736,112
35790,73
35806,72
35810,112
35834,74
35847,126
35849,90
35852,73
35893,74
35897,112
35917,73
35929,90
35930,126
35937,94
35953,74
35987,73
35991,112
36013,74
36036,126
36072,74
36076,112
36076,73
36084,90
36102,94
36132,74
36170,126
36184,75
36188,112
36193,74
36215,90
36235,75
36257,74
36260,94
36260,112
36263,126
36290,75
36330,74
36335,112
36345,75
36396,75
36399,112
36423,94
36424,126
36450,75
36505,75
36509,112
36534,76
36541,126
36558,75
36580,94
36591,76
36595,112
36615,75
36648,76
36666,126
36678,75
36680,112
36697,94
36704,76
36754,75
36757,112
36758,76
36763,126
36813,76
36870,76
36875,112
36884,77
36891,126
36929,76
36945,77
36992,76
36996,112
37002,126
37005,77
37065,76
37066,77
37070,112
37095,126
37126,77
37187,77
37235,78
37248,77
37289,78
37312,77
37342,78
37379,77
37394,78
37395,160
37396,126
37411,90
37448,78
37461,77
37502,78
37553,78
37585,79
37589,112
37609,78
37643,79
37667,78
37700,79
37703,112
37721,126
37729,78
37756,79
37805,78
37814,79
37817,112
37842,126
37872,79
37931,79
37935,80
37935,112
37962,126
37989,80
37992,79
38008,112
38043,80
38054,79
38081,126
38095,80
38098,112
38121,79
38149,80
38200,79
38202,112
38203,80
38220,126
38255,80
38285,81
38289,112
38311,80
38343,81
38370,80
38374,112
38401,81
38418,126
38437,80
38440,112
38443,90
38458,81
38487,162
38515,81
38518,112
38523,126
38526,90
38526,93
38573,81
38583,182
38595,90
38596,80
38599,112
38614,126
38632,81
38636,82
38692,81
38694,82
38696,112
38708,126
38717,90
38752,82
38755,81
38757,112
38780,162
38782,93
38811,82
38821,81
38824,112
38841,126
38866,182
38870,82
38903,81
38907,112
38929,82
38985,83
38990,82
38990,112
39037,83
39053,82
39056,112
39091,83
39123,82
39126,112
39146,83
39198,83
39200,112
39251,83
39306,83
39311,112
39336,84
39361,83
39366,126
39389,84
39393,112
39416,83
39443,84
39478,83
39481,112
39493,84
39547,84
39552,112
39557,83
39600,84
39646,126
39651,84
39655,112
39686,85
39707,84
39749,85
39753,112
39763,84
39812,85
39815,112
39822,84
39843,126
39875,85
39878,112
39894,84
39924,90
39939,85
39942,112
39949,126
40004,85
40007,112
40036,86
40051,126
40068,85
40072,112
40093,86
40134,85
40137,112
40144,126
40151,86
40169,90
40208,85
40210,86
40212,112
40268,86
40300,85
40303,112
40318,126
40326,86
40385,86
40386,87
40389,112
40441,87
40446,86
40495,87
40498,112
40509,86
40514,141
40535,156
40550,87
40580,86
40583,112
40607,87
40620,126
40662,87
40666,112
40716,87
40729,141
40735,156
40736,88
40739,112
40746,90
40749,126
40773,87
40790,88
40833,87
40836,112
40844,88
40860,141
40895,88
40898,112
40900,87
40910,90
40914,126
40949,88
40999,87
41001,112
41003,88
41016,141
41027,156
41055,88
41071,90
41076,126
41087,89
41091,112
41110,88
41139,89
41162,126
41167,88
41168,90
41172,112
41190,89
