timestamp,neuron
71,49
71,2
71,50
72,58
72,197
73,1
75,0
76,5
77,8
79,56
79,11
79,198
79,196
79,199
80,47
81,4
81,10
81,9
82,12
82,13
82,7
82,59
83,14
83,3
83,52
84,53
84,6
85,51
85,0
86,200
86,46
86,1
86,197
87,2
87,57
88,8
88,49
88,45
88,5
88,198
89,54
89,55
89,58
89,50
89,11
89,196
90,56
91,199
92,4
92,12
93,10
94,13
94,9
94,47
97,7
98,3
98,59
99,6
100,0
100,14
100,52
102,53
102,1
102,198
102,197
103,8
103,51
103,46
103,200
104,2
104,196
104,5
104,11
105,49
105,57
106,45
106,12
106,58
106,50
106,199
106,13
107,4
107,10
107,55
107,56
107,54
108,9
108,47
108,7
109,3
109,6
109,0
111,59
114,14
114,198
114,52
115,8
115,1
118,197
119,46
119,53
119,196
120,11
120,5
120,2
121,51
121,12
121,200
122,49
122,13
123,4
123,10
123,0
123,199
124,6
124,58
124,50
124,57
124,45
124,3
124,9
125,56
125,7
125,198
125,47
126,54
126,55
126,8
127,1
127,59
128,52
129,14
129,197
130,196
130,11
131,12
131,46
132,5
133,2
134,13
134,53
135,0
137,51
138,4
138,6
138,10
138,49
138,200
140,199
140,198
140,3
141,7
141,9
142,58
142,8
143,50
143,1
143,56
143,47
144,57
144,45
145,196
145,197
145,11
145,12
146,54
146,0
146,52
146,55
146,14
146,59
147,13
147,5
147,46
147,2
148,6
149,4
149,53
149,198
149,10
150,51
151,3
151,49
152,199
152,200
153,8
153,7
156,9
158,1
159,58
160,0
160,196
160,12
161,197
161,50
161,11
161,47
161,56
162,13
163,6
163,5
163,52
163,198
163,57
164,45
164,14
164,2
164,46
165,4
165,10
165,59
165,54
165,55
166,8
166,3
167,199
167,53
167,7
167,49
168,1
168,9
168,200
168,51
169,0
170,12
170,196
172,11
173,197
173,58
175,13
175,6
177,47
177,198
177,50
178,56
179,5
180,52
181,4
181,2
181,10
181,8
182,46
182,14
182,3
182,57
183,0
183,45
183,59
184,7
184,199
184,1
185,54
185,12
185,9
185,49
185,196
185,55
186,53
186,11
186,200
186,6
186,198
186,13
187,197
187,51
189,58
190,47
190,5
191,56
191,50
192,8
192,4
193,10
194,2
194,3
194,52
195,0
196,46
199,14
199,1
200,7
200,199
201,196
201,198
201,12
202,6
202,57
202,11
202,59
202,9
202,45
202,13
203,197
203,49
204,200
205,53
205,54
205,55
205,8
205,5
206,51
206,0
206,4
207,47
207,58
207,3
207,10
208,2
208,56
208,50
208,52
209,46
209,1
210,198
211,12
211,7
211,14
211,196
212,6
213,11
213,199
215,13
217,9
218,197
219,59
220,0
220,8
220,49
221,57
221,45
222,200
222,5
223,4
223,3
223,10
223,53
224,198
224,54
224,2
224,51
224,47
225,55
225,1
225,12
225,58
225,6
225,196
226,52
226,46
226,7
226,11
226,56
226,50
226,13
227,14
227,199
228,9
229,0
229,197
230,8
232,59
234,49
235,5
236,3
237,4
238,198
238,45
238,10
238,57
239,200
240,12
240,1
240,6
241,196
241,2
242,11
242,53
242,47
242,13
242,7
243,0
243,51
243,58
243,46
244,52
244,199
244,54
244,55
244,8
244,56
245,50
245,9
245,14
245,197
247,198
247,3
247,5
248,59
248,49
248,4
249,10
249,12
250,6
251,1
252,45
252,196
252,57
253,11
254,13
254,200
255,2
255,0
258,7
259,47
260,8
260,53
260,46
261,199
261,197
261,52
261,58
262,51
262,9
262,198
262,56
262,50
262,14
263,54
263,3
263,55
264,5
264,12
264,4
264,6
265,10
265,49
265,1
266,59
266,0
266,196
266,11
266,13
268,2
269,200
269,7
269,45
270,57
270,8
272,47
272,198
273,46
274,197
275,199
276,53
276,9
277,52
278,58
278,3
279,12
279,6
279,51
280,5
280,56
280,14
280,0
280,50
280,4
281,10
281,1
281,196
282,11
282,13
282,54
282,55
283,49
284,8
285,59
285,2
285,198
285,7
286,200
287,197
288,45
288,46
288,199
288,47
288,57
288,9
289,12
289,3
289,0
289,6
290,52
290,53
291,58
291,5
292,4
293,1
293,10
293,56
293,51
294,11
294,13
294,196
294,14
295,50
299,198
299,8
300,49
301,55
301,54
301,7
302,2
303,59
303,197
303,0
303,12
304,6
304,200
304,46
304,199
304,3
305,9
305,47
306,45
306,1
306,5
306,196
306,4
306,13
307,11
307,10
307,52
307,57
308,58
308,53
308,198
309,14
309,56
309,8
309,50
310,51
313,49
314,7
316,0
317,2
318,12
318,6
319,197
319,55
320,54
320,3
321,59
321,199
322,46
322,9
322,196
322,200
322,13
322,1
322,11
322,198
323,47
323,4
323,5
323,10
324,8
325,52
326,45
326,14
326,58
326,0
326,53
327,57
327,56
327,7
327,50
327,12
328,51
328,49
328,6
329,2
330,197
331,3
334,13
334,198
335,55
335,11
336,196
336,1
336,59
336,199
336,9
337,46
337,54
338,4
338,5
338,10
339,8
339,200
340,47
340,0
342,52
343,12
343,6
343,14
344,7
344,58
345,45
345,53
345,2
345,197
345,198
346,49
346,56
346,50
346,3
346,57
347,13
347,51
347,196
347,11
347,1
349,199
349,9
349,46
349,8
349,4
349,0
350,59
350,10
350,5
350,55
352,54
353,47
355,12
355,200
357,6
359,52
360,198
360,7
361,197
361,14
362,58
362,196
362,3
363,2
363,13
363,1
363,11
363,0
363,49
364,8
364,53
365,50
365,56
365,4
365,45
365,10
365,199
365,9
365,5
366,51
366,46
366,12
366,57
367,6
368,59
368,47
368,55
369,198
369,200
369,54
372,7
372,52
375,3
375,197
376,13
376,196
376,0
378,11
378,1
378,14
379,2
379,8
379,58
381,49
381,4
381,10
382,12
382,199
382,5
382,9
383,6
383,198
383,50
383,53
383,56
384,46
385,47
385,51
385,45
385,57
385,59
386,0
386,55
386,7
387,200
387,13
387,3
387,54
387,196
387,197
388,52
388,11
388,1
389,8
391,2
391,14
392,12
393,58
393,4
394,10
395,6
396,49
397,198
397,5
398,199
398,9
401,0
401,56
401,46
401,50
402,53
402,47
402,13
403,196
403,3
403,7
403,51
403,197
404,11
404,59
404,45
404,1
404,57
404,8
404,200
405,52
405,55
405,12
406,54
406,6
406,198
406,2
407,4
407,10
408,14
408,5
408,58
409,49
410,0
410,9
410,199
413,46
415,56
415,13
417,196
417,50
418,3
419,11
419,7
419,197
419,8
419,1
419,47
420,53
421,12
421,198
421,6
422,51
422,59
422,200
423,52
423,4
423,10
423,45
423,57
423,2
424,0
424,5
425,55
425,14
426,54
426,9
426,199
426,49
426,58
427,13
428,196
428,46
429,3
429,11
429,8
430,56
430,1
430,197
430,198
430,7
431,12
431,50
432,6
433,47
435,53
437,0
438,4
439,10
440,200
440,51
440,59
440,52
440,2
441,5
443,13
443,199
443,9
443,45
443,14
443,196
443,57
444,198
444,49
444,8
444,3
444,11
445,55
445,58
445,1
445,12
