timestamp,neuron
81,12
81,46
81,13
81,50
81,3
81,54
82,53
82,2
83,199
83,55
83,200
85,47
86,14
87,11
87,201
87,198
88,202
88,52
88,7
89,0
89,5
89,1
89,6
90,49
90,8
90,59
90,51
91,9
92,58
92,10
92,4
93,12
94,56
94,13
95,46
95,3
96,45
96,57
97,2
97,199
97,50
97,198
98,11
98,0
98,200
98,53
99,14
99,47
99,54
99,6
99,202
99,201
100,7
100,1
100,55
100,8
100,5
101,52
103,49
105,59
106,9
106,51
107,12
108,10
108,4
109,58
110,13
111,3
112,56
112,46
112,198
112,0
113,2
113,11
114,199
114,6
115,8
115,200
115,202
115,45
115,201
115,7
116,50
116,1
116,14
116,57
116,5
117,47
117,53
117,12
117,52
118,9
118,49
118,4
118,10
119,54
119,55
120,13
120,59
121,51
122,3
123,0
123,58
126,198
128,11
129,6
129,46
129,2
130,56
130,8
130,199
132,1
132,202
132,7
132,200
132,201
132,12
132,5
133,14
134,10
134,50
134,4
135,9
135,47
135,13
135,0
135,52
136,45
136,53
136,3
136,49
136,198
136,57
138,11
138,6
138,54
139,58
139,51
139,59
139,55
140,8
141,2
141,46
142,56
143,12
144,199
144,1
147,7
147,5
148,202
148,201
149,200
150,0
150,14
150,10
151,13
151,4
151,198
152,9
152,3
152,47
153,50
153,52
154,6
154,11
154,49
154,8
155,53
156,45
156,12
156,57
156,2
157,58
157,46
157,1
158,51
158,199
158,59
158,54
158,7
159,55
159,5
159,56
159,0
159,202
160,201
161,13
162,200
162,10
162,198
162,4
163,14
166,3
166,9
168,6
169,11
170,8
170,47
171,52
171,12
172,50
172,49
173,2
173,0
174,1
174,53
174,199
174,46
175,7
175,5
175,58
175,202
175,198
175,45
176,57
176,201
176,13
176,10
176,51
177,59
177,4
177,56
177,200
177,3
178,54
178,14
178,55
178,6
179,9
180,8
180,11
182,12
183,47
186,0
187,52
189,2
189,49
189,50
190,1
190,198
191,199
191,7
191,5
192,202
192,13
192,46
192,201
193,10
193,53
193,4
193,58
194,3
194,6
194,200
195,8
195,14
195,11
195,9
195,45
196,57
196,12
196,51
196,56
196,59
196,0
197,54
198,55
198,47
200,52
200,2
200,1
201,198
201,49
202,50
203,13
204,7
204,5
206,199
207,46
207,202
208,10
208,6
209,201
209,4
209,3
210,8
211,11
211,0
211,12
211,58
211,200
212,53
212,14
213,9
215,198
215,56
215,51
215,57
215,45
215,59
216,1
216,2
216,47
216,13
216,52
217,54
217,7
217,5
217,49
217,55
218,50
218,6
219,199
219,46
219,202
219,10
220,3
220,4
220,8
221,201
221,0
221,12
222,11
228,200
228,58
229,9
229,14
229,198
230,53
232,13
232,1
232,2
233,56
233,6
233,5
233,7
234,47
234,51
234,52
234,0
234,8
234,10
235,3
235,59
235,12
235,4
235,49
235,45
235,202
235,57
235,199
235,11
236,46
236,201
236,50
236,54
237,55
239,198
240,9
241,200
241,58
241,14
243,13
245,1
246,53
247,6
248,2
248,0
249,5
249,8
249,7
250,12
250,3
250,10
251,4
251,11
251,56
251,47
252,202
252,199
252,52
253,201
253,49
253,51
253,46
254,198
254,59
254,50
254,57
255,45
256,54
256,9
256,13
256,55
257,200
257,14
257,1
257,6
257,0
258,58
259,2
259,8
259,12
260,5
260,7
260,53
261,3
261,11
262,10
262,4
267,202
268,56
268,47
268,199
269,198
269,201
269,52
270,49
271,46
272,13
272,51
272,0
273,6
273,50
273,9
273,59
273,1
274,8
274,12
274,200
274,57
274,14
275,45
275,2
275,54
275,5
276,11
276,3
276,7
276,58
276,55
276,10
276,4
278,53
279,198
279,202
280,199
281,47
281,201
281,56
282,0
283,52
283,13
284,46
285,49
286,6
288,12
288,8
289,1
290,9
290,51
291,200
291,2
291,50
291,11
292,14
292,3
292,5
292,59
292,7
292,10
293,4
293,198
294,57
295,58
295,45
295,202
295,0
295,54
296,199
296,201
296,13
296,55
297,53
297,6
297,47
298,12
298,46
298,56
298,52
298,8
299,49
300,1
301,9
302,11
303,3
304,51
304,2
306,5
307,10
308,7
308,4
308,200
308,14
308,50
308,198
309,59
309,0
311,202
312,6
312,13
312,58
313,199
313,201
313,57
313,12
313,8
314,45
315,54
315,1
315,47
315,53
315,46
316,52
316,49
316,11
316,55
316,3
316,56
316,9
317,2
318,5
318,198
318,0
318,4
318,10
319,7
319,51
320,14
320,200
321,50
322,6
322,59
323,13
326,12
327,202
327,8
329,199
329,201
330,58
331,1
332,11
332,57
333,3
333,0
333,47
333,198
333,46
334,45
334,9
334,52
334,49
334,2
334,5
334,10
334,4
335,7
335,53
335,54
335,6
335,56
336,55
336,13
336,14
336,51
336,12
336,200
337,8
337,50
338,59
338,202
341,199
342,201
343,11
343,1
344,0
344,58
346,3
347,198
350,46
350,2
350,9
350,5
350,47
350,6
350,10
350,4
351,7
351,49
351,52
351,13
351,12
352,57
352,8
353,45
353,14
353,53
353,200
354,56
354,54
355,202
355,51
355,0
355,55
356,50
356,11
356,59
356,199
356,1
357,201
357,198
357,3
359,58
360,6
362,4
362,5
362,2
362,12
362,10
362,13
362,9
363,46
363,7
363,8
365,47
367,49
368,52
370,0
370,14
371,200
371,57
371,202
371,11
372,198
372,1
372,56
373,45
373,53
373,3
373,199
373,201
374,50
374,6
374,54
374,51
375,55
375,59
375,12
376,8
376,13
376,4
376,10
376,5
376,2
376,58
377,7
377,9
377,46
378,47
379,0
380,49
381,52
382,11
383,14
385,198
387,202
387,200
387,1
388,3
389,57
389,6
390,199
390,201
390,56
390,12
391,8
391,53
391,13
392,45
392,4
392,10
393,5
393,50
393,2
393,0
393,7
393,51
394,9
394,54
394,59
394,46
395,58
395,55
396,47
396,11
396,198
396,49
397,52
398,14
398,202
398,1
399,3
399,6
399,200
401,12
402,8
402,199
402,201
403,13
404,56
405,57
406,0
407,4
408,10
409,5
409,2
409,53
410,7
410,45
411,9
411,50
411,198
412,11
412,46
413,51
413,58
414,47
414,54
414,59
414,6
414,49
414,1
414,202
415,52
415,3
415,14
415,12
415,55
415,8
416,200
416,13
416,0
417,199
417,201
418,4
419,10
419,56
420,5
421,57
421,2
421,7
422,198
424,9
424,11
425,53
427,45
428,46
428,50
429,6
430,12
431,1
431,3
431,8
431,58
431,0
431,202
431,51
431,47
432,49
432,13
432,14
432,52
432,59
433,200
433,54
433,201
434,199
434,4
434,10
435,55
435,198
436,5
436,2
436,7
437,11
437,56
438,9
440,57
440,6
440,53
440,0
441,12
441,46
441,8
442,3
442,1
442,50
442,45
444,13
446,202
447,58
447,47
448,51
448,49
449,14
449,52
450,201
450,200
450,59
450,198
450,199
450,4
450,10
452,5
452,11
453,54
453,2
453,7
454,0
454,6
454,55
454,9
455,12
455,56
455,8
456,3
456,13
456,1
457,46
458,53
458,202
459,57
459,50
460,47
461,198
461,45
461,58
461,49
462,14
462,4
462,10
463,51
463,52
464,201
464,199
465,59
466,200
467,11
468,5
468,0
469,2
469,7
469,6
470,12
470,8
471,9
472,3
472,13
472,54
473,1
474,56
474,202
475,198
475,55
475,46
477,10
477,4
477,53
477,47
477,14
477,50
477,201
478,0
478,49
478,199
478,11
478,58
478,57
478,52
479,6
479,5
479,200
479,12
479,45
480,51
480,2
480,7
480,8
480,59
484,13
485,3
485,9
488,1
490,198
491,202
492,54
492,0
493,46
493,10
493,4
493,56
493,11
494,6
494,201
494,12
494,199
494,14
494,8
495,5
495,55
495,47
495,49
495,53
495,7
495,2
496,200
496,52
496,50
496,58
496,13
497,3
498,9
498,57
498,51
499,45
499,1
499,59
500,198
502,0
505,202
508,10
508,6
508,11
508,4
509,12
509,46
509,8
510,201
510,5
511,199
511,14
511,56
512,7
512,2
512,13
512,54
512,3
513,200
513,47
513,49
514,52
514,9
514,198
514,1
515,58
515,50
515,53
515,0
515,55
517,51
517,57
517,59
518,202
518,45
518,6
518,11
518,12
519,4
519,10
519,8
521,46
522,5
523,13
525,201
525,7
526,3
526,199
527,2
527,14
527,56
529,198
529,0
530,200
530,1
531,47
531,49
531,9
531,54
531,52
533,58
533,6
533,50
534,53
534,12
534,11
534,202
534,8
535,10
535,55
535,4
535,51
536,59
536,13
536,57
537,5
537,45
537,46
537,3
537,7
538,201
538,2
539,0
539,199
539,198
540,14
541,56
542,1
544,9
544,200
545,47
546,49
547,6
548,52
548,12
549,8
549,11
550,54
550,202
551,58
551,10
551,4
552,50
552,13
553,53
553,0
553,5
553,3
554,198
554,7
554,201
554,51
555,2
555,46
555,55
555,59
555,199
556,14
556,57
556,1
557,45
558,6
558,9
558,200
558,12
558,56
559,47
559,49
559,8
560,11
561,52
563,10
563,4
564,13
564,202
565,0
566,58
568,54
568,198
569,3
569,5
569,50
570,7
571,201
571,53
571,2
