timestamp,neuron
17173,200
17251,200
17323,200
17398,200
17476,200
17553,200
17630,200
17703,200
17778,200
17855,200
17936,200
18028,200
18672,45
18732,45
18791,45
18851,45
18911,45
18970,45
19022,46
19032,45
19077,46
19098,45
19133,46
19180,45
19189,46
19240,46
19296,46
19353,46
19373,47
19412,46
19433,47
19476,46
19493,47
19554,47
19560,46
19614,47
19675,47
19736,47
19801,47
19808,194
19808,146
19809,198
19809,133
19809,200
19810,201
19811,202
19811,187
19812,211
19813,199
19872,47
19970,47
20073,49
20132,49
20191,49
20250,49
20308,49
20326,126
20366,49
20378,174
20382,206
20393,198
20397,201
20406,99
20422,171
20423,50
20423,49
20430,126
20435,202
20435,199
20436,200
20448,133
20467,211
20485,49
20487,50
20495,174
20497,206
20501,198
20502,201
20504,99
20507,171
20550,50
20555,49
20613,50
20675,50
20737,50
20773,51
20803,50
20817,201
20821,198
20832,51
20836,199
20861,202
20881,50
20886,200
20891,51
20892,198
20906,211
20951,51
21010,51
21068,51
21122,52
21129,51
21132,174
21133,154
21137,198
21137,201
21143,200
21148,199
21154,202
21183,52
21192,51
21244,52
21258,174
21260,51
21261,154
21267,201
21267,146
21268,198
21268,206
21269,216
21270,202
21270,200
21271,199
21271,181
21306,52
21354,51
21367,52
21402,174
21429,52
21473,53
21491,52
21522,53
21536,144
21536,127
21540,146
21541,198
21544,181
21545,200
21546,201
21546,199
21555,52
21574,53
21596,202
21621,52
21626,53
21629,174
21629,154
21632,198
21632,201
21634,200
21636,199
21647,144
21648,127
21676,53
21695,181
21698,52
21729,53
21778,53
21789,52
21798,144
21799,127
21813,199
21816,146
21820,198
21824,54
21829,201
21833,53
21834,200
21839,182
21846,194
21872,202
21887,53
21890,54
21943,53
21951,144
21953,127
21953,54
21955,146
21956,198
21957,181
21958,200
21959,201
21960,199
22007,53
22016,54
22078,54
22106,182
22109,127
22114,53
22141,54
22155,194
22157,198
22158,201
22161,202
22163,199
22170,200
22174,55
22211,54
22234,55
22282,54
22295,55
22296,182
22305,194
22309,198
22310,201
22332,199
22342,202
22355,55
22401,54
22411,182
22414,194
22415,198
22415,55
22416,201
22420,199
22425,200
22476,55
22524,56
22538,55
22548,198
22566,201
22581,56
22596,171
22601,200
22602,202
22602,55
22609,199
22620,178
22621,198
22640,56
22653,201
22681,55
22690,198
22692,202
22692,200
22694,199
22699,56
22725,171
22758,56
22806,198
22818,56
22874,57
22878,56
22899,198
22917,201
22938,57
22942,56
23005,57
23014,56
23030,201
23040,198
23047,202
23072,57
23136,57
23201,57
23214,201
23215,198
23217,202
23222,200
23223,199
23225,58
23273,57
23288,58
23344,57
23351,58
23362,201
23364,198
23366,202
23378,200
23384,199
23413,58
23436,57
23474,58
23536,58
23574,59
23601,58
23618,198
23623,201
23630,200
23631,59
23645,199
23682,59
23683,58
23692,198
23694,194
23695,202
23696,99
23703,133
23721,176
23737,59
23793,59
23849,59
23900,59
23908,99
23908,194
23909,198
23909,133
23909,202
23909,201
23913,199
23915,200
23926,60
23942,154
23958,59
23965,146
23972,216
23989,60
24020,59
24028,99
24028,194
24029,198
24030,201
24030,202
24030,133
24034,199
24038,200
24051,60
24089,59
24113,60
24175,60
24237,60
24274,61
24300,60
24307,154
24309,146
24310,216
24313,127
24314,175
24315,202
24338,61
24369,60
24389,153
24401,61
24422,201
24454,60
24469,61
24533,61
24596,61
24627,62
24639,126
24662,61
24682,153
24688,201
24691,62
24735,61
24754,62
24811,61
24817,62
24832,126
24879,62
24890,99
24891,133
24943,62
24953,126
24976,63
25012,62
25040,63
25050,216
25084,62
25093,126
25107,63
25112,99
25126,133
25173,63
25198,62
25205,126
25214,99
25219,133
25236,63
25302,63
25321,216
25326,64
25376,63
25390,64
25452,64
25473,63
25514,64
25576,64
25638,64
25675,65
25676,206
25701,64
25735,65
25771,64
25795,65
25842,64
25855,65
25856,206
25915,65
25940,64
25949,206
25963,189
25974,65
26027,66
26036,65
26041,126
26091,66
26100,65
26109,198
26110,216
26154,66
26171,65
26217,66
26231,126
26280,66
26292,133
26299,65
26301,175
26305,126
26309,198
26311,216
26347,66
26375,67
26414,66
26416,126
26448,67
26488,66
26505,126
26516,67
26590,67
26657,67
26667,126
26727,68
26733,67
26766,153
26786,68
26809,67
26845,68
26852,178
26870,153
26903,68
26912,67
26918,171
26919,188
26930,211
26961,68
26967,175
26981,153
26987,178
27021,68
27029,171
27030,188
27032,211
27076,69
27081,68
27091,153
27092,171
27092,178
27108,175
27137,69
27143,68
27156,146
27176,188
27191,171
27199,69
27212,181
27213,68
27261,69
27276,146
27295,68
27325,69
27389,69
27428,70
27453,69
27492,70
27521,69
27527,146
27530,181
27555,70
27610,69
27619,70
27636,199
27647,171
27686,70
27751,70
27777,71
27816,70
27839,71
27848,133
27849,206
27850,201
27850,181
27884,70
27903,71
27960,70
27967,71
27969,171
27971,199
27978,189
28031,71
28065,70
28094,71
28128,72
28159,71
28168,133
28169,206
28170,201
28171,181
28195,72
28234,71
28265,72
28290,206
28292,216
28303,188
28333,72
28338,71
28358,133
28359,201
28375,181
28400,72
28407,99
28408,206
28408,216
28408,188
28414,199
28473,72
28478,73
28503,133
28543,72
28545,73
28562,206
28562,216
28566,188
28567,99
28611,73
28626,72
28675,73
28739,73
28747,133
28754,211
28809,73
28828,74
28877,73
28892,74
28955,74
28956,73
29017,74
29080,74
29091,198
29147,74
29177,75
29187,126
29214,74
29236,75
29290,74
29294,75
29352,75
29410,75
29467,75
29493,126
29523,75
29529,76
29572,181
29582,75
29589,76
29589,126
29607,211
29648,75
29648,76
29708,76
29751,75
29767,76
29770,126
29826,76
29877,77
29885,126
29887,76
29889,99
29908,199
29943,77
29953,76
30010,77
30032,76
30073,77
30137,77
30146,126
30160,99
30202,77
30219,199
30229,78
30272,77
30284,78
30294,126
30338,78
30344,77
30362,99
30396,78
30412,126
30442,77
30450,99
30454,78
30458,199
30512,78
30571,78
30578,79
30584,126
30585,154
30587,99
30595,200
30632,78
30640,79
30646,154
30700,78
30703,79
30705,126
30716,154
30721,99
30766,79
30781,126
30789,174
30805,78
30829,79
30891,79
30929,80
30954,79
30986,80
30998,126
31020,79
31032,154
31034,174
31035,99
31040,80
31079,200
31097,80
31099,79
31103,126
31104,154
31105,99
31105,174
31154,80
31212,80
31252,79
31272,80
31278,81
31283,126
31287,99
31289,144
31292,201
31301,200
31314,198
31334,80
31339,81
31402,81
31405,80
31408,126
31411,99
31414,144
31417,201
31426,200
31427,198
31465,81
31529,81
31591,81
31630,82
31654,81
31688,126
31692,82
31720,81
31728,99
31730,144
31732,201
31737,200
31737,198
31754,82
31798,81
31803,126
31805,99
31807,144
31816,82
31817,201
31817,198
31878,82
31884,126
31893,187
31916,189
31940,82
31979,83
31985,154
31985,126
31988,133
31993,176
31994,175
32008,82
32036,83
32083,82
32091,126
32094,83
32153,83
32211,83
32269,83
32327,83
32330,84
32386,84
32388,83
32400,126
32439,84
32447,182
32447,194
32450,201
32458,83
32465,154
32469,133
32475,175
32476,176
32495,84
32514,126
32553,84
32610,84
32668,84
32679,85
32684,126
32685,154
32686,146
32686,206
32687,216
32727,84
32750,85
32792,84
32816,85
32825,126
32859,216
32887,85
32901,84
32908,126
32913,182
32914,194
32919,201
32954,85
33021,85
33027,126
33029,86
33031,154
33031,146
33032,206
33033,216
33091,86
33094,85
33112,126
33152,86
33177,85
33183,126
33187,146
33188,154
33188,216
33188,206
33192,211
33213,86
33274,86
33293,126
33335,86
33379,87
33385,126
33387,146
33389,194
33390,216
33396,175
33398,86
33406,154
33407,144
33409,153
33409,188
33438,87
33464,86
33473,126
33490,154
33497,87
33506,146
33508,194
33510,216
33522,175
33541,86
33548,126
33552,144
33556,153
33556,188
33556,87
33616,87
33623,126
33632,146
33638,194
33652,216
33675,87
33730,88
33736,87
33743,126
33752,146
33758,194
33769,216
33787,88
33800,87
33836,175
33842,88
33850,126
33855,99
33856,194
33876,87
33897,88
33897,146
33906,174
33954,88
33974,126
34012,88
34071,88
34080,89
34088,126
34092,206
34098,198
34132,88
34136,89
34193,89
34198,88
34203,126
34204,174
34205,99
34206,194
34251,89
34289,88
34309,89
34364,89
34376,126
34392,206
34419,89
34428,198
34431,200
34478,89
34483,126
34485,206
34487,198
34509,200
34542,89
34570,198
34583,200
34626,89
34651,126
34657,200
34734,200
34811,200
34888,200
34960,200
35035,200
35113,200
