timestamp,neuron
8719,200
8790,200
8866,200
8943,200
9021,200
9097,200
9168,200
9245,200
9323,200
9400,200
9479,200
9571,200
10217,45
10276,45
10333,45
10390,45
10448,45
10507,45
10565,46
10568,45
10622,46
10632,45
10677,46
10708,45
10728,46
10784,46
10840,46
10892,46
10917,47
10948,46
10977,47
11010,46
11037,47
11083,46
11096,47
11154,47
11213,47
11272,47
11335,47
11405,47
11488,47
11507,206
11617,49
11674,49
11729,49
11740,174
11743,206
11755,203
11781,171
11786,49
11845,49
11904,49
11963,49
11966,50
12026,49
12028,50
12050,206
12054,207
12078,124
12089,50
12094,49
12109,205
12110,203
12140,174
12151,50
12178,206
12185,207
12214,50
12217,49
12277,50
12317,51
12343,50
12376,51
12414,50
12432,51
12489,51
12508,206
12508,146
12513,216
12523,207
12524,91
12538,203
12547,51
12606,51
12666,52
12666,51
12673,206
12673,207
12673,203
12677,205
12727,52
12728,51
12759,146
12773,216
12787,52
12794,51
12847,52
12878,51
12908,52
12914,206
12927,174
12944,203
12944,154
12968,52
13017,53
13029,52
13038,174
13039,206
13039,154
13042,203
13047,207
13067,53
13072,205
13093,52
13119,53
13161,52
13168,53
13196,206
13202,144
13221,53
13232,52
13269,53
13282,206
13283,144
13286,203
13290,207
13291,91
13291,181
13319,52
13322,53
13348,205
13367,54
13372,53
13426,53
13430,54
13485,53
13496,54
13551,53
13560,54
13584,206
13594,144
13623,54
13655,53
13685,54
13718,55
13750,54
13778,55
13826,54
13839,55
13899,55
13937,54
13959,55
14020,55
14067,56
14082,55
14126,56
14146,55
14186,56
14219,55
14245,56
14305,56
14364,56
14418,57
14425,56
14483,57
14489,56
14509,206
14518,207
14538,203
14546,57
14560,56
14613,57
14680,57
14744,57
14768,58
14801,206
14810,57
14829,58
14847,203
14852,207
14882,205
14886,57
14890,58
14952,58
14978,57
15015,58
15077,58
15119,59
15143,58
15170,59
15215,58
15221,206
15225,59
15281,59
15335,59
15387,59
15443,59
15468,60
15479,182
15484,124
15489,216
15501,59
15529,60
15562,59
15590,60
15607,182
15620,124
15632,59
15643,216
15651,60
15711,60
15733,182
15773,60
15774,124
15819,61
15837,60
15882,61
15905,60
15945,61
15984,60
16008,61
16033,153
16038,124
16072,61
16139,61
16169,62
16195,124
16202,99
16204,61
16233,62
16271,61
16298,62
16344,153
16351,61
16361,62
16424,62
16487,62
16520,63
16552,62
16584,63
16627,62
16647,63
16712,63
16743,62
16779,63
16844,63
16868,64
16893,124
16912,63
16930,64
16992,64
17000,63
17055,64
17117,64
17180,64
17220,65
17243,64
17280,65
17308,64
17336,124
17339,65
17381,64
17399,65
17458,65
17466,64
17518,65
17569,66
17578,126
17579,65
17591,124
17634,66
17643,65
17699,66
17713,65
17729,126
17736,174
17762,66
17824,66
17837,65
17887,66
17902,126
17920,67
17954,66
17987,67
18006,126
18030,66
18060,67
18092,124
18127,67
18138,126
18200,67
18268,67
18269,68
18276,126
18281,124
18295,171
18328,68
18347,67
18359,126
18388,68
18447,68
18447,67
18453,124
18458,126
18507,68
18566,68
18620,69
18627,68
18682,69
18689,68
18714,124
18714,171
18743,69
18758,68
18805,69
18840,68
18867,69
18928,69
18970,70
18989,124
18991,69
19038,70
19062,69
19102,70
19140,69
19165,70
19228,70
19293,70
19321,71
19361,70
19383,71
19428,70
19445,71
19506,70
19507,71
19569,71
19588,124
19611,70
19632,71
19670,72
19700,71
19741,72
19769,71
19793,124
19807,72
19828,174
19865,71
19879,72
19945,72
20017,72
20022,73
20085,73
20088,72
20106,174
20149,73
20169,133
20173,124
20174,72
20217,73
20282,73
20346,73
20371,74
20415,73
20436,74
20490,73
20500,74
20563,74
20623,73
20625,74
20687,74
20721,75
20754,74
20778,75
20832,74
20832,75
20887,75
20945,75
21003,75
21062,75
21071,76
21123,75
21129,76
21149,133
21149,124
21188,76
21191,75
21247,76
21301,75
21307,76
21366,76
21421,77
21427,76
21484,77
21492,76
21547,77
21570,99
21572,76
21613,77
21679,77
21743,77
21772,78
21808,77
21823,99
21827,78
21880,124
21885,78
21885,77
21942,78
21986,77
22000,78
22056,78
22110,78
22122,79
22169,78
22183,79
22191,124
22196,91
22234,78
22245,79
22306,79
22322,78
22367,79
22429,79
22449,124
22472,80
22492,79
22527,80
22561,79
22584,80
22633,79
22642,80
22700,80
22741,79
22757,80
22812,80
22821,81
22871,80
22883,81
22898,174
22938,80
22944,81
23006,81
23067,81
23128,81
23173,82
23190,81
23236,82
23260,81
23266,99
23299,82
23331,81
23357,99
23361,82
23423,82
23438,81
23485,82
23522,83
23549,82
23559,174
23580,83
23582,124
23628,82
23637,83
23638,174
23690,83
23747,83
23805,83
23864,83
23873,84
23925,83
23927,84
23984,84
23992,83
24042,84
24099,84
24122,83
24151,84
24207,84
24222,85
24267,84
24288,85
24305,216
24333,84
24359,85
24404,124
24425,85
24430,84
24492,85
24562,85
24573,86
24630,85
24634,86
24694,86
24710,85
24755,86
24817,86
24843,85
24878,86
24922,87
24941,86
24982,87
25006,86
25042,87
25079,86
25101,87
25161,87
25220,87
25274,88
25281,87
25327,88
25345,87
25385,88
25416,87
25443,88
25500,88
25557,88
25610,88
25623,89
25669,88
25680,89
25695,203
25699,124
25732,88
25737,89
25789,89
25812,88
25845,89
25903,89
25961,89
25976,200
26021,89
26047,200
26086,89
26124,200
26168,89
26202,200
26278,200
26349,200
26425,200
26503,200
26580,200
26653,200
