timestamp,x,y,pol
12,21,60,1
12,39,19,1
12,10,124,1
12,38,125,1
12,34,34,1
12,120,52,1
12,76,21,1
12,54,27,1
12,82,114,1
12,94,103,1
12,69,72,1
12,69,11,1
12,27,125,1
12,77,99,1
12,109,41,1
12,2,14,1
12,87,99,0
12,87,99,0
12,65,21,1
12,99,48,1
12,45,107,1
12,45,15,1
12,30,119,1
12,121,75,1
12,71,85,1
12,47,79,1
12,28,65,1
12,28,34,1
12,13,18,1
12,54,92,1
12,37,18,1
12,96,36,1
12,37,37,1
12,10,92,1
12,15,71,1
12,21,56,1
12,5,57,1
12,46,61,1
12,62,40,1
12,105,10,1
12,116,40,1
12,91,55,1
12,37,85,1
12,56,73,1
12,89,98,0
12,9,119,1
12,27,79,1
12,54,14,1
12,85,34,1
12,20,36,1
12,92,99,1
12,91,119,1
12,64,126,1
12,93,60,1
12,97,119,1
12,108,25,1
12,90,100,0
12,112,57,1
12,99,109,1
12,112,58,1
12,67,2,1
12,32,60,1
12,110,57,0
12,91,98,1
12,90,99,0
12,36,65,1
12,92,36,1
12,4,110,1
12,4,125,1
12,16,49,1
12,97,125,1
12,27,117,1
12,127,80,1
12,75,28,1
12,37,42,1
12,62,114,1
12,7,37,1
12,73,14,1
12,6,110,1
12,2,119,1
12,62,10,1
12,66,36,1
12,86,51,1
12,90,99,1
12,74,5,1
12,87,86,1
12,110,121,1
12,12,30,1
12,117,64,1
12,124,76,1
12,121,102,1
12,69,18,1
12,8,89,1
12,61,53,1
12,44,10,1
12,81,83,1
12,122,83,1
12,36,77,1
12,63,79,1
12,84,52,1
12,24,119,1
12,127,4,1
12,69,0,1
12,77,8,1
12,93,1,1
12,12,8,1
12,10,79,1
12,49,52,1
12,60,21,1
12,63,69,1
12,75,40,1
12,48,92,1
12,49,79,1
12,13,95,1
12,112,115,1
12,13,99,1
12,49,87,1
12,113,29,1
12,42,50,1
12,22,85,1
12,50,56,1
12,24,40,1
12,91,62,1
12,64,3,1
12,75,54,1
12,97,1,1
12,7,106,1
12,95,52,1
12,58,59,1
12,23,50,1
12,25,38,1
12,51,59,1
12,25,14,1
12,58,31,1
12,39,78,1
12,93,22,1
12,99,121,1
12,48,79,1
12,113,92,1
12,65,23,1
12,102,55,1
12,83,108,1
12,17,124,1
12,106,54,1
12,75,127,1
12,97,87,1
12,9,51,1
12,20,22,1
12,51,118,1
12,41,89,1
12,2,40,1
12,80,63,1
12,28,59,1
12,51,47,1
12,24,34,1
12,82,109,1
12,117,0,1
12,5,73,1
12,11,121,1
12,74,81,1
12,74,48,1
12,85,70,1
12,79,18,1
12,36,75,1
12,31,91,1
12,58,30,1
12,65,31,1
12,51,52,1
12,51,115,1
12,50,123,1
12,72,47,1
12,122,18,1
12,110,49,1
12,126,1,1
12,96,46,1
12,118,7,1
12,115,79,1
12,102,38,1
12,119,67,1
12,88,15,1
12,90,58,1
12,94,108,1
12,75,19,1
12,43,37,1
12,54,41,1
12,38,62,1
12,31,65,1
12,8,61,1
12,29,31,1
12,37,8,1
12,44,78,1
12,117,98,1
12,19,5,1
12,57,60,1
12,78,111,1
12,81,2,1
12,11,92,1
12,25,9,1
12,55,77,1
12,90,99,0
12,57,75,1
12,58,114,1
12,45,100,1
12,54,47,1
12,94,116,1
12,84,47,1
12,29,123,1
12,56,57,1
12,95,1,1
12,18,7,1
12,107,105,1
12,111,31,1
12,101,59,1
12,48,124,1
12,66,40,1
12,66,101,1
12,13,3,1
12,85,54,1
12,33,37,1
12,22,76,1
12,22,67,1
12,73,53,1
12,117,73,1
12,92,100,1
12,25,33,1
12,126,15,1
12,87,33,1
12,80,121,1
12,122,73,1
12,5,31,1
12,78,110,1
12,57,61,1
12,121,92,1
12,22,15,1
12,0,50,1
12,85,112,1
12,44,70,1
12,100,105,1
12,51,76,1
12,107,38,1
12,115,95,1
12,111,2,1
12,104,35,1
12,61,21,1
12,14,70,1
12,82,44,1
12,61,107,1
12,91,20,1
12,30,119,1
12,61,56,1
12,61,95,1
12,93,44,1
12,110,125,1
12,108,84,1
12,11,62,1
12,77,81,1
12,77,118,1
12,71,124,1
12,35,23,1
12,36,55,1
12,81,57,1
12,64,50,1
12,39,10,1
12,121,6,1
12,68,40,1
12,39,31,1
12,51,67,1
12,49,59,1
12,40,95,1
12,12,58,1
12,40,80,1
12,101,87,1
12,28,47,1
12,105,127,1
12,6,79,1
12,6,49,1
12,103,52,1
12,106,43,1
12,87,63,1
12,48,83,1
12,113,0,1
12,29,76,1
12,29,99,1
12,11,53,1
12,103,124,1
12,97,26,1
12,55,17,1
12,55,44,1
12,32,94,1
12,22,124,1
12,21,51,1
12,36,85,1
12,75,2,1
12,94,100,1
12,11,70,1
12,92,98,1
12,3,71,1
12,76,114,1
12,40,65,1
12,40,58,1
12,100,6,1
12,30,127,1
12,112,59,1
12,18,71,1
12,12,26,1
12,12,16,1
12,12,91,1
12,54,90,1
12,118,100,1
12,105,102,1
12,17,114,1
12,14,67,1
12,59,77,1
12,22,24,1
12,56,42,1
12,55,22,1
12,71,11,1
12,60,36,1
12,15,16,1
12,88,42,1
12,28,74,1
12,115,80,1
12,88,35,1
12,88,60,1
12,27,108,1
12,75,80,1
12,105,18,1
12,66,120,1
12,119,24,1
12,71,7,1
12,76,68,1
12,107,54,1
12,15,86,1
12,93,46,1
12,19,90,1
12,88,113,1
12,56,65,1
12,22,33,1
12,35,101,1
12,33,33,1
12,15,3,1
12,12,126,1
12,47,93,1
12,15,125,1
12,121,32,1
12,85,78,0
12,85,78,0
12,30,67,1
12,13,93,1
12,104,81,1
12,111,52,1
12,67,41,1
12,46,123,1
12,42,9,1
12,103,68,1
12,82,20,1
12,36,31,1
12,127,6,1
12,98,50,1
12,7,45,1
12,4,6,1
12,57,77,1
12,101,49,1
12,121,30,1
12,14,91,1
12,7,126,1
12,73,81,1
12,76,29,1
12,108,72,1
12,88,59,1
12,33,27,1
12,31,3,1
12,28,38,1
12,120,88,1
12,5,71,1
12,17,67,1
12,115,41,1
12,11,75,1
12,27,104,1
12,85,57,1
12,92,99,1
12,76,27,1
12,100,126,1
12,73,16,1
12,19,94,1
12,82,122,1
12,41,118,1
12,35,31,1
12,54,32,1
12,43,111,1
12,6,24,1
12,78,16,1
12,122,68,1
12,19,23,1
12,61,114,1
12,84,115,1
12,68,62,1
12,73,108,1
12,71,5,1
12,23,44,1
12,31,101,1
12,125,111,1
12,38,37,1
12,62,123,1
12,45,102,1
12,27,125,1
12,64,15,1
12,55,120,1
12,75,100,1
12,115,35,1
12,116,48,1
12,80,8,1
12,52,126,1
12,1,38,1
12,79,52,1
12,67,97,1
12,49,55,1
12,21,19,1
12,25,114,1
12,51,14,1
12,35,96,1
12,69,93,1
12,119,46,1
12,80,53,1
12,3,92,1
12,80,111,1
12,35,56,1
12,71,78,1
12,39,95,1
12,39,122,1
12,9,25,1
12,23,3,1
12,99,117,1
12,43,79,1
12,69,26,1
12,99,106,1
12,50,113,1
12,58,107,1
12,42,27,1
12,105,93,1
12,75,43,1
12,80,106,1
12,68,107,1
12,113,10,1
12,70,111,1
12,38,126,1
12,123,82,1
12,77,124,1
12,100,87,1
12,101,29,1
12,4,21,1
12,36,47,1
12,98,3,1
12,43,31,1
12,38,109,1
12,86,72,1
12,58,38,1
12,81,124,1
12,70,87,1
12,100,76,1
12,54,100,1
12,99,43,1
12,112,56,1
12,101,74,1
12,68,116,1
12,58,54,1
12,76,108,1
12,55,94,1
12,0,20,1
12,54,2,1
12,78,12,1
12,24,75,1
12,15,41,1
12,64,91,1
12,75,49,1
12,21,120,1
12,35,69,1
12,64,37,1
12,101,77,1
12,95,106,1
12,58,85,1
12,24,86,1
12,92,26,1
12,35,41,1
12,50,60,1
12,0,41,1
12,20,120,1
12,40,31,1
12,110,91,1
12,95,62,1
12,64,80,1
12,28,115,1
12,85,123,1
12,29,85,1
12,39,29,1
12,18,119,1
12,68,8,1
12,117,37,1
12,102,126,1
12,104,127,1
12,104,117,1
12,57,27,1
12,9,123,1
12,31,111,1
12,56,50,1
12,45,25,1
12,107,70,1
12,22,37,1
12,46,57,1
12,14,83,1
12,60,3,1
12,34,117,1
12,33,55,1
12,65,99,1
12,40,90,1
12,7,73,1
12,47,74,1
12,32,51,1
12,52,106,1
12,74,16,1
12,14,73,1
12,13,97,1
12,56,82,1
12,25,75,1
12,13,73,1
12,108,106,1
12,108,110,1
12,125,23,1
12,125,24,1
12,31,117,1
12,84,46,1
12,112,57,1
12,76,1,1
12,59,105,1
12,72,2,1
12,71,49,1
12,111,58,0
12,111,82,1
12,40,53,1
12,40,27,1
12,61,38,1
12,115,96,1
12,125,55,1
12,78,75,1
12,56,114,1
12,94,115,1
12,39,6,1
12,43,52,1
12,33,78,1
12,56,113,1
12,23,94,1
12,74,37,1
12,57,6,1
12,29,107,1
12,63,124,1
12,0,85,1
12,113,88,1
12,27,63,1
12,104,66,1
12,104,62,1
12,1,35,1
12,13,8,1
12,121,123,1
12,62,16,1
12,82,27,1
12,60,5,1
12,51,123,1
12,1,17,1
12,24,115,1
12,7,107,1
12,51,96,1
12,47,34,1
12,51,51,1
12,96,100,1
12,114,125,1
12,36,11,1
12,30,119,1
12,111,123,1
12,25,77,1
12,53,120,1
12,63,37,1
12,53,39,1
12,120,77,1
12,53,82,1
12,33,26,1
12,99,45,1
12,77,40,1
12,113,74,1
12,93,100,1
12,113,58,1
12,92,98,1
12,93,99,1
12,4,22,1
12,26,43,1
12,54,86,1
12,12,22,1
12,118,112,1
12,84,78,1
12,30,112,1
12,53,126,1
12,49,73,1
12,119,71,1
12,51,61,1
12,5,44,1
12,80,83,1
12,57,87,1
12,24,26,1
12,78,61,1
12,114,33,1
12,59,109,1
12,110,115,1
12,75,114,1
12,30,68,1
12,72,117,1
12,72,28,1
12,106,91,1
12,65,72,1
12,67,48,1
12,107,15,1
12,72,57,1
12,65,65,1
12,109,72,1
12,4,37,1
12,17,70,1
12,63,114,1
12,127,111,1
12,87,86,1
12,23,73,1
12,114,7,1
12,51,92,1
12,14,106,1
12,125,104,1
12,123,33,1
12,97,54,1
12,71,76,1
12,106,124,1
12,49,72,1
12,49,30,1
12,112,83,1
12,9,31,1
12,77,119,1
12,110,58,0
12,16,80,1
12,82,31,1
12,89,60,1
12,44,115,1
12,29,36,1
12,78,49,1
12,76,81,1
12,92,23,1
12,17,50,1
12,51,97,1
12,120,74,1
12,65,92,1
12,59,3,1
12,104,100,1
12,115,67,1
12,93,98,1
12,118,64,1
12,112,62,1
12,25,71,1
12,112,76,1
12,63,56,1
12,20,30,1
12,49,111,1
12,47,21,1
12,66,110,1
12,16,123,1
12,48,100,1
12,52,9,1
12,52,71,1
12,47,126,1
12,79,69,1
12,25,52,1
12,56,26,1
12,25,64,1
12,121,79,1
12,39,2,1
12,9,3,1
12,25,26,1
12,39,50,1
12,15,9,1
12,41,33,1
12,23,14,1
12,5,42,1
12,26,29,1
12,125,47,1
12,70,65,1
12,126,89,1
12,44,52,1
12,70,67,1
12,44,57,1
12,114,17,1
12,11,103,1
12,22,42,1
12,76,3,1
12,106,116,1
12,102,121,1
12,95,43,1
12,111,16,1
12,18,9,1
12,109,43,1
12,61,65,1
12,78,40,1
12,42,37,1
12,42,16,1
12,31,116,1
12,87,54,1
12,79,27,1
12,35,5,1
12,127,109,1
12,120,48,1
12,93,14,1
12,44,30,1
12,13,118,1
12,11,34,1
12,41,20,1
12,18,43,1
12,16,69,1
12,65,52,1
12,55,90,1
12,29,57,1
12,104,74,1
12,29,94,1
12,64,114,1
12,30,58,1
12,82,113,1
12,13,101,1
12,67,70,1
12,84,87,0
12,52,90,1
12,63,39,1
12,40,119,1
12,96,106,1
12,6,58,1
12,57,55,1
12,103,64,1
12,37,81,1
12,85,30,1
12,109,75,1
12,60,77,1
12,36,70,1
12,110,43,1
12,94,118,1
12,84,12,1
12,113,56,1
12,106,68,1
12,42,17,1
12,9,62,1
12,58,82,1
12,2,0,1
12,123,123,1
12,72,73,1
12,8,78,1
12,35,44,1
12,72,86,1
12,59,92,1
12,13,10,1
12,29,105,1
12,37,84,1
12,8,25,1
12,118,48,1
12,50,19,1
12,118,4,1
12,57,123,1
12,80,109,1
12,127,13,1
12,90,17,1
12,72,20,1
12,91,99,0
12,83,84,1
12,39,28,1
12,87,53,1
12,118,40,1
12,63,112,1
12,126,44,1
12,67,60,1
12,63,42,1
12,29,53,1
12,67,103,1
12,53,62,1
12,24,88,1
12,112,13,1
12,12,52,1
12,126,79,1
12,9,44,1
12,12,25,1
12,0,34,1
12,93,13,1
12,9,106,1
12,103,15,1
12,112,95,1
12,49,8,1
12,82,71,1
12,54,91,1
12,86,125,1
12,105,53,1
12,118,72,1
12,55,80,1
12,93,91,1
12,70,70,1
12,52,31,1
12,93,41,1
12,13,76,1
12,6,60,1
12,32,57,1
12,111,110,1
12,26,20,1
12,111,6,1
12,120,51,1
12,47,115,1
12,25,74,1
12,0,37,1
12,101,31,1
12,101,124,1
12,90,18,1
12,4,33,1
12,103,32,1
12,43,54,1
12,14,113,1
12,48,33,1
12,24,20,1
12,44,2,1
12,0,127,1
12,5,28,1
12,57,44,1
12,41,74,1
12,39,63,1
12,81,96,1
12,114,59,1
12,86,1,1
12,58,99,1
12,13,1,1
12,84,93,1
12,12,3,1
12,43,48,1
12,125,116,1
12,107,53,1
12,5,34,1
12,89,59,1
12,72,87,1
12,65,29,1
12,110,39,1
12,20,96,1
12,18,54,1
12,121,65,1
12,16,85,1
12,75,25,1
12,9,74,1
12,46,111,1
12,61,15,1
12,110,72,1
12,53,61,1
12,66,17,1
12,71,30,1
12,117,120,1
12,20,55,1
12,28,119,1
12,122,89,1
12,82,80,1
12,21,48,1
12,36,12,1
12,92,27,1
12,17,64,1
12,90,121,1
12,99,97,1
12,17,40,1
12,53,119,1
12,58,77,1
12,31,127,1
12,93,45,1
12,76,54,1
12,36,90,1
12,119,31,1
12,43,96,1
12,110,18,1
12,31,84,1
12,73,32,1
12,36,0,1
12,71,41,1
12,71,114,1
12,96,109,1
12,79,19,1
12,69,30,1
12,69,99,1
12,36,79,1
12,17,57,1
12,112,30,1
12,101,37,1
12,2,38,1
12,84,125,1
12,25,106,1
12,28,109,1
12,80,48,1
12,12,121,1
12,0,118,1
12,75,64,1
12,7,89,1
12,91,57,1
12,11,100,1
12,55,97,1
12,120,9,1
12,106,100,1
12,115,14,1
12,109,74,1
12,96,61,1
12,76,99,1
12,98,44,1
12,32,39,1
12,98,101,1
12,29,13,1
12,123,95,1
12,91,40,1
12,111,103,1
12,2,115,1
12,2,30,1
12,118,33,1
12,123,64,1
12,84,31,1
12,102,85,1
12,46,102,1
12,121,127,1
12,97,114,1
12,43,122,1
12,116,48,1
12,40,35,1
12,22,3,1
12,14,123,1
12,73,5,1
12,113,57,1
12,20,43,1
12,27,125,1
12,90,65,1
12,17,56,1
12,26,117,1
12,40,18,1
12,20,101,1
12,64,29,1
12,75,60,1
12,50,54,1
12,93,79,1
12,50,32,1
12,83,69,1
12,125,70,1
12,44,86,1
12,24,71,1
12,55,74,1
12,109,87,1
12,86,108,1
12,7,25,1
12,122,86,1
12,12,7,1
12,18,94,1
12,72,12,1
12,87,34,1
12,103,26,1
12,90,62,1
12,106,109,1
12,126,95,1
12,98,95,1
12,11,9,1
12,17,58,1
12,110,16,1
12,126,29,1
12,65,85,1
12,30,61,1
12,10,13,1
12,10,81,1
12,83,113,1
12,51,103,1
12,34,71,1
12,50,41,1
12,26,27,1
12,30,119,1
12,30,105,1
12,47,60,1
12,33,30,1
12,66,29,1
12,71,113,1
12,106,36,1
12,29,30,1
12,121,125,1
12,47,48,1
12,57,40,1
12,57,82,1
12,63,102,1
12,74,1,1
12,29,47,1
12,2,118,1
12,7,110,1
12,82,50,1
12,59,96,1
12,65,10,1
12,18,87,1
12,54,19,1
12,33,25,1
12,75,62,1
12,7,99,1
12,25,46,1
12,28,112,1
12,8,37,1
2504,0,1,1
2504,71,84,1
2504,24,102,1
2504,107,77,1
2504,21,6,1
2504,83,40,1
2504,10,66,1
2504,36,49,1
2504,28,61,1
2504,6,64,1
2504,16,61,1
2504,45,84,1
2504,105,42,1
2504,19,117,1
2504,48,114,1
2504,65,62,1
2504,80,56,1
2504,36,95,1
2504,45,92,1
2504,62,108,1
2504,91,114,1
2504,81,49,1
2504,78,104,1
2504,59,42,1
2504,93,9,1
2504,63,55,1
2504,109,84,1
2504,51,79,1
2504,71,116,1
2504,111,49,1
2504,0,30,1
2504,43,63,1
2504,122,59,1
2504,40,98,1
2504,61,110,1
2504,6,87,1
2504,125,68,1
2504,80,74,1
2504,98,3,1
2504,95,65,1
2504,15,7,1
2504,109,85,1
2504,64,74,1
2504,88,37,1
2504,102,22,1
2504,50,25,1
2504,83,99,1
2504,42,38,1
2504,43,56,1
2504,85,57,1
2504,55,111,1
2504,55,23,1
2504,29,26,1
2504,64,98,1
2504,97,2,1
2504,26,54,1
2504,62,45,1
2504,81,40,1
2504,125,22,1
2504,30,60,1
2504,40,8,1
2504,68,48,1
2504,59,66,1
2504,22,29,1
2504,90,52,1
2504,96,34,1
2504,11,4,1
2504,76,68,1
2504,55,46,1
2504,127,112,1
2504,90,98,0
2504,90,3,1
2504,2,124,1
2504,99,35,1
2504,29,102,1
2504,90,95,1
2504,64,4,1
2504,72,78,1
2504,74,29,1
2504,41,0,1
2504,74,4,1
2504,85,64,1
2504,123,10,1
2504,35,89,1
2504,9,70,1
2504,110,49,1
2504,75,83,1
2504,23,17,1
2504,61,113,1
2504,127,39,1
2504,96,7,1
2504,92,15,1
2504,6,91,1
2504,10,20,1
2504,37,105,1
2504,63,104,1
2504,45,56,1
2504,34,66,1
2504,1,100,1
2504,106,83,1
2504,20,58,1
2504,62,66,1
2504,106,92,1
2504,91,55,1
2504,24,30,1
2504,113,104,1
2504,121,26,1
2504,84,15,1
2504,114,32,1
2504,121,25,1
2504,92,43,1
2504,39,75,1
2504,74,101,1
2504,65,111,1
2504,6,67,1
2504,40,28,1
2504,85,122,1
2504,19,18,1
2504,22,38,1
2504,80,12,1
2504,111,85,1
2504,80,69,1
2504,37,56,1
2504,72,15,1
2504,15,23,1
2504,77,107,1
2504,49,15,1
2504,83,79,1
2504,92,96,1
2504,85,59,1
2504,19,126,1
2504,81,47,1
2504,106,40,1
2504,53,0,1
2504,1,92,1
2504,42,22,1
2504,115,47,1
2504,0,22,1
2504,113,127,1
2504,31,121,1
2504,46,10,1
2504,39,114,1
2504,65,26,1
2504,92,97,1
2504,103,13,1
2504,43,13,1
2504,26,3,1
2504,7,66,1
2504,7,76,1
2504,7,90,1
2504,96,124,1
2504,56,34,1
2504,19,55,1
2504,56,111,1
2504,39,91,1
2504,54,22,1
2504,70,57,1
2504,94,22,1
2504,105,16,1
2504,118,59,1
2504,2,88,1
2504,20,7,1
2504,22,26,1
2504,115,42,1
2504,119,2,1
2504,5,35,1
2504,34,23,1
2504,62,114,1
2504,115,79,1
2504,56,106,1
2504,112,122,1
2504,32,30,1
2504,105,75,1
2504,127,57,1
2504,57,43,1
2504,66,78,1
2504,117,63,1
2504,35,83,1
2504,106,26,1
2504,69,73,1
2504,26,49,1
2504,40,110,1
2504,68,42,1
2504,68,78,1
2504,77,2,1
2504,38,77,1
2504,78,74,1
2504,87,86,1
2504,45,79,1
2504,81,38,1
2504,87,38,1
2504,73,111,1
2504,79,11,1
2504,99,4,1
2504,9,66,1
2504,110,15,1
2504,88,72,1
2504,24,66,1
2504,61,126,1
2504,39,0,1
2504,39,45,1
2504,74,14,1
2504,3,85,1
2504,28,13,1
2504,0,90,1
2504,109,108,1
2504,32,93,1
2504,42,60,1
2504,2,13,1
2504,57,74,1
2504,27,76,1
2504,40,49,1
2504,70,44,1
2504,34,112,1
2504,127,63,1
2504,7,19,1
2504,72,49,1
2504,35,105,1
2504,20,48,1
2504,5,105,1
2504,79,47,1
2504,26,66,1
2504,106,19,1
2504,90,105,1
2504,111,57,0
2504,14,3,1
2504,87,41,1
2504,18,5,1
2504,13,33,1
2504,84,0,1
2504,30,55,1
2504,58,51,1
2504,30,119,1
2504,91,121,1
2504,60,81,1
2504,84,18,1
2504,68,83,1
2504,25,98,1
2504,17,43,1
2504,101,1,1
2504,49,54,1
2504,101,36,1
2504,46,110,1
2504,29,91,1
2504,67,81,1
2504,74,121,1
2504,85,29,1
2504,50,115,1
2504,27,19,1
2504,75,112,1
2504,96,118,1
2504,2,32,1
2504,24,113,1
2504,67,40,1
2504,77,22,1
2504,23,105,1
2504,54,9,1
2504,31,124,1
2504,79,73,1
2504,33,110,1
2504,8,82,1
2504,81,114,1
2504,74,80,1
2504,61,3,1
2504,74,15,1
2504,49,70,1
2504,55,70,1
2504,75,69,1
2504,124,55,1
2504,87,67,1
2504,28,3,1
2504,75,42,1
2504,102,87,1
2504,22,87,1
2504,29,12,1
2504,78,20,1
2504,103,65,1
2504,20,50,1
2504,64,10,1
2504,26,124,1
2504,49,99,1
2504,125,97,1
2504,116,12,1
2504,118,20,1
2504,118,77,1
2504,108,80,1
2504,93,99,1
2504,119,102,1
2504,33,109,1
2504,22,36,1
2504,122,58,1
2504,119,55,1
2504,8,123,1
2504,53,84,1
2504,66,65,1
2504,64,41,1
2504,42,48,1
2504,109,10,1
2504,72,85,1
2504,47,103,1
2504,44,97,1
2504,116,46,1
2504,19,3,1
2504,75,51,1
2504,118,92,1
2504,69,126,1
2504,69,19,1
2504,85,17,1
2504,39,73,1
2504,52,120,1
2504,9,75,1
2504,40,21,1
2504,48,15,1
2504,48,82,1
2504,84,24,1
2504,21,46,1
2504,82,120,1
2504,95,112,1
2504,85,114,1
2504,69,53,1
2504,55,54,1
2504,50,0,1
2504,113,111,1
2504,33,92,1
2504,101,101,1
2504,126,2,1
2504,26,83,1
2504,74,68,1
2504,38,56,1
2504,81,81,1
2504,9,97,1
2504,13,75,1
2504,110,67,1
2504,73,94,1
2504,121,22,1
2504,71,35,1
2504,114,105,1
2504,89,70,1
2504,33,61,1
2504,60,17,1
2504,49,47,1
2504,60,79,1
2504,110,40,1
2504,4,91,1
2504,60,75,1
2504,46,117,1
2504,47,85,1
2504,85,69,1
2504,92,126,1
2504,108,23,1
2504,76,14,1
2504,58,69,1
2504,30,57,1
2504,41,41,1
2504,27,125,1
2504,116,13,1
2504,29,61,1
2504,63,10,1
2504,50,36,1
2504,100,27,1
2504,12,64,1
2504,116,124,1
2504,107,12,1
2504,1,121,1
2504,1,51,1
2504,99,100,1
