timestamp,neuron
4251,129
4255,142
4257,148
4258,188
4260,127
4261,122
4261,174
4263,130
4263,131
4266,126
4272,128
4307,52
4311,0
4311,47
4311,49
4311,10
4312,1
4312,13
4312,11
4312,8
4312,6
4312,2
4313,3
4313,50
4313,58
4313,46
4313,5
4313,4
4313,12
4313,14
4314,9
4314,7
4314,53
4314,51
4316,55
4316,57
4316,54
4316,56
4316,59
4318,45
4318,52
4322,112
4322,105
4324,206
4325,115
4327,0
4328,135
4329,13
4329,11
4329,10
4329,6
4329,8
4329,1
4330,47
4330,3
4330,49
4330,12
4330,5
4331,4
4331,2
4331,9
4331,7
4331,46
4331,14
4332,58
4332,50
4333,53
4333,51
4334,151
4334,56
4335,165
4335,59
4335,55
4335,57
4335,52
4335,54
4336,0
4336,45
4337,115
4337,112
4339,13
4339,206
4339,205
4339,6
4340,8
4340,11
4341,135
4341,12
4343,1
4344,3
4344,10
4347,4
4347,5
4347,47
4348,49
4348,2
4348,9
4348,7
4348,46
4349,14
4350,58
4351,50
4351,0
4352,53
4352,51
4353,56
4353,59
4353,52
4353,8
4353,6
4354,13
4354,12
4354,11
4354,55
4354,57
4355,115
4355,54
4355,3
4355,151
4355,1
4355,45
4355,112
4356,10
4357,206
4357,4
4358,5
4358,135
4360,47
4360,2
4361,9
4361,7
4361,49
4362,46
4366,0
4367,14
4368,58
4369,50
4369,6
4369,8
4370,205
4370,12
4370,13
4370,11
4371,53
4371,3
4371,51
4371,52
4371,1
4371,56
4372,59
4372,10
4373,4
4373,115
4373,5
4373,57
4373,55
4374,45
4374,54
4375,112
4375,7
4375,2
4375,9
4375,46
4375,0
4375,47
4375,206
4376,49
4379,6
4380,8
4380,14
4381,12
4383,13
4384,58
4385,11
4386,50
4387,3
4388,1
4389,10
4389,52
4389,53
4389,4
4390,56
4390,51
4390,5
4390,59
4390,0
4391,115
4392,7
4392,2
4392,9
4392,46
4392,57
4392,55
4393,45
4393,54
4393,47
4393,6
4393,49
4393,8
4393,112
4393,12
4394,13
4395,11
4395,206
4396,14
4397,3
4397,58
4398,1
4399,50
4402,10
4403,0
4404,4
4404,205
4405,5
4406,52
4407,56
4408,53
4408,51
4408,59
4408,115
4408,6
4409,8
4409,7
4409,2
4409,9
4409,12
4409,46
4410,13
4410,47
4411,11
4411,49
4411,55
4411,57
4411,45
4412,3
4412,112
4412,54
4413,14
4413,1
4414,0
4414,58
4415,10
4415,206
4415,4
4415,50
4416,5
4418,6
4418,52
4419,8
4419,12
4420,56
4421,115
4422,59
4422,7
4423,51
4424,53
4424,13
4425,9
4425,46
4425,2
4426,11
4427,3
4428,205
4428,47
4428,49
4429,0
4430,1
4430,55
4430,57
4430,45
4430,112
4431,14
4431,10
4431,4
4432,54
4432,58
4432,6
4432,5
4432,8
4433,50
4433,12
4434,206
4435,13
4435,52
4435,7
4435,56
4435,115
4435,59
4436,11
4436,46
4436,9
4436,2
4436,51
4437,3
4437,53
4438,0
4441,47
