timestamp,neuron
31,188
31,51
32,9
33,190
33,10
35,186
35,56
36,0
36,13
36,6
36,53
36,52
36,5
37,8
37,187
38,11
38,12
38,14
38,49
38,3
39,2
39,50
39,189
40,1
40,4
40,59
41,54
41,57
41,46
41,47
41,7
42,45
43,188
43,58
44,9
44,55
44,190
45,10
45,51
46,0
48,6
48,13
51,8
51,56
52,186
52,5
53,12
53,11
54,52
54,3
54,187
55,53
56,14
56,2
56,49
56,189
56,1
57,4
58,50
58,7
59,188
59,190
59,46
59,0
59,47
60,9
60,6
60,10
60,13
61,59
61,54
61,58
61,57
62,8
63,45
63,12
64,51
64,11
64,5
64,55
65,56
65,3
66,186
67,52
68,187
72,1
73,4
73,2
73,189
73,49
74,14
74,53
74,0
75,190
75,188
76,6
76,7
76,13
77,9
77,46
77,10
77,8
77,50
78,47
78,12
78,11
79,5
79,3
80,58
81,59
81,54
82,187
82,57
82,186
82,52
83,1
83,51
83,56
83,45
83,4
84,0
84,55
84,2
85,189
86,49
86,6
87,14
87,190
89,53
90,13
91,7
91,8
91,188
93,12
93,10
93,9
94,46
94,11
95,3
95,47
96,50
96,5
98,0
98,58
98,1
98,187
99,4
99,186
99,6
100,52
100,190
100,2
101,189
101,59
101,13
101,54
101,56
102,57
102,8
102,51
102,49
103,14
103,45
103,12
103,188
104,7
104,55
105,53
105,10
105,11
105,9
107,46
108,3
111,5
113,0
113,47
114,50
115,1
115,6
115,4
116,187
116,190
117,58
117,13
117,8
117,189
117,186
118,2
118,52
118,12
119,188
119,11
120,49
120,14
120,7
120,10
120,9
120,3
120,56
121,54
121,59
121,51
122,0
122,57
122,5
122,46
123,53
123,45
124,55
125,6
125,47
126,1
128,4
130,50
131,190
131,13
132,8
132,187
133,12
134,189
134,2
135,58
135,186
135,11
135,52
136,188
136,3
136,10
137,0
137,7
137,9
137,49
138,14
138,5
139,56
139,6
140,46
140,1
141,51
141,4
141,59
141,54
141,53
142,57
142,190
142,8
142,13
142,47
143,45
143,12
144,55
144,187
144,50
146,11
147,2
148,189
150,0
151,3
151,58
152,188
152,186
152,52
152,10
153,7
154,9
154,6
155,5
155,49
155,14
157,1
157,8
157,4
157,13
157,190
158,46
158,12
158,56
160,11
160,187
160,0
160,47
161,51
161,53
161,189
161,59
162,2
162,54
162,3
162,57
163,50
163,188
164,45
164,10
164,55
165,6
165,58
165,52
166,186
166,7
166,9
167,5
172,8
172,49
172,1
173,13
173,14
173,190
173,4
173,12
175,0
176,46
176,11
177,187
178,189
178,3
178,56
178,2
178,47
179,6
179,188
179,10
180,53
180,51
181,5
181,9
181,7
181,50
182,52
182,59
182,186
182,8
182,54
182,58
183,57
183,13
183,12
183,1
184,45
184,190
184,55
184,4
185,49
185,0
186,14
188,11
192,46
194,3
194,187
194,6
195,189
196,188
196,2
196,10
197,47
197,56
197,8
197,5
198,9
198,12
198,13
198,190
199,7
199,0
199,186
199,52
199,1
200,53
200,4
200,50
200,51
200,11
201,58
202,14
202,49
202,59
202,54
203,57
203,45
204,55
204,46
204,6
205,3
208,187
210,189
212,2
212,188
212,8
212,10
214,12
214,5
214,47
214,0
214,190
214,13
215,56
215,9
216,1
216,4
216,11
216,7
217,186
217,52
219,6
219,53
219,14
219,50
219,58
220,3
220,49
220,51
221,46
222,187
222,8
222,189
222,54
223,57
223,59
223,188
223,2
224,45
224,12
224,55
224,0
224,10
225,13
225,5
226,190
228,47
230,1
230,9
230,11
231,4
231,56
233,7
234,6
235,186
235,52
236,3
237,8
237,14
238,49
238,58
238,0
238,50
238,187
238,12
238,53
239,189
239,46
239,188
239,13
239,10
240,2
240,190
240,51
240,5
241,11
241,1
242,4
242,9
242,54
242,57
242,59
243,47
243,45
243,55
244,6
245,7
245,56
249,3
251,52
252,186
252,8
253,0
254,12
255,14
255,13
255,189
255,190
255,187
256,188
256,49
256,10
257,58
257,5
257,2
257,11
257,46
257,1
257,50
258,4
258,53
258,9
258,6
260,7
260,51
260,47
260,3
262,8
262,54
262,0
262,57
263,59
263,56
263,12
264,45
264,55
264,52
265,186
266,13
270,190
271,189
272,187
272,188
272,14
272,11
272,10
273,5
273,49
273,1
274,6
274,2
274,4
275,46
275,9
276,58
276,3
277,50
277,8
277,0
277,7
278,12
278,53
279,47
279,13
280,51
281,190
281,52
281,186
282,56
282,54
282,11
282,57
282,59
283,188
283,189
283,45
284,187
284,6
284,10
284,55
284,5
284,1
285,14
285,4
286,2
286,49
289,46
291,9
291,0
291,3
292,8
293,12
294,58
294,7
295,13
296,50
296,190
297,47
298,53
298,11
298,6
298,186
299,52
299,188
299,189
299,51
300,10
300,1
300,5
300,187
300,4
300,56
301,0
301,2
301,14
301,8
302,54
302,59
302,3
302,49
302,57
302,9
303,46
303,45
303,12
304,55
305,7
306,13
307,58
312,190
313,11
313,50
313,6
314,47
316,0
316,188
316,1
316,5
316,10
316,189
316,4
316,52
316,186
316,8
317,53
317,187
318,3
318,12
318,2
318,51
319,14
319,9
319,56
320,13
320,49
320,46
321,7
322,59
322,54
322,57
322,190
323,45
323,58
323,6
324,11
324,55
326,0
327,50
327,47
330,1
330,8
331,5
331,4
332,10
332,188
333,189
333,12
333,3
333,187
333,52
334,186
335,2
335,13
336,53
336,9
337,14
338,190
338,49
338,46
338,56
338,51
338,7
338,6
339,11
339,0
340,58
341,8
341,54
341,57
341,59
341,1
341,45
342,47
342,4
342,5
342,55
342,12
342,50
343,10
343,188
344,3
345,189
346,13
346,187
347,52
349,2
350,186
352,9
353,190
354,6
354,0
354,14
