timestamp,neuron
25,171
27,172
31,174
39,171
44,172
48,171
50,174
60,172
62,171
70,174
73,172
75,171
85,171
87,172
90,174
100,171
103,172
109,171
110,174
119,172
123,171
130,174
131,172
136,171
145,171
146,172
150,174
160,171
162,172
169,171
170,174
178,172
183,171
190,172
190,174
196,171
205,172
205,171
210,174
220,171
222,172
229,171
230,174
237,172
243,171
248,172
250,174
256,171
264,172
266,171
268,174
280,171
281,172
286,174
289,171
295,172
303,171
306,174
307,172
316,171
323,172
325,174
326,171
340,172
340,171
344,174
349,171
352,172
363,171
364,174
366,172
377,171
383,172
384,174
386,171
399,172
401,171
404,174
409,171
410,172
423,171
425,174
425,172
437,171
442,172
445,174
446,171
458,172
461,171
465,174
469,172
470,171
483,171
485,172
487,174
497,171
501,172
506,171
507,174
516,172
521,171
527,174
528,172
530,171
543,171
544,172
548,174
558,171
560,172
566,171
569,174
573,172
581,171
587,172
589,174
590,171
603,172
604,171
608,174
618,171
619,172
627,171
629,174
631,172
641,171
646,172
650,174
650,171
662,172
664,171
669,174
678,171
678,172
687,171
689,172
690,174
701,171
705,172
710,174
711,171
721,172
724,171
729,174
737,172
738,171
747,171
748,172
751,174
761,171
764,172
770,174
771,171
781,172
784,171
789,174
794,172
798,171
807,172
807,171
811,174
822,171
823,172
830,174
831,171
840,172
844,171
849,174
851,172
859,171
866,172
867,171
871,174
882,171
883,172
891,174
892,171
898,172
904,171
910,172
910,174
919,171
925,172
928,171
931,174
942,172
942,171
948,174
952,171
957,172
965,171
967,174
968,172
979,171
984,172
986,174
988,171
1001,172
1002,171
1003,174
1016,171
1016,172
1020,174
1025,171
1027,172
1030,174
1039,171
1044,172
1045,174
1048,171
1060,172
1061,174
1062,171
1073,174
1073,172
1073,171
1085,171
1086,174
1086,172
1099,171
1102,174
1103,172
1108,171
1117,174
1119,172
1122,171
1128,174
1130,172
1133,171
1144,174
1145,171
1145,172
1159,171
1161,174
1162,172
1168,171
1173,174
1177,172
1182,171
1187,174
1189,172
1193,171
1203,174
1204,172
1205,171
1219,171
1221,174
1221,172
1228,171
1233,174
1235,172
1242,171
1247,172
1247,174
1253,171
1263,172
1264,174
1265,171
1279,171
1280,172
1281,174
1288,171
1291,172
1294,174
1302,171
1306,172
1308,174
1313,171
1322,172
1324,174
1325,171
1338,172
1339,171
1341,174
1348,171
1349,172
1355,174
1362,171
1365,172
1368,174
1373,171
1381,172
1385,171
1385,174
1397,172
1399,171
1402,174
1408,171
1408,172
1420,174
1422,171
1424,172
1432,174
1433,171
1441,172
1445,171
1448,174
1455,172
1459,171
1466,174
1467,172
1468,171
1482,171
1483,172
1485,174
1493,171
1500,172
1503,174
1505,171
1511,172
1519,171
1522,174
1526,172
1528,171
1542,174
1542,171
1542,172
1553,171
1558,174
1559,172
1565,171
1570,172
1572,174
1579,171
1585,172
1588,171
1590,174
1602,172
1602,171
1608,174
1613,171
1618,172
1625,171
1628,174
1629,172
1639,171
1645,172
1648,171
1648,174
1661,172
1662,171
1667,174
1673,171
1676,172
1685,171
1688,172
1688,174
1699,171
1704,172
1708,171
1709,174
1721,172
1722,171
1728,174
1733,171
1734,172
1745,171
1747,172
1749,174
1759,171
1763,172
1768,171
1769,174
1780,172
1782,171
1788,174
1791,172
1794,171
1805,171
1806,172
1810,174
1819,171
1822,172
1828,171
1830,174
1838,172
1842,171
1849,172
1850,174
1854,171
1865,171
1865,172
1868,174
1879,171
1882,172
1888,174
1888,171
1897,172
1902,171
1908,174
1908,172
1914,171
1924,172
1925,171
1929,174
1939,171
1941,172
1948,171
1950,174
1955,172
1962,171
1967,172
1970,174
1974,171
1984,172
1985,171
1989,174
2000,171
2000,172
2008,171
2010,174
2012,172
2022,171
2026,172
2030,174
2035,171
2043,172
2045,171
2049,174
2059,172
2060,171
2068,171
2070,172
2071,174
2083,171
2085,172
2090,174
2095,171
2102,172
2105,171
2110,174
2118,172
2120,171
2128,171
2129,172
2131,174
2143,171
2145,172
2150,174
2155,171
2161,172
2165,171
2170,174
2176,172
2180,171
2188,172
2189,171
2191,174
2203,171
2204,172
2210,174
2215,171
2220,172
2225,171
2230,174
2233,172
2240,171
2247,172
2249,171
2251,174
2263,171
2263,172
2270,174
2276,171
2279,172
2285,171
