timestamp,neuron
89,3
89,53
91,4
91,200
92,49
93,8
93,51
93,198
93,6
95,2
95,47
95,9
96,55
96,7
96,202
97,52
97,57
97,199
97,201
97,54
98,10
98,0
98,56
98,45
99,46
99,59
99,58
100,1
100,50
100,11
100,5
100,12
100,14
100,13
101,3
102,4
103,198
103,8
103,53
104,6
104,49
105,200
106,51
107,2
109,47
110,9
111,7
112,0
113,199
113,202
114,55
114,52
114,10
114,201
115,12
115,57
115,11
116,46
116,1
116,56
116,13
116,54
116,5
116,59
117,58
117,45
117,3
117,198
117,14
117,50
117,8
118,4
118,6
120,53
121,49
121,200
121,2
122,0
123,9
123,51
123,7
123,47
125,199
126,12
126,10
127,202
127,11
128,13
128,52
129,1
130,55
130,198
130,201
131,46
131,3
131,5
132,8
133,6
133,56
133,4
134,57
134,58
134,14
134,59
135,54
135,50
135,45
136,0
137,2
138,49
138,53
139,7
139,9
139,200
139,12
140,47
140,199
140,51
140,198
140,10
140,11
141,13
142,1
142,202
143,3
143,8
143,6
143,52
143,5
144,46
144,201
145,4
145,55
147,0
148,56
149,14
150,59
150,58
152,57
152,50
153,2
153,54
154,45
154,12
155,198
155,49
155,7
155,9
155,53
155,11
156,199
156,13
156,10
156,200
157,47
157,8
157,1
157,6
158,3
158,51
159,5
159,202
159,0
160,46
160,4
160,52
160,201
163,14
163,55
163,56
164,58
164,59
164,12
165,198
166,2
166,50
166,57
167,11
167,7
168,13
168,45
169,9
169,49
170,54
171,199
171,10
171,8
172,6
173,1
173,3
173,53
174,0
174,47
174,200
175,5
176,4
176,51
176,202
177,46
178,52
178,201
178,198
179,12
180,14
181,56
181,11
181,2
181,13
181,58
182,7
182,59
182,55
182,8
182,6
182,9
183,199
183,10
183,50
183,0
183,49
184,3
184,57
184,1
185,45
185,54
187,47
187,5
188,53
189,4
190,200
192,198
193,46
193,12
193,202
194,51
195,201
195,52
196,11
196,13
197,14
197,8
197,6
197,2
197,0
198,7
198,199
198,10
199,56
199,9
199,3
199,58
199,1
200,59
200,49
201,50
201,55
201,5
202,198
202,4
203,57
203,47
203,45
204,12
204,53
204,54
204,200
205,46
207,202
208,51
209,11
209,13
210,0
210,6
210,8
211,201
211,52
213,2
214,14
214,7
214,199
214,10
215,3
215,1
216,9
216,198
216,56
217,58
218,5
218,49
218,4
218,12
219,59
219,50
220,47
220,55
221,0
221,200
221,46
221,13
221,11
221,53
221,6
