timestamp,neuron
62,12
63,51
63,118
64,59
64,56
64,9
64,14
64,11
65,10
65,55
65,57
65,0
65,1
66,2
66,3
67,7
67,54
67,120
67,46
67,4
68,5
68,121
69,8
69,58
69,122
69,13
70,119
70,6
70,45
71,49
72,52
72,12
73,47
73,50
74,118
74,53
75,11
76,0
77,51
77,9
77,59
78,56
80,10
80,1
80,14
81,3
82,2
82,4
83,120
83,7
83,55
83,57
83,121
83,46
84,8
84,5
84,122
85,119
85,13
85,6
86,54
87,12
87,58
87,118
89,49
89,0
89,52
89,11
89,45
90,47
91,50
91,53
91,9
92,1
92,10
92,3
93,56
93,59
93,51
94,14
94,4
94,121
94,2
94,8
95,120
95,7
96,46
96,13
97,122
97,6
97,5
97,119
99,55
101,57
101,12
102,118
103,0
104,54
105,58
105,11
106,49
106,52
107,3
107,47
107,1
108,9
108,45
108,10
108,8
108,121
108,50
109,4
109,53
109,6
109,13
109,122
109,2
110,119
110,120
110,56
110,59
110,14
110,7
110,5
110,51
111,46
111,12
112,118
113,0
115,55
116,11
116,57
122,58
122,3
123,1
123,8
123,121
123,49
124,52
124,54
124,6
124,9
124,10
124,4
124,13
125,119
125,122
125,47
126,120
126,12
126,2
126,50
126,118
126,5
126,45
127,7
127,53
127,0
127,56
128,14
128,46
128,59
128,51
129,11
132,55
133,8
133,57
133,3
133,121
134,1
134,6
135,13
135,58
136,122
137,119
137,10
137,4
137,9
137,49
138,12
140,52
140,118
141,0
141,120
141,47
142,5
142,2
143,54
143,7
144,50
145,11
145,46
145,14
145,53
146,56
146,45
146,59
147,51
147,8
148,121
148,3
148,6
149,1
149,13
149,119
149,122
150,12
150,4
150,118
150,10
150,55
151,9
151,0
151,57
152,58
152,49
153,120
153,52
153,5
154,2
155,47
156,7
157,11
160,54
160,46
162,50
162,14
162,8
162,121
163,6
164,56
164,53
164,3
164,119
164,122
165,59
165,13
165,45
165,12
165,118
165,1
165,51
166,0
166,4
166,10
167,9
168,5
169,120
169,49
169,55
169,58
169,11
170,2
170,57
170,52
170,7
171,47
172,46
173,8
173,121
174,6
175,54
175,50
176,3
176,12
176,14
176,119
176,13
176,122
177,118
178,0
178,56
179,1
181,4
181,53
181,59
182,10
183,45
183,51
184,9
185,120
185,5
185,11
186,49
187,2
187,58
187,8
187,7
187,121
188,52
188,6
188,47
188,55
189,118
189,12
189,119
189,46
189,57
189,0
189,122
189,3
190,13
191,1
191,14
192,50
192,4
193,56
193,54
194,10
195,59
195,53
196,9
197,11
198,5
198,51
199,45
200,120
202,121
202,8
203,6
203,2
203,49
203,118
204,119
204,12
204,0
204,7
205,122
205,13
205,58
205,3
205,52
206,47
206,46
207,1
208,4
208,55
208,57
209,14
209,10
209,50
210,11
210,56
211,9
211,5
211,54
212,120
212,53
212,59
212,121
212,8
213,6
214,51
214,118
214,0
214,12
214,45
215,119
216,2
216,122
216,13
217,49
217,3
218,7
222,1
222,58
222,52
223,47
223,46
223,4
225,11
226,10
226,14
226,55
227,5
227,8
227,121
227,57
227,50
227,9
228,120
228,118
228,56
228,6
228,0
228,12
229,119
229,122
230,53
230,13
230,59
230,54
230,3
231,2
231,51
232,7
232,49
232,45
233,1
235,4
236,52
236,46
236,58
237,47
237,11
241,10
242,121
242,8
242,118
243,0
243,6
243,5
243,12
243,120
244,14
244,119
244,9
244,122
245,55
245,50
245,13
246,56
246,3
246,57
248,2
248,53
248,59
248,7
249,1
249,49
249,51
249,54
250,4
250,11
251,45
251,46
252,52
252,47
252,121
252,118
252,58
252,8
253,0
253,10
253,6
254,12
255,119
255,5
256,122
257,120
258,13
258,9
259,14
261,3
263,50
264,55
264,56
264,2
265,1
266,7
266,57
266,11
266,4
266,118
267,49
267,53
267,121
267,59
267,8
267,0
268,6
268,51
268,12
268,46
269,119
269,10
269,47
269,52
269,54
269,122
270,58
270,5
270,13
270,45
270,120
271,9
272,3
273,14
276,50
278,2
278,1
278,56
279,11
280,118
281,55
281,0
281,4
281,121
282,8
282,7
282,6
283,12
284,119
284,49
284,122
285,57
285,59
285,53
285,46
285,10
285,13
286,5
286,51
286,47
286,120
286,52
287,3
287,58
287,9
288,54
288,45
289,14
290,118
290,11
291,1
291,0
291,2
292,121
292,8
292,50
292,56
292,6
292,4
293,12
294,7
294,119
295,55
296,122
298,13
298,49
300,10
301,46
301,5
302,59
302,120
302,3
303,53
303,57
304,47
304,52
304,9
304,51
305,58
305,118
305,0
306,11
306,45
306,121
306,54
306,1
307,8
307,14
307,6
307,12
308,2
308,4
308,119
309,122
309,56
309,50
310,7
310,13
312,10
312,49
312,55
313,5
313,46
314,3
314,120
315,59
316,0
317,118
317,9
318,47
319,53
320,52
320,11
321,121
321,57
321,8
322,51
322,12
322,6
322,58
322,1
323,119
323,4
324,14
324,2
324,122
325,45
325,13
325,54
326,7
327,56
327,50
328,10
328,3
328,5
329,0
329,118
329,120
329,49
329,46
331,55
331,11
331,121
331,9
331,8
332,59
332,47
332,12
332,6
333,52
333,1
334,53
334,119
335,4
335,122
336,57
336,58
336,51
337,13
338,2
340,14
342,7
343,45
343,0
344,118
344,3
344,10
344,54
344,5
345,120
345,56
345,50
346,121
346,11
346,8
347,46
347,49
347,12
347,6
348,9
348,119
348,1
349,122
349,47
349,55
349,4
349,59
350,13
350,52
351,2
351,53
352,58
352,51
353,14
353,57
353,0
354,118
354,7
355,3
357,10
357,5
358,45
360,121
360,8
361,11
361,120
361,12
361,6
363,56
363,54
363,119
363,50
363,46
364,122
364,49
364,1
364,9
365,13
365,4
366,47
367,59
367,0
367,52
368,118
368,2
368,55
369,53
369,3
369,58
370,7
370,14
370,51
371,121
371,10
371,5
371,8
371,12
371,57
371,11
372,6
373,120
374,119
374,45
375,122
377,1
