timestamp,neuron
5761,200
5836,200
5912,200
5988,200
6058,200
6134,200
6211,200
6282,200
6356,200
6433,200
6511,200
6597,200
7260,45
7318,45
7377,45
7435,45
7494,45
7553,45
7610,46
7614,45
7660,46
7678,45
7715,46
7753,45
7770,46
7821,46
7875,46
7931,46
7960,47
7985,46
8019,47
8043,46
8078,47
8112,46
8137,47
8196,47
8256,47
8316,47
8379,47
8386,126
8388,162
8391,134
8392,214
8392,194
8398,159
8398,206
8398,95
8409,200
8410,97
8415,140
8421,107
8428,146
8429,105
8447,47
8466,126
8537,47
8660,49
8665,126
8667,134
8668,174
8668,214
8669,206
8671,188
8671,178
8671,105
8672,107
8672,111
8673,153
8673,106
8679,99
8680,202
8681,171
8681,91
8683,193
8684,207
8685,104
8685,158
8686,190
8695,196
8697,217
8704,200
8717,211
8718,49
8776,49
8834,49
8892,49
8950,49
9007,49
9011,50
9020,126
9030,134
9059,214
9065,49
9073,50
9096,174
9131,49
9134,50
9196,50
9257,50
9258,49
9293,126
9318,50
9360,51
9366,126
9368,174
9368,214
9370,105
9370,184
9371,188
9371,107
9372,154
9372,182
9372,171
9372,146
9373,164
9373,206
9373,148
9374,106
9374,216
9376,132
9377,91
9379,153
9380,142
9381,190
9381,187
9381,104
9382,50
9383,202
9385,217
9393,158
9394,175
9399,124
9400,200
9402,181
9409,176
9419,51
9419,130
9423,192
9425,207
9459,50
9477,51
9535,51
9594,51
9653,51
9711,52
9712,51
9771,52
9774,51
9831,52
9841,51
9846,126
9847,174
9847,214
9848,105
9849,184
9849,154
9850,188
9850,107
9850,182
9850,146
9850,171
9850,206
9850,148
9851,164
9851,106
9851,216
9851,132
9853,91
9853,153
9854,190
9854,142
9854,104
9855,187
9855,202
9857,217
9858,158
9859,124
9859,200
9860,176
9860,181
9861,175
9863,192
9865,109
9891,52
9894,189
9931,51
9951,52
10011,52
10061,53
10068,162
10069,214
10070,194
10070,216
10071,96
10072,148
10072,52
10073,184
10074,178
10075,142
10075,182
10075,144
10076,127
10079,105
10080,106
10082,97
10084,171
10084,107
10084,124
10085,91
10088,146
10089,153
10091,132
10092,207
10101,181
10103,104
10109,111
10113,53
10117,147
10130,176
10135,52
10159,192
10161,53
10168,162
10169,214
10170,194
10170,216
10172,96
10172,148
10174,184
10174,178
10175,142
10175,144
10175,182
10176,127
10179,105
10180,106
10182,97
10185,124
10185,171
10186,91
10186,107
10190,153
10191,132
10191,207
10200,52
10206,104
10211,126
10213,53
10219,174
10228,154
10237,111
10261,53
10268,162
10269,214
10270,194
10270,216
10271,52
10271,96
10272,148
10273,184
10274,178
10274,142
10275,144
10275,182
10276,127
10279,105
10279,106
10281,97
10284,124
10285,171
10285,107
10285,91
10287,146
10289,153
10290,132
10292,207
10301,147
10301,181
10304,104
10313,53
10337,192
10345,176
10352,52
10361,53
10368,162
10369,214
10370,194
10370,216
10372,96
10372,148
10373,184
10374,178
10375,144
10375,142
10375,182
10376,127
10379,105
10380,106
10381,97
10384,124
10384,171
10385,107
10386,91
10390,153
10391,132
10393,207
10404,104
10408,111
10412,54
10414,53
10465,53
10474,54
10481,162
10485,214
10492,194
10504,216
10521,53
10533,96
10533,148
10534,184
10536,178
10536,54
10536,144
10537,142
10537,182
10538,127
10542,105
10543,106
10545,97
10548,124
10549,171
10550,107
10550,91
10555,146
10558,153
10559,132
10562,207
10564,52
10574,126
10579,174
10582,154
10583,162
10584,111
10584,53
10590,147
10598,54
10604,104
10608,181
10609,214
10624,194
10659,54
10674,53
10684,96
10721,54
10728,174
10730,214
10730,106
10730,206
10730,114
10730,182
10731,105
10732,159
10732,216
10733,184
10733,130
10733,146
10734,181
10734,107
10736,124
10737,194
10739,104
10740,207
10741,127
10742,91
10756,196
10756,183
10759,217
10761,55
10772,188
10773,134
10777,178
10780,140
10781,154
10782,133
10783,144
10786,54
10786,164
10787,190
10790,115
10800,165
10801,96
10808,153
10820,55
10857,54
10879,55
10938,55
10948,54
10984,96
10997,55
11056,55
11112,56
11117,55
11169,56
11180,55
11193,216
11194,188
11198,134
11199,182
11200,184
11204,126
11206,178
11209,214
11214,105
11220,140
11224,56
11226,183
11234,99
11236,174
11237,154
11237,130
11241,206
11244,106
11245,144
11247,107
11247,153
11251,55
11251,97
11254,91
11257,147
11281,56
11284,192
11288,126
11292,214
11293,182
11315,140
11339,56
11343,136
11398,56
11457,56
11461,57
11468,154
11469,134
11469,162
11470,174
11470,206
11471,96
11472,194
11472,216
11472,114
11474,107
11474,184
11474,164
11475,187
11475,106
11476,146
11479,144
11479,105
11481,200
11481,109
11482,104
11483,217
11484,192
11484,171
11489,132
11507,136
11514,165
11519,56
11529,57
11531,183
11587,56
11593,126
11594,57
11657,57
11720,57
11746,162
11748,154
11752,134
11785,57
11812,58
11854,57
11873,58
11924,57
11934,58
11936,154
11939,162
11939,134
11951,206
11952,174
11965,194
11968,96
11969,216
11995,58
12013,57
12056,58
12117,58
12162,59
12168,96
12168,182
12168,107
12169,214
12169,154
12169,194
12169,130
12170,102
12171,105
12172,106
12172,202
12172,111
12173,104
12173,181
12173,159
12173,133
12174,190
12174,91
12175,109
12175,183
12175,132
12175,217
12176,171
12176,192
12177,176
12180,58
12183,200
12184,136
12197,163
12198,165
12208,126
12217,59
12253,58
12272,59
12322,59
12329,96
12329,107
12329,182
12330,214
12330,154
12331,194
12331,130
12332,102
12333,105
12334,202
12334,106
12335,111
12335,104
12336,159
12336,181
12337,133
12337,190
12338,91
12339,183
12339,109
12339,217
12340,171
12340,132
12341,192
12343,176
12352,200
12354,136
12377,59
12433,59
12483,59
12494,96
12495,107
12496,182
12496,214
12500,194
12502,154
12502,130
12513,60
12515,102
12539,59
12574,60
12600,59
12635,60
12668,59
12696,60
12731,107
12757,60
12806,59
12818,60
12827,96
12827,107
12829,214
12831,182
12844,194
12862,61
12871,154
12873,178
12874,99
12874,184
12874,153
12874,134
12874,206
12877,124
12877,142
12877,105
12878,91
12879,146
12879,158
12879,106
12880,140
12880,60
12882,132
12883,130
12883,159
12883,190
12887,144
12893,217
12898,187
12903,163
12919,111
12927,61
12946,60
12963,214
12969,182
12972,162
12974,154
12992,61
13029,60
13029,96
13054,61
13117,61
13179,61
13213,62
13243,61
13250,174
13251,154
13251,214
13252,178
13252,182
13252,99
13253,134
13253,206
13253,153
13253,184
13254,105
13254,124
13254,107
13255,142
13255,146
13256,106
13256,158
13256,140
13256,91
13258,159
13258,144
13258,190
13259,132
13260,130
13262,187
13263,217
13263,163
13263,133
13267,147
13270,211
13272,215
13276,62
13294,127
13315,61
13337,62
13388,61
13399,62
13443,214
13461,62
13482,126
13522,61
13522,62
13528,96
13529,134
13529,214
13530,182
13530,184
13531,178
13532,107
13532,162
13533,99
13533,194
13533,148
13533,146
13533,174
13534,95
13534,114
13534,144
13535,91
13535,130
13535,153
13537,188
13537,154
13537,142
13537,104
13537,171
13538,140
13539,115
13540,211
13541,133
13542,111
13544,164
13547,136
13547,196
13548,206
13551,124
13560,165
13560,176
13563,63
13566,158
13568,105
13570,181
13575,207
13576,216
13576,192
13584,183
13584,102
13585,106
13588,62
13590,147
13592,127
13592,109
13593,217
13604,126
13610,96
13614,134
13630,63
13660,62
13694,63
13754,62
13757,63
13819,63
13883,63
13889,154
13890,99
13891,96
13891,114
13891,194
13891,148
13892,182
13892,214
13892,115
13893,130
13893,207
13893,216
13893,174
13894,192
13894,153
13894,184
13895,178
13896,171
13896,158
13898,105
13898,124
13899,165
13899,188
13901,102
13904,196
13906,147
13907,217
13908,140
13910,127
13910,183
13913,64
13915,109
13916,136
13955,63
13975,64
14036,64
14037,63
14097,64
14157,64
14218,64
14263,65
14268,126
14269,174
14269,162
14271,134
14271,206
14271,182
14271,178
14272,124
14272,214
14272,148
14272,188
14272,105
14273,184
14273,102
14273,192
14273,216
14274,104
14274,109
14275,133
14276,158
14276,187
14276,153
14278,163
14278,140
14278,176
14279,114
14280,64
14280,211
14282,127
14285,183
14321,65
14345,64
14357,214
14358,174
14360,99
14362,188
14363,216
14366,194
14366,182
14367,154
14368,96
14368,148
14376,206
14379,130
14379,65
14380,147
14386,178
14389,124
14391,153
14395,158
14418,64
14438,65
14466,184
14497,65
14503,64
14510,174
14510,214
14510,99
14511,154
14511,188
14511,96
14511,216
14512,182
14512,194
14512,148
14513,206
14514,130
14514,124
14514,147
14515,178
14515,153
14515,158
14516,104
14516,164
14516,183
14517,105
14517,159
14520,132
14521,192
14521,115
14522,207
14523,202
14525,136
14527,181
14530,176
14530,140
14537,165
14543,217
14556,65
14613,66
14617,65
14676,66
14679,65
14737,66
14748,65
14764,126
14778,162
14793,174
14799,66
14852,65
14861,66
14886,126
14923,66
14929,174
14929,214
14929,96
14930,107
14930,162
14930,194
14930,178
14930,105
14931,148
14931,114
14931,134
14931,184
14931,207
14931,216
14932,153
14932,188
14932,130
14932,182
14933,127
14933,109
14933,159
14934,217
14934,140
14936,183
14936,136
14937,158
14937,132
14939,171
14940,193
14941,133
14945,97
14955,175
14963,67
14969,126
14971,146
14974,206
14978,95
14983,91
14983,115
14983,200
14990,111
14991,66
15004,196
15004,147
15014,144
15021,187
15035,67
15063,66
15069,126
15069,174
15070,214
15071,96
15071,194
15071,162
15071,107
15072,178
15073,105
15073,184
15073,148
15074,114
15074,216
15074,134
15074,207
15074,153
15074,188
15074,130
15076,182
15077,217
15077,159
15078,127
15078,140
15080,109
15084,183
15088,158
15091,136
15092,132
15101,67
15114,193
15119,146
15123,171
15174,67
15174,97
15240,67
15293,126
15313,67
15313,68
15372,68
15385,67
15392,126
15395,146
15395,174
15399,206
15401,114
15402,148
15403,216
15403,97
15404,107
15405,162
15406,184
15406,95
15414,91
15415,182
15416,200
15423,153
15424,178
15426,115
15430,68
15451,111
15453,132
15482,67
15486,68
15490,126
15495,146
15499,96
15500,174
15502,162
15504,154
15506,184
15508,194
15511,214
15512,164
15516,216
15516,107
15518,206
15520,97
15524,95
15525,99
15543,68
15557,153
15561,142
15562,178
15567,130
15575,188
15579,91
15582,124
15596,171
15601,68
15607,200
15626,132
15637,96
15661,68
15663,69
15670,174
15672,154
15672,214
15673,99
15673,146
15674,184
15675,182
15676,162
15676,159
15676,194
15676,188
15677,178
15677,148
15678,164
15681,130
15683,95
15690,181
15691,211
15692,133
15693,147
15697,217
15697,192
15699,140
15704,190
15707,91
15723,68
15724,69
15729,96
15734,153
15735,154
15735,132
15738,171
15739,109
15743,107
15743,142
15744,165
15747,187
15750,163
15750,216
15753,183
15781,124
15785,69
15788,68
15799,174
15809,214
15811,96
15821,184
15821,162
15831,194
15840,99
15845,69
15849,146
15865,154
15868,68
15883,159
15886,182
15887,178
15895,188
15905,96
15906,69
15907,148
15916,174
15921,214
15924,99
15928,164
15929,184
15933,194
15934,162
15967,69
16014,70
16022,154
16022,146
16030,69
16058,174
16077,70
16097,69
16139,70
16173,69
16202,70
16218,126
16221,174
16264,70
16277,188
16279,182
16280,194
16281,127
16282,115
16283,184
16284,134
16289,158
16289,153
16293,207
16293,187
16293,200
16293,178
16298,159
16317,217
16322,136
16331,70
16364,71
16370,126
16371,99
16372,114
16372,214
16373,216
16373,184
16374,164
16374,133
16374,182
16374,163
16375,206
16376,130
16376,124
16377,115
16377,105
16378,181
16378,211
16379,178
16380,165
16381,106
16381,159
16381,147
16384,158
16385,196
16387,192
16387,183
16387,153
16396,70
16426,71
16462,70
16487,126
16489,71
16499,174
16515,214
16522,99
16522,184
16522,216
16535,70
16551,71
16576,126
16613,71
16621,70
16675,71
16715,72
16739,71
16780,72
16807,71
16829,126
16847,72
16871,214
16892,162
16897,71
16916,72
16981,72
17052,72
17065,73
17072,126
17077,162
17081,184
17083,144
17085,95
17085,216
17086,178
17089,134
17089,102
17090,97
17090,107
17091,182
17092,206
17092,105
17092,148
17112,153
17117,181
17119,133
17122,72
17132,73
17186,214
17196,73
17206,72
17214,126
17217,96
17217,162
17220,130
17220,182
17221,134
17221,164
17222,216
17223,206
17223,184
17224,124
17225,144
17225,114
17226,153
17227,178
17227,188
17227,115
17228,111
17229,194
17230,102
17239,158
17241,95
17250,136
17259,73
17322,73
17332,126
17358,162
17387,73
17404,184
17406,95
17406,144
17408,178
17409,216
17409,102
17410,134
17410,105
17412,97
17413,182
17414,107
17414,206
17415,74
17415,148
17428,133
17429,153
17457,73
17477,74
17502,181
17528,73
17538,126
17539,74
17556,162
17582,184
17601,74
17639,73
17662,74
17724,74
17732,206
17734,214
17734,194
17734,107
17734,130
17735,182
17735,105
17735,184
17735,153
17738,178
17738,146
17740,216
17740,124
17742,183
17743,142
17743,171
17745,140
17746,132
17748,192
17752,187
17756,158
17764,75
17770,126
17771,99
17773,148
17774,188
17775,114
17775,134
17777,181
17778,106
17780,207
17781,159
17781,147
17784,190
17786,115
17787,217
17787,193
17789,74
17790,211
17820,215
17821,75
17827,111
17865,74
17871,206
17872,105
17872,194
17872,214
17873,107
17873,182
17873,130
17873,153
17873,184
17874,146
17874,178
17875,124
17875,216
17875,171
17876,142
17876,132
17876,183
17877,140
17877,192
17879,75
17879,187
17879,158
17936,75
17992,75
18019,126
18044,75
18050,99
18052,216
18052,148
18052,105
18052,194
18053,214
18053,184
18053,188
18053,114
18053,182
18054,130
18054,134
18054,178
18054,107
18055,181
18056,106
18058,159
18058,207
18059,147
18060,192
18060,190
18061,187
18063,217
18063,193
18065,211
18066,115
18074,183
18090,215
18099,111
18102,75
18115,76
18139,126
18162,75
18174,76
18228,75
18232,76
18239,126
18248,99
18256,216
18258,184
18260,194
18274,214
18278,148
18288,76
18321,75
18344,76
18352,182
18353,216
18354,144
18355,184
18355,107
18356,164
18356,130
18357,153
18358,132
18359,142
18359,178
18364,124
18364,159
18365,202
18367,133
18368,187
18369,190
18369,109
18369,171
18372,217
18374,183
18382,163
18400,211
18403,76
18434,181
18462,76
18464,77
18471,174
18471,99
18472,134
18472,148
18472,96
18472,194
18472,164
18473,190
18473,216
18473,130
18473,105
18473,178
18473,182
18473,106
18474,107
18475,111
18475,184
18477,176
18477,109
18477,124
18478,102
18478,217
18478,142
18478,207
18480,171
18481,196
18482,183
18482,193
18486,187
18486,127
18489,215
18489,192
18494,175
18496,189
18526,76
18530,77
18594,77
18600,76
18657,77
18720,77
18782,77
18815,78
18848,77
18869,78
18921,77
18923,78
18951,214
18980,78
19016,77
19037,78
19093,78
19146,78
19155,214
19155,206
19156,174
