timestamp,neuron
97,12
99,49
99,2
100,47
100,13
100,6
100,7
101,1
101,46
101,14
101,0
102,4
102,8
102,11
103,9
103,119
104,50
104,5
105,58
105,118
105,120
105,122
106,121
106,53
106,3
107,10
107,52
107,117
108,51
109,12
109,59
110,56
111,123
111,55
111,57
111,54
112,6
112,13
113,2
113,0
113,49
113,45
114,1
115,7
115,47
116,46
116,8
117,4
117,11
118,119
119,14
120,9
121,121
121,120
121,5
123,50
123,3
124,10
124,58
124,122
124,118
124,12
125,52
126,117
126,0
126,6
126,53
126,13
128,1
128,8
128,51
128,2
129,119
129,4
129,11
129,49
129,7
129,59
130,56
130,47
130,46
131,123
131,121
131,55
132,57
132,54
133,45
134,9
134,14
136,5
137,120
140,3
140,12
141,10
142,0
142,6
142,50
143,13
143,122
143,58
144,119
144,52
144,8
144,118
144,121
144,1
145,11
145,117
145,4
146,2
146,53
147,49
147,7
148,46
148,51
148,47
149,120
149,9
149,5
150,59
150,56
150,14
151,123
151,54
151,55
151,57
151,12
152,3
152,45
153,0
155,6
155,10
158,13
158,121
158,119
159,8
161,122
161,1
161,50
161,11
161,58
162,52
162,118
162,4
163,117
163,2
164,7
164,120
165,49
165,5
165,53
165,46
165,9
165,12
166,0
166,47
166,3
167,6
167,14
167,51
168,10
168,121
168,56
168,13
168,59
169,119
170,57
170,55
170,123
170,8
170,54
171,45
174,11
175,1
177,122
178,4
180,52
180,58
180,118
180,50
180,2
181,120
181,0
181,117
181,12
182,5
182,7
182,6
182,121
183,3
183,9
183,49
183,46
184,119
184,47
184,13
184,10
185,8
185,53
185,14
187,51
187,11
188,56
188,59
188,1
189,123
190,57
190,55
190,54
190,4
191,45
191,122
192,0
192,12
195,2
195,121
196,6
196,120
196,52
196,118
197,117
197,58
198,50
199,5
199,119
199,3
201,13
201,8
201,9
201,7
202,49
202,10
202,46
203,47
203,11
203,14
204,1
205,53
205,0
206,4
206,121
206,12
207,51
207,6
208,120
208,59
208,56
209,2
209,123
209,122
210,119
210,117
210,52
210,55
210,118
211,57
211,54
211,5
211,3
212,45
212,58
213,50
213,13
213,8
217,9
217,7
218,10
219,11
219,46
220,49
220,121
221,0
221,1
221,47
222,12
222,14
223,4
223,6
224,120
224,119
225,53
225,2
226,8
226,3
226,117
226,5
227,13
227,51
227,118
227,123
227,122
228,52
228,59
228,56
230,58
230,9
230,50
230,7
231,11
231,121
231,55
231,57
231,10
