timestamp,neuron
76,137
76,1
76,138
77,12
77,53
78,50
78,59
78,57
78,4
78,9
78,10
79,58
79,6
80,45
82,2
83,0
84,11
84,7
85,140
85,139
85,13
87,54
87,51
87,14
88,5
88,49
88,52
88,55
89,8
89,3
90,138
91,46
91,12
91,137
91,1
91,47
91,56
91,6
92,4
92,10
92,9
93,59
93,0
93,53
93,50
93,11
93,58
94,2
94,57
94,45
94,140
94,13
95,7
95,139
98,5
99,51
100,14
100,8
100,54
102,3
102,49
104,52
104,138
104,12
105,55
106,6
106,1
106,46
107,137
107,0
107,4
107,56
108,47
108,10
108,9
108,11
109,59
109,13
109,140
110,2
110,50
110,53
110,139
110,58
110,7
111,45
111,57
112,8
112,5
113,3
113,12
113,138
114,14
114,51
114,49
114,6
115,54
115,0
116,52
116,1
117,46
117,137
117,55
117,4
118,11
118,56
120,10
120,13
120,47
121,9
123,140
124,59
125,2
125,139
126,7
126,8
126,50
127,58
127,53
127,12
128,138
128,3
128,45
128,5
129,57
129,6
129,0
130,49
131,14
131,1
131,51
131,137
131,4
132,11
132,46
132,52
132,13
132,54
133,10
133,56
133,140
133,9
133,55
134,47
135,8
135,59
135,2
136,139
136,7
136,12
137,138
137,3
138,50
138,6
139,5
139,58
139,0
140,53
141,45
145,57
146,1
146,11
147,4
147,49
147,13
147,137
147,14
148,46
148,51
148,140
149,10
149,52
149,9
149,56
149,8
150,54
150,12
150,47
150,55
151,138
151,139
151,2
151,7
151,6
151,59
151,3
151,0
152,5
153,50
154,58
154,53
155,45
155,1
155,11
156,13
156,4
157,57
157,137
158,49
158,140
158,46
160,8
160,14
161,51
161,12
162,10
163,9
164,56
165,52
165,138
165,6
165,0
166,3
166,139
166,47
167,2
167,7
167,54
168,59
168,55
168,5
170,50
170,11
170,13
170,58
171,1
171,53
171,4
171,45
172,8
172,140
172,12
172,137
173,46
173,49
173,10
174,138
174,57
174,0
174,6
174,9
174,14
175,51
175,56
175,3
176,52
176,139
177,7
177,2
177,47
179,5
179,59
182,54
183,55
184,11
184,13
186,1
186,8
186,12
186,4
186,50
187,140
187,58
188,137
188,0
188,138
188,53
188,45
188,6
189,46
189,10
189,49
190,9
190,3
190,56
191,14
191,57
191,51
191,139
192,7
192,2
192,52
192,5
193,47
193,59
193,11
194,13
195,12
195,8
195,54
195,1
195,55
196,4
196,140
197,0
197,6
198,138
198,50
199,137
200,58
201,46
203,45
203,3
203,10
204,53
205,9
205,49
206,56
207,139
208,14
208,7
208,51
208,5
208,2
208,57
208,11
209,13
209,12
209,8
209,52
209,47
210,59
210,1
210,0
211,4
211,6
211,140
211,138
212,55
212,137
212,54
213,3
213,50
213,46
214,58
214,10
215,45
215,9
216,49
216,53
217,56
217,139
218,12
218,13
218,11
219,7
219,5
219,8
220,2
221,14
221,51
223,0
224,6
224,57
225,47
225,1
225,138
225,52
225,59
226,4
226,140
228,137
228,3
229,46
229,55
230,10
230,54
230,50
230,58
231,9
231,12
231,45
231,8
232,13
232,139
232,11
232,49
232,56
232,53
232,0
233,5
233,7
233,2
233,6
234,138
234,14
234,51
235,1
235,140
235,4
236,47
236,59
237,57
237,52
238,3
240,137
244,46
245,10
245,12
246,8
246,55
246,13
246,50
247,9
247,11
247,0
247,58
247,139
247,54
248,6
248,5
248,45
248,49
248,7
248,56
249,138
249,2
249,53
250,1
250,140
250,4
251,14
251,51
251,3
252,59
252,47
253,52
253,137
253,57
254,12
254,46
255,8
255,10
255,0
255,13
256,11
256,6
257,9
258,139
258,50
258,55
258,138
259,5
260,58
261,56
262,45
262,49
263,54
264,2
264,1
264,140
265,4
266,53
266,3
267,7
268,14
268,51
268,12
268,59
268,47
268,137
269,8
269,0
269,52
270,46
270,13
270,11
270,6
270,57
270,10
271,138
272,9
272,139
272,5
273,50
274,56
274,140
274,58
274,55
274,1
274,49
275,2
275,4
275,45
276,3
276,54
277,12
278,7
278,53
279,0
279,8
281,59
281,14
281,51
281,137
283,47
283,13
283,6
284,11
285,46
286,10
286,138
286,52
288,9
288,57
288,139
288,5
289,140
289,1
290,4
290,56
290,50
290,3
290,2
290,12
291,49
291,58
291,0
291,55
291,8
292,45
292,7
293,6
293,54
293,13
293,137
293,53
293,11
294,59
294,14
294,51
294,138
295,47
295,46
296,10
297,52
298,9
299,5
299,139
301,140
303,57
304,1
304,12
304,4
304,3
305,0
306,56
306,8
306,2
307,50
307,49
307,6
308,58
308,13
308,7
308,11
308,45
309,137
309,55
309,138
310,53
310,59
310,54
311,46
311,47
311,14
311,10
311,51
312,5
312,9
312,140
312,139
313,12
313,52
313,0
314,1
314,3
314,4
315,8
315,57
316,6
316,56
316,2
317,13
318,50
318,11
318,49
319,7
