timestamp,neuron
13,186
14,188
14,9
14,53
15,46
16,190
16,0
16,52
17,7
17,8
18,12
18,1
18,51
18,6
18,187
18,50
18,49
18,4
18,3
19,58
19,11
19,13
20,14
20,189
21,47
21,54
21,57
21,2
21,5
21,45
22,59
22,55
24,10
24,56
27,9
29,188
30,0
30,186
31,46
31,190
33,8
33,53
33,12
34,6
34,1
34,52
34,7
35,4
35,3
35,187
35,11
35,13
36,49
37,189
37,50
37,58
37,51
38,5
38,14
38,2
39,47
39,10
39,0
40,9
40,54
40,57
41,56
41,188
41,59
41,45
42,190
42,55
42,8
43,12
43,46
43,186
43,6
46,1
48,3
49,4
49,11
49,7
49,13
50,53
51,52
52,187
54,189
54,5
54,49
54,0
55,2
55,14
56,10
56,58
56,50
57,47
57,8
57,190
57,9
57,51
57,188
57,12
58,6
60,56
60,1
60,3
60,46
60,186
60,11
60,13
60,54
60,57
61,4
61,59
61,45
62,7
62,55
64,52
64,187
64,53
65,0
66,5
69,189
70,49
71,2
72,10
72,8
73,190
73,12
73,14
73,6
74,188
74,9
74,58
75,47
75,50
76,13
76,11
76,1
76,3
77,4
77,51
78,186
78,0
78,7
78,46
79,56
79,5
80,187
80,52
81,54
81,57
81,189
81,59
82,45
82,53
82,8
82,2
83,12
83,49
83,10
83,55
83,6
84,190
89,14
89,9
90,188
91,13
91,11
91,3
92,1
92,58
93,0
93,4
93,47
94,50
95,7
95,186
96,5
96,46
96,187
97,8
97,51
97,12
97,189
98,56
98,6
98,52
98,190
99,10
99,2
100,49
101,53
101,54
101,13
101,57
101,11
101,9
102,188
102,59
102,45
102,0
102,3
102,14
103,1
103,55
104,4
106,58
106,47
111,7
112,50
112,5
112,8
113,12
113,186
113,46
114,187
114,6
114,190
114,189
116,10
116,52
116,2
117,56
117,51
117,13
117,0
117,11
118,188
118,49
118,3
118,1
118,9
119,4
119,14
120,53
120,54
121,57
122,47
122,59
122,45
122,8
122,58
123,12
123,7
123,5
123,55
124,6
125,50
126,46
128,190
129,187
130,186
130,189
132,0
132,10
132,13
133,11
133,2
134,52
134,188
134,3
135,1
135,4
135,9
136,56
136,49
137,51
137,8
137,14
138,12
138,6
139,5
139,53
139,47
139,190
140,7
140,58
140,54
141,46
141,57
141,0
141,187
142,59
142,45
142,189
142,50
143,186
143,13
143,10
144,11
144,55
146,2
147,3
149,1
149,52
150,4
150,188
152,9
153,8
153,12
154,49
154,6
154,56
155,190
156,14
156,5
156,0
156,51
157,7
157,47
158,13
158,187
158,189
158,11
158,53
159,10
159,46
159,58
160,3
160,186
160,1
160,2
160,54
161,50
161,4
161,57
162,45
162,59
162,188
162,52
162,8
163,55
163,12
164,9
164,6
169,49
170,0
170,190
171,56
172,5
173,14
174,13
174,7
174,11
175,189
175,187
175,47
175,51
175,10
176,3
176,1
177,46
177,8
177,4
177,2
177,186
177,58
177,12
177,53
178,188
178,6
179,50
179,52
179,9
180,0
180,54
181,59
181,57
181,190
181,45
182,49
182,55
183,5
184,56
184,13
185,11
188,7
189,14
191,189
192,187
192,10
192,3
193,8
193,1
193,12
193,47
194,4
194,6
194,46
194,2
194,188
195,51
195,0
195,186
196,9
196,58
196,190
197,52
197,53
198,50
198,5
199,13
199,11
200,49
200,54
201,57
201,59
201,7
201,45
202,56
202,14
203,3
203,8
203,55
203,12
203,10
203,189
204,1
204,6
204,187
205,4
206,0
207,47
210,46
210,2
211,188
212,190
213,9
213,186
214,51
214,13
