timestamp,neuron
16315,200
16392,200
16470,200
16547,200
16623,200
16698,200
16775,200
16852,200
16930,200
17008,200
17088,200
17181,200
17814,45
17874,45
17934,45
17994,45
18054,45
18114,45
18164,46
18176,45
18217,46
18241,45
18272,46
18317,45
18329,46
18384,46
18437,46
18493,46
18514,47
18551,46
18575,47
18614,46
18635,47
18685,46
18696,47
18756,47
18817,47
18877,113
18880,47
18890,126
18890,96
18894,90
18896,162
18899,216
18906,160
18908,117
18913,174
18914,172
18923,94
18939,138
18940,113
18945,212
18946,47
19004,113
19015,47
19031,96
19031,126
19049,216
19049,90
19064,162
19075,113
19104,47
19142,113
19154,96
19159,126
19208,113
19215,49
19234,90
19246,134
19273,49
19278,113
19332,49
19342,113
19391,49
19408,113
19451,49
19481,113
19510,49
19547,113
19565,50
19571,49
19620,113
19628,50
19634,49
19670,90
19672,126
19685,113
19691,50
19703,49
19722,134
19753,50
19758,113
19809,49
19815,50
19820,113
19835,90
19863,126
19879,50
19884,113
19915,51
19946,50
19952,113
19959,214
19974,51
19986,126
19995,94
20003,118
20006,172
20017,50
20019,113
20034,51
20039,90
20071,214
20085,113
20093,51
20112,126
20153,51
20154,50
20157,113
20177,90
20212,51
20221,113
20235,126
20265,52
20273,51
20288,113
20294,214
20326,52
20336,51
20351,126
20361,113
20369,94
20388,52
20404,51
20406,118
20426,113
20449,52
20483,51
20494,113
20511,52
20561,113
20572,52
20615,53
20627,113
20635,52
20646,126
20650,162
20656,214
20668,53
20671,194
20699,113
20700,52
20719,53
20764,113
20767,52
20770,53
20823,53
20829,113
20837,52
20873,53
20900,113
20916,126
20919,52
20920,162
20926,53
20927,194
20927,214
20966,54
20966,113
20977,53
21024,52
21030,54
21031,53
21034,113
21090,53
21093,54
21097,113
21120,90
21124,126
21132,160
21154,53
21159,54
21159,113
21197,162
21202,194
21208,214
21224,54
21225,113
21238,53
21288,54
21294,113
21316,55
21343,90
21344,126
21354,54
21358,113
21376,55
21398,160
21423,113
21429,54
21436,55
21456,90
21456,126
21496,55
21498,113
21523,54
21556,55
21561,113
21583,90
21584,126
21617,55
21624,113
21666,56
21680,55
21698,113
21725,90
21726,56
21729,126
21745,55
21763,113
21786,56
21816,55
21839,113
21840,90
21841,126
21845,56
21904,113
21905,56
21926,55
21965,56
21973,113
22016,57
22027,56
22039,113
22077,90
22084,57
22090,56
22105,113
22149,57
22160,56
22177,90
22177,113
22215,57
22223,117
22241,113
22284,57
22308,113
22350,57
22366,58
22375,113
22419,57
22428,58
22439,113
22461,174
22491,58
22492,57
22504,113
22520,90
22553,58
22575,174
22578,113
22581,57
22616,58
22643,113
22680,58
22703,174
22717,59
22718,113
22746,58
22771,59
22783,113
22787,90
22819,58
22827,59
22840,174
22858,113
22883,59
22923,113
22937,59
22972,90
22991,59
22995,113
23047,59
23060,113
23067,60
23106,59
23128,113
23129,60
23167,59
23191,60
23195,113
23235,59
23253,60
23257,113
23257,90
23292,126
23315,60
23319,113
23336,59
23370,90
23378,60
23383,113
23417,61
23427,122
23444,60
23451,113
23483,61
23511,60
23515,113
23547,61
23557,126
23559,160
23571,122
23580,113
23592,60
23611,61
23647,113
23677,61
23717,113
23743,61
23767,62
23782,113
23809,61
23830,62
23857,113
23859,134
23879,61
23888,94
23895,62
23901,126
23918,96
23923,113
23954,61
23960,62
23996,113
24024,62
24057,61
24061,113
24088,62
24118,63
24123,113
24139,126
24154,62
24184,63
24191,113
24228,62
24245,134
24249,63
24254,113
24316,63
24319,113
24322,62
24383,63
24386,113
24449,63
24453,113
24467,64
24518,113
24521,63
24529,64
24578,117
24584,113
24591,64
24605,63
24610,90
24617,126
24655,64
24657,113
24699,117
24719,64
24723,113
24782,64
24790,113
24818,65
24833,90
24846,64
24857,113
24878,65
