timestamp,neuron
11047,200
11123,200
11200,200
11278,200
11354,200
11428,200
11503,200
11580,200
11658,200
11734,200
11812,200
11900,200
12546,45
12605,45
12664,45
12723,45
12783,45
12842,45
12896,46
12903,45
12950,46
12968,45
13003,46
13044,45
13059,46
13114,46
13167,46
13222,46
13246,47
13280,46
13306,47
13342,46
13366,47
13414,46
13425,47
13485,47
13545,47
13605,113
13606,47
13614,126
13615,96
13617,90
13619,162
13622,216
13626,117
13627,160
13627,174
13628,172
13630,94
13635,138
13642,212
13647,184
13652,154
13657,200
13668,113
13669,95
13670,47
13681,186
13689,214
13691,134
13731,113
13738,47
13794,113
13819,47
13866,113
13929,113
13947,49
13973,126
13975,90
13992,113
14000,134
14004,49
14057,113
14062,49
14086,126
14087,90
14101,134
14120,49
14126,113
14179,49
14189,113
14238,49
14252,113
14297,50
14298,49
14317,113
14359,50
14360,49
14388,113
14421,50
14429,49
14444,90
14451,113
14453,126
14482,50
14493,134
14515,113
14530,49
14536,154
14544,50
14552,90
14552,126
14564,194
14566,94
14589,113
14607,50
14627,90
14647,51
14651,113
14655,154
14667,126
14673,50
14693,214
14705,51
14715,113
14745,50
14746,94
14759,90
14764,51
14769,126
14773,154
14782,194
14787,113
14792,118
14796,214
14822,51
14844,94
14850,113
14857,172
14882,51
14903,126
14914,113
14941,51
14979,214
14982,113
14996,52
15001,51
15024,126
15049,113
15057,52
15063,51
15086,214
15088,94
15097,118
15111,172
15111,113
15118,52
15130,51
15148,126
15177,113
15179,52
15210,51
15232,126
15240,52
15245,113
15281,214
15301,52
15308,113
15347,53
15363,52
15369,113
15377,90
15380,126
15388,178
15392,94
15398,53
15399,206
15401,141
15401,164
15405,142
15420,214
15427,52
15431,113
15436,117
15450,53
15494,52
15496,113
15500,53
15508,162
15514,126
15515,194
15553,53
15565,52
15568,113
15602,53
15614,90
15625,126
15627,162
15630,113
15631,214
15631,194
15647,52
15655,53
15694,113
15698,54
15706,53
15742,126
15743,162
15753,214
15757,194
15757,52
15760,53
15761,54
15763,113
15789,90
15806,160
15818,53
15824,54
15827,113
15844,126
15851,96
15883,53
15887,113
15889,54
15907,162
15911,214
15911,194
15914,90
15925,160
15950,113
15954,54
15970,53
16014,113
16017,54
16048,55
16073,90
16074,126
16083,54
16086,113
16106,160
16108,55
16111,96
16149,113
16157,54
16168,55
16190,90
16192,126
16213,113
16227,55
16251,54
16280,113
16286,55
16293,90
16298,160
16315,126
16346,55
16347,113
16363,90
16397,56
16407,55
16410,113
16434,126
16457,56
16472,55
16473,113
16516,56
16542,113
16543,55
16559,90
16560,126
16576,56
16609,113
16635,56
16660,55
16672,113
16684,90
16686,126
16695,56
16737,113
16748,57
16756,56
16808,113
16815,57
16819,56
16840,90
16871,113
16879,57
16889,56
16924,117
16938,113
16944,57
16982,90
17008,113
17012,57
17028,154
17071,113
17078,57
17098,58
17135,113
17145,57
17160,58
17170,174
17176,90
17195,154
17208,113
17219,57
17221,58
17257,131
17271,113
17283,58
17301,174
17308,57
17336,113
17346,58
17408,113
17409,58
17428,174
17449,59
17464,131
17471,113
17475,58
17482,90
17502,59
17529,126
17537,113
17540,108
17547,58
17556,122
17557,59
17567,174
17575,107
17608,113
17613,59
17665,59
17669,113
17681,90
17695,126
17704,108
