timestamp,neuron
59,14
59,51
60,13
60,57
61,132
62,59
62,129
62,7
63,131
64,8
64,49
65,5
68,45
69,0
69,56
69,47
70,46
70,130
71,53
71,4
71,1
72,12
72,10
72,11
73,58
73,3
73,6
73,55
74,9
74,52
74,2
74,50
75,13
75,132
75,54
76,14
76,51
76,129
77,8
77,131
77,7
77,59
77,57
78,0
78,5
79,49
79,130
80,56
80,12
80,47
81,45
81,4
81,46
81,1
82,11
82,6
82,10
82,3
82,53
85,58
85,9
86,13
88,132
89,2
89,55
89,52
90,50
90,129
91,8
92,131
92,0
93,14
93,51
93,54
93,7
93,130
94,5
94,59
95,12
95,57
95,49
96,4
96,6
96,56
96,11
96,1
96,46
96,47
97,3
97,10
97,45
98,13
98,132
98,53
99,9
100,58
100,129
100,2
100,8
101,0
101,52
101,55
101,131
102,130
102,50
104,7
104,12
105,5
105,14
105,51
107,59
108,54
108,6
110,11
110,4
111,49
111,1
111,3
112,46
112,57
112,56
113,13
113,10
113,132
113,47
114,45
114,8
114,129
114,9
115,0
115,53
115,130
116,2
116,131
116,58
117,12
117,52
118,50
118,55
118,7
118,6
118,5
119,14
119,11
119,59
120,51
120,4
120,3
121,1
121,54
121,13
122,132
122,49
122,46
123,56
123,10
124,8
124,57
124,0
125,47
125,129
127,130
128,45
128,9
131,131
131,12
131,2
132,53
133,6
133,58
134,5
134,7
134,52
134,11
135,50
135,3
135,55
135,4
136,132
136,59
136,1
136,13
136,14
136,51
137,8
137,0
137,46
137,130
137,129
137,10
138,49
138,56
138,54
139,47
139,12
139,9
140,57
140,131
141,45
141,6
141,2
144,53
145,11
145,5
145,58
146,7
148,3
149,132
150,4
150,13
150,52
150,50
151,1
151,0
151,8
151,130
152,59
152,129
153,55
153,14
153,46
153,10
153,51
154,12
154,49
154,56
155,131
155,9
155,6
155,47
156,54
157,2
157,57
157,45
157,11
158,5
158,132
159,3
159,7
159,13
159,53
159,0
159,58
160,130
160,4
160,8
160,1
161,129
162,52
162,50
163,12
163,59
164,46
164,10
165,14
166,55
166,51
166,6
168,56
169,131
169,49
170,9
172,47
172,11
173,2
173,132
173,54
174,0
174,3
174,130
174,5
174,45
174,13
174,8
174,57
175,7
175,4
176,1
176,129
176,53
176,58
176,12
177,6
178,50
178,52
178,10
178,59
178,46
179,131
179,56
179,14
180,51
180,55
180,49
181,9
181,11
182,132
182,0
182,47
182,130
183,3
184,2
184,13
184,8
185,5
188,54
188,4
189,7
189,45
189,129
190,12
190,1
191,57
192,6
193,58
193,53
194,10
194,46
194,131
195,59
195,50
195,52
195,56
196,132
196,0
196,130
196,11
196,14
196,51
196,9
196,49
197,55
197,8
197,3
197,13
198,47
198,2
198,5
198,12
199,129
199,4
200,7
200,1
200,6
201,45
201,54
203,57
205,58
206,131
206,10
206,46
208,0
208,53
209,130
209,132
209,59
210,11
210,50
211,52
211,56
211,8
212,9
212,13
212,3
213,14
213,51
213,49
213,12
214,129
214,5
214,55
214,2
214,4
214,47
214,6
215,1
215,7
217,45
218,0
218,130
218,131
218,54
218,132
219,10
219,46
219,11
219,57
220,58
220,8
221,59
221,53
221,13
221,3
222,12
222,56
222,50
222,9
222,52
223,129
224,6
225,49
225,51
225,5
225,14
226,4
227,2
229,1
230,47
230,55
230,7
232,130
232,0
233,132
