timestamp,neuron
223222,154
223222,146
223222,133
223222,182
223222,131
223222,129
223222,181
223222,106
223222,13
223222,216
223222,175
223223,144
223226,1
223275,13
223276,129
223279,154
223279,131
223288,182
223288,106
223288,133
223289,181
223289,144
223293,1
223293,216
223297,175
223303,189
223313,146
223333,13
223334,129
223336,154
223336,131
223353,133
223353,106
223353,182
223353,144
223354,181
223357,1
223371,216
223375,189
223375,175
223386,206
223392,13
223393,129
223395,154
223395,131
223411,146
223415,133
223416,144
223416,106
223418,182
223422,181
223423,1
223449,216
223452,13
223452,206
223453,129
223454,189
223454,154
223455,131
223455,175
223479,133
223482,144
223483,106
223486,182
223491,181
223495,1
223510,146
223512,13
223513,129
223514,154
223514,131
223517,206
223525,216
223534,189
223536,175
223544,211
223545,133
223548,144
223551,106
223552,182
223556,181
223557,1
223573,13
223574,129
223575,154
223575,131
223587,206
223595,216
223611,146
223614,144
223614,133
223616,106
223616,189
223616,175
223617,182
223618,211
223624,1
223625,181
223634,13
223635,129
223635,154
223635,131
223655,206
223675,216
223677,133
223678,144
223683,106
223687,182
223695,13
223695,154
223695,181
223696,131
223696,129
223697,211
223697,175
223698,189
223715,1
223715,146
223724,206
223741,133
223744,144
223756,154
223756,182
223756,131
223756,13
223756,216
223757,106
223757,129
223767,181
223778,211
223778,175
223779,189
223797,206
223804,1
223817,154
223817,131
223817,13
223817,146
223817,144
223818,129
223818,133
223827,106
223828,182
223838,216
223838,181
223860,211
223861,175
223863,189
223878,206
223878,154
223878,131
223878,13
223879,129
223888,144
223890,133
223899,182
223899,1
223900,106
223920,216
223920,146
223921,181
223939,154
223940,131
223940,13
223942,129
223945,211
223951,175
223962,206
223963,144
223972,133
223985,182
223989,106
224005,154
224006,131
224006,216
224006,13
224020,181
224028,129
232790,2
232866,2
232938,2
233015,2
233093,2
233170,2
233245,2
233318,2
233395,2
233473,2
233553,2
233644,2
234290,45
234349,45
234409,45
234468,45
234527,45
234585,45
234638,46
234645,45
234695,46
234710,45
234751,46
234786,45
234804,46
234857,46
234914,46
234971,46
234990,47
235027,46
235050,47
235086,46
235111,47
235160,46
235171,47
235232,47
235292,47
235354,47
235418,47
235487,47
235577,47
235690,49
235749,49
235806,49
235862,49
235919,49
235978,49
236037,49
236039,5
236100,49
236101,5
236111,131
236117,129
236118,13
236164,5
236168,49
236182,132
236228,5
236280,49
236291,5
236298,131
236354,5
236390,51
236419,5
236449,51
236492,5
236507,51
236565,51
236622,51
236680,51
236702,131
236713,13
236718,129
236739,52
236740,51
236769,132
236800,52
236802,51
236860,52
236870,51
236912,131
236921,52
236925,154
236951,51
236982,52
237002,154
237005,131
237015,13
237043,52
237090,53
237106,52
237139,53
237171,52
237192,53
237215,131
237238,52
237241,53
237261,13
237281,129
237294,53
237309,52
237343,53
237373,131
237392,52
237395,53
237440,54
237448,53
237474,131
237478,129
237501,53
237505,54
237531,13
237559,53
237571,54
237625,53
237634,54
237697,54
237722,53
237735,131
237742,13
237761,54
237761,129
237787,174
237791,55
237830,54
237852,55
237902,54
237913,55
237914,174
237918,131
237920,129
237930,13
237973,55
238015,54
238034,55
238094,55
238140,56
238157,55
238200,56
238222,55
238254,131
238255,129
238259,56
238261,13
238297,55
238319,56
238378,56
238438,56
238491,57
238499,56
238556,57
238563,56
238576,131
238578,13
238592,129
238620,57
238635,56
238689,57
