timestamp,neuron
3850,187
3851,188
3851,189
3864,186
3865,187
3868,188
3868,189
3877,187
3880,188
3881,189
3882,186
3885,52
3887,0
3887,47
3887,49
3887,10
3887,1
3887,13
3887,8
3887,11
3887,2
3887,58
3887,6
3887,3
3887,50
3887,46
3887,4
3887,5
3887,12
3887,14
3888,9
3888,7
3888,53
3888,51
3888,57
3888,54
3888,56
3888,55
3888,45
3889,59
3893,187
3895,188
3896,0
3896,189
3896,6
3896,8
3896,12
3896,13
3897,11
3897,3
3897,186
3897,1
3897,52
3897,4
3898,10
3898,5
3898,46
3898,2
3898,47
3898,9
3898,7
3898,49
3899,56
3899,58
3899,50
3900,14
3900,51
3900,59
3901,53
3901,45
3901,57
3902,55
3902,54
3909,187
3910,0
3911,6
3911,12
3911,8
3912,13
3912,11
3912,3
3912,188
3913,1
3913,4
3913,189
3913,10
3913,5
3914,46
3914,2
3914,7
3914,9
3914,52
3914,186
3915,49
3915,47
3915,56
3916,59
3916,50
3916,58
3916,14
3916,53
3916,51
3916,45
3917,55
3917,57
3917,54
3920,0
3921,12
3921,6
3923,8
3923,187
3925,13
3926,11
3927,3
3928,1
3928,4
3929,188
3929,5
3929,10
3930,46
3930,189
3930,7
3930,9
3930,2
3931,49
3931,56
3931,52
3931,47
3932,186
3932,59
3932,50
3932,58
3933,53
3933,51
3933,14
3933,45
3933,0
3933,55
3934,12
3934,6
3934,57
3934,8
3934,54
3935,13
3936,11
3936,187
3936,3
3938,1
3938,4
3940,5
3940,10
3942,46
3943,188
3943,7
3944,9
3945,2
3946,189
3947,56
3947,0
3948,49
3948,47
3948,12
3948,6
3948,52
3948,59
3949,8
3949,50
3949,58
3950,51
3950,186
3950,14
3950,45
3950,53
3950,13
3951,11
3951,55
3951,57
3951,3
3952,187
3952,54
3953,1
3953,4
3954,5
3955,10
3955,46
3955,7
3956,9
3956,0
3956,188
3956,2
3957,12
3957,6
3958,189
3958,56
3958,8
3959,49
3959,47
3960,59
3960,13
3961,52
3963,11
3963,50
3964,58
3964,51
3965,3
3965,45
3966,14
3966,53
3967,186
3968,187
3968,55
3969,4
3969,1
3969,57
3970,54
3970,5
3970,0
3971,10
3971,46
3971,12
3972,6
3972,7
3972,9
3972,8
3972,2
3973,188
3974,13
3974,56
3974,189
3974,11
3975,49
