timestamp,neuron
54,45
54,8
54,4
54,51
54,57
54,54
55,6
56,59
57,55
57,0
57,14
59,5
60,184
61,186
63,188
64,58
64,3
64,9
64,187
65,49
66,12
66,50
67,1
67,10
67,11
68,185
69,13
69,2
69,7
69,56
69,8
70,52
70,6
70,4
70,0
71,53
72,5
72,46
72,47
73,14
73,184
73,186
73,3
74,9
74,188
74,187
75,12
75,45
75,57
75,54
75,51
76,58
77,49
77,1
78,55
78,59
79,11
80,10
81,50
84,185
85,13
85,8
86,0
86,6
87,2
87,7
87,4
88,56
88,52
88,5
89,186
89,3
90,184
90,46
90,187
90,12
90,47
91,14
91,188
91,9
91,53
92,11
92,1
92,10
93,49
94,58
94,8
94,185
94,13
95,0
95,51
95,45
95,6
95,54
95,57
95,50
97,55
98,59
99,7
99,2
99,4
105,5
105,12
106,52
106,56
106,3
106,187
107,186
107,184
108,11
108,46
108,9
108,188
108,1
108,47
109,14
109,8
109,10
109,0
109,13
110,6
110,185
111,53
111,49
111,4
112,7
112,2
113,58
114,12
114,50
115,5
116,45
116,3
116,51
116,54
116,57
118,55
118,187
118,52
119,59
120,56
121,11
123,186
124,184
124,1
124,0
124,9
125,8
125,46
125,188
126,6
126,13
126,10
126,185
127,47
127,14
128,4
129,2
129,7
129,12
130,49
131,5
131,3
131,187
132,53
132,11
132,58
133,0
133,52
134,1
134,186
134,8
134,50
134,184
135,6
135,9
135,13
136,56
136,45
136,54
137,57
137,51
137,10
138,188
138,46
139,55
139,59
140,185
145,4
145,47
145,14
145,12
147,2
147,7
147,187
148,3
148,5
148,11
148,0
148,49
149,8
150,1
150,6
150,186
150,13
151,58
151,184
151,52
151,9
152,185
152,53
152,10
152,188
154,46
154,50
155,4
155,12
155,56
156,54
157,57
157,45
157,51
157,47
157,14
158,55
159,59
161,2
161,0
162,3
162,7
163,11
163,187
164,5
165,8
166,6
166,49
166,1
166,13
167,186
168,185
168,184
168,9
169,10
169,52
169,188
169,58
170,12
170,4
171,53
171,0
171,46
172,3
173,50
173,11
173,2
173,187
173,14
173,56
173,47
174,7
174,5
174,8
175,6
176,45
176,54
176,51
176,57
176,13
177,1
177,55
177,59
180,49
184,185
184,186
185,184
185,10
186,9
186,12
186,188
187,0
187,52
187,4
188,58
189,187
189,11
189,3
189,8
190,46
190,6
190,2
191,5
191,53
191,13
191,7
191,14
192,1
192,47
192,50
193,56
194,185
194,49
195,12
195,186
195,0
195,10
196,54
196,51
196,45
196,57
196,9
197,184
198,55
198,59
201,4
203,188
203,52
205,11
205,187
205,8
205,3
206,6
206,58
207,46
207,13
207,5
208,2
208,1
209,7
209,14
210,185
210,0
210,12
210,47
210,53
211,186
211,56
211,50
211,10
212,9
212,49
212,4
212,184
214,11
214,8
214,188
215,54
215,45
215,6
215,51
215,52
215,3
215,57
215,187
216,59
216,55
217,13
222,5
222,46
223,58
224,1
224,2
225,0
225,12
225,7
226,185
227,14
228,47
228,10
228,4
228,186
229,9
229,8
229,184
229,11
229,6
230,49
230,56
230,53
230,50
230,187
230,3
231,188
231,13
232,52
233,5
233,0
233,57
233,54
233,45
234,51
234,46
234,1
234,12
234,59
235,2
235,58
235,55
236,7
239,185
243,4
244,10
244,8
245,14
245,186
245,6
245,47
246,9
246,11
247,187
247,184
247,3
247,13
248,188
248,49
248,0
249,56
249,5
249,50
249,12
250,52
250,1
250,53
251,185
251,2
252,46
252,7
253,58
253,8
253,4
254,57
254,54
254,10
254,6
254,51
254,45
255,11
256,9
256,14
256,59
256,55
257,3
257,186
257,13
257,47
261,187
262,0
263,184
265,12
265,188
266,5
266,49
266,1
268,56
268,185
268,52
269,8
269,2
269,50
269,7
269,6
270,4
270,46
270,11
270,10
270,53
271,13
271,0
271,3
272,9
272,187
272,186
272,58
272,14
273,12
274,184
274,47
274,54
275,57
275,51
275,45
276,5
277,188
277,1
278,55
278,59
280,49
284,185
284,8
285,6
286,52
286,2
287,4
287,56
287,0
287,11
287,7
288,13
288,10
288,187
288,3
289,186
289,12
289,9
289,46
289,50
290,14
290,184
291,1
291,5
291,53
292,58
292,188
293,47
293,8
293,185
294,6
294,49
296,54
296,0
296,51
296,57
297,45
297,4
297,11
298,2
298,52
299,13
299,55
299,59
302,56
303,7
303,10
304,187
304,3
304,12
306,186
306,9
308,46
308,1
308,184
308,5
308,14
308,8
309,188
309,50
309,185
310,6
310,0
311,11
311,13
311,58
312,47
312,4
312,53
312,2
313,49
313,12
313,52
314,187
314,10
314,7
314,3
316,56
316,54
316,57
317,51
317,45
318,9
319,55
319,59
321,186
324,1
324,8
325,5
325,46
325,184
326,0
326,6
326,185
327,14
327,188
327,11
327,13
328,4
329,50
329,12
329,187
330,2
330,10
330,3
331,7
331,47
331,58
331,52
331,49
332,9
332,186
333,8
333,53
334,1
334,0
334,6
335,56
335,5
335,57
335,54
335,51
336,45
336,55
336,59
337,46
337,184
337,185
339,13
339,11
343,188
344,14
344,4
345,12
345,187
347,3
347,10
347,2
348,50
349,7
349,8
349,186
349,0
349,47
350,52
350,9
350,49
350,1
350,6
350,58
351,5
351,185
351,13
351,11
352,184
352,46
352,53
353,56
354,12
354,51
354,45
354,57
354,4
354,54
354,188
355,59
355,14
355,55
356,187
358,3
363,10
364,2
364,0
364,8
366,6
366,186
366,7
367,1
367,9
367,13
367,185
367,11
368,5
368,50
368,47
369,49
369,184
369,12
370,58
370,4
371,187
371,52
371,188
371,46
372,3
373,14
373,56
373,53
373,0
374,10
374,8
375,51
375,2
375,57
375,54
375,45
375,6
377,59
377,55
377,1
378,13
378,7
379,11
380,9
383,186
383,185
384,5
385,12
387,184
387,47
387,187
387,50
387,49
387,4
388,188
388,0
389,3
389,52
389,8
389,58
390,10
390,46
390,6
390,14
391,13
391,56
391,2
391,11
391,1
392,53
392,7
392,9
393,185
393,186
393,12
394,5
394,51
394,57
394,54
395,45
395,59
396,55
399,4
402,187
403,0
403,184
404,8
405,47
405,3
405,49
406,188
406,6
407,10
407,13
407,52
407,11
407,50
407,1
408,14
408,2
408,58
409,46
409,12
409,7
409,9
409,185
410,5
410,186
410,56
411,4
411,0
412,53
412,187
413,8
414,184
415,6
415,3
415,51
415,57
415,54
416,45
417,13
418,11
418,59
418,47
418,49
418,188
419,55
419,10
422,1
424,52
424,12
425,50
425,2
426,185
426,14
426,46
426,9
427,7
427,5
427,186
427,58
427,0
428,4
428,187
429,8
429,56
430,6
430,3
431,184
431,13
431,11
432,53
432,10
432,188
433,1
434,12
434,49
434,47
436,51
436,52
436,185
436,57
436,2
436,45
437,0
438,9
439,55
439,50
439,59
439,46
439,5
439,54
440,7
442,14
443,8
443,4
444,186
444,58
444,187
445,6
446,3
447,13
447,56
447,11
448,184
449,10
449,12
449,1
449,188
450,0
450,53
451,49
451,185
451,47
451,2
451,5
452,9
452,52
452,7
452,8
452,46
453,4
454,51
454,14
454,57
454,6
454,50
454,187
454,45
454,186
455,59
455,54
456,55
456,58
457,13
457,3
458,11
464,56
464,12
465,1
465,0
466,10
466,184
467,188
467,185
468,8
468,5
469,2
469,9
469,49
469,6
469,7
470,4
470,187
470,52
470,47
471,186
471,53
471,13
471,46
471,11
471,14
471,3
473,12
474,0
474,50
474,58
475,57
475,51
475,1
476,54
476,45
476,10
477,56
478,55
478,59
480,184
482,8
483,185
484,188
485,5
485,6
486,187
486,2
486,9
486,4
487,7
487,13
488,186
488,49
488,11
488,52
488,3
489,0
489,12
489,47
489,14
490,46
490,1
491,10
491,8
492,53
493,184
493,185
493,58
494,50
494,6
495,188
495,5
496,56
496,57
496,51
496,54
496,45
497,187
497,4
499,9
499,2
499,59
499,55
499,13
501,11
