timestamp,neuron
23,193
23,11
24,49
24,56
25,192
25,45
25,8
25,12
26,4
26,196
26,6
27,54
28,51
28,50
29,59
30,58
30,10
31,13
31,2
31,1
32,5
33,9
33,55
34,53
34,47
34,7
34,0
35,14
35,52
35,46
36,3
36,194
38,11
38,195
38,193
39,8
39,12
40,6
40,196
40,57
40,4
41,49
41,192
41,56
42,13
43,1
43,10
44,45
44,2
44,50
44,58
45,5
45,0
45,51
45,54
45,59
45,9
47,7
48,47
50,55
50,46
50,14
50,53
50,3
51,52
52,11
53,8
53,12
53,194
54,6
54,193
55,196
56,195
56,4
57,13
58,192
58,1
58,0
58,49
58,10
60,57
60,5
60,2
60,56
61,9
62,7
62,58
62,3
62,11
62,50
63,8
63,51
63,47
64,45
64,12
64,46
64,59
64,14
64,54
65,6
65,52
66,53
66,55
68,193
68,194
69,196
70,4
71,0
72,13
72,1
73,195
74,192
75,10
75,49
76,5
77,2
77,11
77,8
78,9
78,3
78,12
79,7
79,56
79,6
79,57
80,58
81,46
81,50
81,47
81,196
81,14
81,0
82,193
82,52
82,51
82,4
83,194
83,13
83,59
83,53
83,54
83,45
84,1
84,55
88,10
89,192
90,195
91,11
91,5
91,8
92,49
93,12
93,3
93,2
94,6
94,9
95,0
96,7
96,196
97,56
98,193
98,13
98,4
98,46
99,58
99,47
99,14
99,1
99,57
99,52
99,194
100,50
101,51
101,11
101,53
101,10
101,8
102,59
102,54
102,45
102,55
102,5
103,192
103,12
104,6
104,195
104,3
105,49
106,0
106,2
107,9
110,7
111,196
113,13
113,193
114,4
114,1
114,56
115,46
116,11
116,8
116,194
116,47
116,14
117,58
117,52
118,10
118,12
118,50
118,5
119,0
119,6
119,57
119,3
119,192
120,53
120,51
121,59
121,2
121,45
121,195
121,54
121,49
122,55
122,9
122,196
123,7
124,13
125,4
125,1
126,193
127,8
128,11
129,46
129,56
132,12
132,0
133,194
133,47
133,6
134,10
134,14
134,52
134,58
134,5
135,3
136,50
136,192
137,196
138,2
138,9
138,53
138,57
138,13
139,51
139,195
139,49
140,59
140,7
140,1
140,8
140,4
140,11
140,193
141,45
141,54
141,55
142,0
142,12
142,46
143,56
143,6
146,10
147,3
147,5
147,47
147,194
148,14
149,52
150,58
152,196
153,192
153,13
154,50
154,2
154,8
155,9
155,11
155,1
156,4
156,0
156,195
156,49
156,7
157,193
157,12
157,53
158,51
158,6
158,57
159,59
160,46
160,3
161,10
161,54
161,45
161,5
161,55
161,56
162,194
163,47
163,14
163,52
163,196
164,58
164,13
165,8
166,11
166,192
167,0
167,1
167,2
168,9
169,50
170,4
170,12
172,193
173,6
173,7
174,49
174,195
176,53
176,3
177,10
177,51
177,5
177,46
178,57
178,8
178,196
178,59
179,194
179,13
179,0
179,11
180,47
180,14
180,56
180,52
180,54
180,1
181,45
181,55
181,12
182,2
182,192
182,58
182,9
182,4
183,6
184,50
184,193
185,7
188,49
189,3
191,195
193,8
193,5
193,10
193,0
193,196
194,11
194,13
194,46
195,53
196,51
196,194
196,1
196,12
197,6
198,14
198,4
198,47
198,59
198,57
198,52
198,2
198,9
198,192
199,56
199,193
200,58
200,54
200,7
200,45
201,55
201,50
201,3
202,49
203,0
203,8
204,11
204,5
205,10
205,196
205,13
205,195
207,12
208,46
209,1
212,6
212,194
213,53
213,4
214,51
215,2
215,9
215,14
215,47
215,192
216,193
216,52
217,0
217,59
217,8
217,3
217,56
217,7
218,57
218,58
218,11
219,196
219,13
219,50
220,5
220,49
220,12
220,10
220,54
220,45
220,55
221,1
222,6
222,195
222,46
225,4
226,194
228,53
228,0
229,2
229,9
230,51
231,8
231,193
232,192
232,47
232,14
232,3
233,52
233,11
234,7
234,196
235,13
235,12
235,56
236,58
236,59
236,5
237,10
237,1
237,6
237,57
238,49
238,50
239,46
239,195
240,0
240,54
240,45
240,4
240,55
241,8
242,194
242,9
242,2
243,193
243,11
243,53
243,3
245,51
245,192
245,12
246,47
246,14
246,13
247,52
247,196
247,7
250,6
251,5
251,1
252,10
253,56
253,58
254,0
255,59
255,49
256,8
256,4
257,46
257,50
257,57
257,195
258,11
258,9
258,3
258,2
258,194
259,193
259,54
259,12
259,45
259,55
260,13
260,196
261,6
261,53
261,192
261,7
262,47
262,14
262,51
262,52
262,1
263,5
264,0
264,10
267,8
268,56
268,58
269,4
271,59
271,49
272,11
273,46
274,3
274,12
275,50
275,195
275,193
275,9
275,13
275,2
275,194
275,196
276,6
276,57
277,0
277,1
278,192
278,7
279,5
279,54
279,45
279,14
279,47
279,55
279,8
280,10
280,52
280,53
281,51
281,4
282,11
283,56
283,58
284,12
284,49
285,59
285,3
286,46
286,13
287,6
289,196
289,9
289,193
290,2
290,0
291,50
292,194
292,195
293,1
294,8
294,192
295,7
295,5
295,57
296,10
297,11
297,14
297,47
297,4
297,52
299,12
299,54
299,53
299,45
300,55
300,3
300,6
300,13
300,51
301,0
301,58
301,49
301,196
301,56
301,46
302,193
302,9
302,59
303,2
304,1
305,8
305,50
305,194
307,195
308,5
309,7
310,192
310,11
312,10
313,4
314,12
314,14
315,57
315,47
315,0
315,52
315,6
316,3
316,13
316,196
317,53
318,193
318,46
318,54
318,8
318,45
318,49
318,9
319,55
319,1
319,58
319,51
319,56
319,2
321,59
321,11
321,194
321,5
321,50
322,7
323,195
323,192
324,10
324,12
324,4
325,0
326,6
328,13
328,3
330,47
330,14
331,196
332,52
333,8
333,57
334,193
334,1
335,46
335,9
336,11
336,2
336,49
336,53
337,58
337,5
338,56
338,45
338,51
338,54
338,194
338,12
338,0
338,55
338,7
339,6
339,10
339,4
339,59
340,50
340,192
340,195
340,13
341,3
342,196
343,8
343,47
344,14
345,52
345,1
347,193
347,11
348,57
350,46
350,9
352,2
352,0
353,49
353,12
353,5
354,6
354,53
355,58
355,194
355,4
356,56
356,7
356,10
356,13
356,51
357,192
357,3
357,45
357,8
357,54
357,196
358,195
358,50
358,55
358,59
360,1
360,11
360,47
361,193
361,14
361,52
362,0
363,9
363,46
364,12
365,2
365,6
365,57
365,5
366,49
369,13
369,4
371,8
371,10
371,58
371,194
372,3
372,7
372,53
373,196
373,56
373,192
375,11
375,1
375,51
375,195
376,0
376,50
377,45
377,193
377,54
378,59
378,47
378,55
378,12
379,14
379,52
379,6
379,9
380,46
381,5
381,2
381,13
382,8
382,4
382,49
383,10
383,3
384,57
384,196
385,7
385,194
385,58
386,11
387,0
387,192
388,1
388,53
389,56
392,193
393,195
393,12
393,51
394,6
394,50
396,47
396,8
396,45
396,52
397,14
397,9
397,13
397,54
397,5
397,59
397,46
398,2
398,4
398,3
398,55
399,196
399,10
399,11
399,0
399,49
400,7
400,1
401,194
402,192
402,58
402,57
404,12
404,53
404,56
404,6
405,193
408,8
408,51
409,195
411,50
411,13
413,9
413,47
413,5
413,0
414,4
414,52
414,11
414,3
414,14
414,196
414,46
414,2
415,10
415,45
415,59
416,1
416,7
416,54
417,49
418,12
418,194
418,55
418,6
419,192
420,58
420,193
420,8
421,57
422,56
422,53
422,13
423,0
424,195
424,51
424,50
424,11
425,5
425,9
425,3
425,4
426,196
426,47
427,46
428,2
428,52
429,10
429,14
429,1
432,12
432,7
432,6
433,59
433,45
434,49
434,8
435,194
436,54
436,192
436,193
437,55
437,0
437,13
438,58
438,11
440,196
440,56
440,3
440,5
440,53
440,4
441,9
441,195
441,57
441,1
442,50
442,2
442,10
442,51
442,46
442,47
442,12
443,6
443,52
443,14
445,7
445,8
447,59
448,49
448,45
448,0
451,194
451,193
452,13
452,192
453,11
454,54
455,196
455,3
455,58
456,55
456,4
456,5
457,1
457,56
457,12
457,9
457,6
458,10
458,195
458,8
458,2
458,53
459,46
459,0
459,47
460,7
460,14
460,50
460,52
460,57
461,51
462,13
463,49
463,11
463,193
464,59
464,45
464,194
465,192
467,3
467,196
470,4
471,5
471,1
471,6
471,12
473,8
473,58
473,54
473,0
474,9
474,10
475,2
475,55
476,195
476,56
476,46
477,7
477,47
477,11
477,13
477,53
477,14
478,52
479,50
479,193
480,51
480,49
480,57
480,3
480,194
480,196
481,192
481,6
482,12
482,59
482,4
482,1
483,45
483,5
483,8
483,0
486,9
486,10
488,58
489,2
491,54
491,11
492,13
493,7
493,46
493,195
494,56
495,47
495,14
495,193
495,55
495,52
496,196
496,6
496,3
496,53
497,12
497,0
497,50
497,8
497,194
497,49
498,1
498,4
498,192
498,5
499,51
500,57
501,59
501,10
501,9
502,11
502,45
502,2
503,13
503,58
505,7
506,46
507,54
508,6
509,12
510,193
510,0
510,56
510,196
510,195
511,3
511,47
511,8
512,14
512,52
513,1
513,4
514,194
514,5
515,192
515,55
515,49
515,53
515,50
516,11
517,10
517,51
518,9
518,13
519,57
519,59
519,2
520,6
520,0
521,58
521,12
521,7
521,45
521,46
522,196
522,8
522,193
522,3
524,1
524,56
524,54
525,195
525,47
525,4
525,14
526,52
527,5
530,11
530,192
530,194
531,49
533,13
533,50
533,10
533,53
533,55
534,0
534,9
535,6
535,2
535,12
536,8
536,51
537,196
537,59
537,7
537,3
538,57
538,193
538,1
538,46
539,58
540,4
541,45
541,11
541,5
541,47
541,195
542,56
542,14
542,52
543,192
543,54
544,194
544,13
544,0
545,49
545,6
546,10
547,12
548,8
548,9
548,50
550,53
550,2
551,55
552,196
553,3
554,1
554,193
554,7
555,51
556,59
556,11
556,46
556,4
557,5
557,58
557,57
558,0
559,13
559,47
559,6
559,195
559,14
559,52
559,192
559,56
560,12
560,8
560,45
560,194
560,10
561,49
562,9
562,54
563,2
563,196
564,50
564,3
565,53
565,1
567,193
567,11
567,55
567,7
570,4
571,0
572,46
572,51
573,5
573,6
574,59
574,13
574,8
574,12
575,58
576,47
576,192
576,14
577,195
577,10
577,52
577,194
577,57
578,196
578,56
578,9
579,49
579,2
579,3
580,1
580,45
580,11
581,0
581,193
582,50
582,54
582,7
582,4
582,53
584,6
584,46
585,13
585,5
585,8
585,55
585,12
587,51
589,59
592,58
592,10
593,196
593,192
593,47
594,194
594,14
594,195
594,52
595,11
595,3
595,9
595,1
595,0
596,2
596,49
596,56
596,57
597,193
597,4
598,6
598,7
598,8
599,12
599,13
599,45
599,50
600,5
600,53
601,46
601,54
603,55
603,51
604,59
604,196
604,10
605,0
606,11
606,58
607,192
607,3
607,47
607,1
609,14
609,9
609,194
609,52
611,195
612,2
612,6
613,193
613,8
613,4
613,49
614,12
614,56
614,13
615,7
616,57
616,5
618,46
618,50
618,0
619,45
619,53
619,196
619,11
620,10
620,54
621,1
621,3
621,51
622,192
622,59
622,55
622,58
622,47
623,9
623,6
623,194
623,8
624,52
624,14
624,12
625,2
625,4
625,193
626,13
626,195
627,49
629,56
630,7
631,5
632,0
634,11
634,196
635,57
635,46
636,1
636,50
636,10
637,3
637,8
637,6
638,53
638,45
638,192
639,12
639,9
639,54
639,51
639,47
640,194
640,13
640,59
640,4
640,58
640,193
640,52
640,2
641,14
641,55
642,0
642,49
642,195
642,7
643,56
643,5
644,11
646,196
648,46
650,1
651,3
651,8
651,6
652,10
653,57
653,12
654,50
655,13
655,192
656,4
656,9
656,193
656,0
656,53
656,194
657,47
657,2
658,45
658,52
658,14
658,58
659,11
659,51
659,5
659,59
659,7
659,54
659,195
660,49
660,196
661,55
661,56
661,1
662,8
662,6
662,3
663,46
664,12
664,10
667,13
667,0
670,57
670,4
670,50
672,193
672,9
672,192
673,11
673,194
674,2
675,47
675,53
675,5
675,196
676,52
676,14
676,8
677,58
677,6
677,1
677,195
677,49
678,45
678,3
678,51
678,12
679,59
679,7
679,0
679,54
679,10
680,46
680,56
680,13
681,55
682,4
683,193
683,11
684,9
684,50
684,192
685,57
687,2
688,194
689,8
689,5
689,196
690,6
690,47
692,1
693,12
693,52
693,14
693,3
693,0
693,53
695,58
695,195
695,13
695,49
695,10
695,7
697,51
697,46
697,45
697,4
698,11
698,59
698,56
699,193
699,54
699,9
700,8
700,192
700,55
701,6
701,196
701,5
701,2
702,50
702,194
703,1
703,0
703,12
704,57
704,47
704,3
707,13
707,52
708,14
710,10
710,53
711,7
712,49
712,58
712,11
712,195
713,4
714,46
714,8
715,51
715,193
715,59
715,56
716,45
716,6
716,9
716,196
717,0
717,192
718,5
718,12
718,54
718,1
718,2
719,194
719,50
719,3
719,55
720,13
721,47
722,57
722,52
722,10
722,11
722,14
723,7
724,4
725,8
725,49
725,53
726,58
727,46
727,195
728,6
729,0
730,193
731,196
732,56
732,12
732,59
732,51
732,9
733,1
733,5
734,192
734,2
735,45
735,3
735,13
736,194
737,11
737,54
737,50
738,10
738,8
738,47
739,55
739,7
739,4
739,52
740,0
740,6
741,57
741,49
742,46
742,53
742,193
742,58
742,196
742,12
743,195
743,14
744,1
745,9
746,5
746,56
747,3
747,13
747,59
747,51
748,2
749,192
750,11
753,8
753,194
753,45
754,0
754,10
755,6
755,4
756,50
756,47
756,7
757,54
757,52
757,12
757,196
758,193
759,49
759,46
759,1
759,55
760,195
760,58
760,13
760,14
760,53
760,5
760,57
761,9
761,3
761,11
762,2
762,56
762,192
763,8
763,59
764,51
764,0
765,6
766,194
767,10
767,4
769,45
771,12
772,7
773,196
773,47
774,50
774,193
774,1
775,52
776,13
776,11
776,3
776,46
776,49
776,54
777,5
777,8
777,0
777,9
778,195
778,14
778,58
778,2
778,53
779,55
779,57
779,6
779,56
779,192
780,59
781,51
781,4
781,10
781,12
782,194
784,196
784,7
784,45
786,1
787,47
787,193
788,13
788,11
789,50
790,0
791,8
791,3
791,52
792,5
793,46
793,49
794,9
794,6
795,2
795,195
795,14
796,54
796,58
796,192
796,12
797,4
797,53
797,10
797,56
798,57
798,194
798,55
799,196
799,59
799,51
800,1
800,7
800,11
800,13
800,0
801,193
801,8
802,3
802,47
802,45
803,50
804,5
804,52
804,6
805,46
807,9
807,49
