timestamp,x,y,pol
17,19,3,1
17,107,8,1
17,27,125,1
17,65,45,1
17,80,69,1
17,115,96,1
17,83,104,1
17,63,99,1
17,94,104,1
17,63,11,0
17,40,55,1
17,64,21,1
17,53,97,1
17,68,39,1
17,108,38,1
17,69,94,1
17,22,58,1
17,70,97,0
17,81,49,1
17,71,85,1
17,55,19,1
17,101,80,1
17,87,86,1
17,76,35,1
17,124,11,1
17,111,52,1
17,103,34,1
17,16,90,1
17,116,115,1
17,94,12,1
17,89,119,1
17,27,79,1
17,30,119,1
17,109,119,1
17,70,126,1
17,124,37,1
17,70,126,0
17,98,97,1
17,48,61,1
17,0,43,1
17,8,123,1
17,12,53,1
17,12,97,1
17,72,9,1
17,6,30,1
17,4,85,1
17,80,8,1
17,19,21,1
17,62,84,1
17,20,101,1
17,37,21,1
17,103,23,1
17,44,110,1
17,103,32,1
17,41,84,1
17,6,70,1
17,115,79,1
17,111,69,1
17,123,119,1
17,67,123,1
17,41,118,1
17,74,17,1
17,70,127,0
17,4,63,1
17,57,11,1
17,16,57,1
17,112,41,1
17,70,127,1
17,99,18,1
17,44,6,1
17,107,5,1
17,69,72,1
17,125,19,1
17,14,113,1
17,70,126,1
17,70,127,0
17,71,125,1
17,31,73,1
17,21,40,1
17,65,87,1
17,16,121,1
17,58,117,1
17,108,25,1
17,97,79,1
17,84,46,1
17,6,107,1
17,113,18,1
17,116,48,1
17,111,84,1
17,125,40,1
17,113,104,1
17,35,51,1
17,116,117,1
17,54,71,1
17,48,92,1
17,68,97,1
17,62,6,1
17,48,93,1
17,45,45,1
17,57,37,1
17,90,55,1
17,18,113,1
17,8,19,1
17,19,4,1
17,117,13,1
17,72,49,1
17,19,117,1
17,55,75,1
17,25,103,1
17,5,82,1
17,120,75,1
17,112,116,1
17,6,35,1
17,51,42,1
17,79,93,1
17,101,111,1
17,116,46,1
17,101,95,1
17,87,116,1
17,39,120,1
17,58,86,1
17,31,1,1
17,44,83,1
17,76,68,1
17,28,9,1
17,11,4,1
17,75,2,1
17,70,127,1
17,54,113,1
17,124,49,1
17,32,61,1
17,85,57,1
17,61,110,1
17,4,92,1
17,70,127,0
17,54,18,1
17,91,76,1
17,75,37,1
17,0,51,1
17,50,68,1
17,121,26,1
17,121,105,1
17,26,77,1
17,114,52,1
17,45,119,1
17,80,10,1
17,115,66,1
17,46,124,1
17,22,125,1
17,120,18,1
17,127,98,1
17,55,88,1
17,36,75,1
17,11,84,1
17,70,44,1
17,87,33,1
17,87,24,1
17,38,69,1
17,101,87,1
17,12,3,1
17,103,6,1
17,55,13,1
17,70,127,1
17,124,29,1
17,9,44,1
17,127,111,1
17,7,47,1
17,70,127,0
17,88,97,1
17,104,88,1
17,98,44,1
17,4,62,1
17,52,55,1
17,69,127,1
17,67,41,1
17,69,126,0
17,29,115,1
17,59,63,1
17,0,88,1
17,73,3,1
17,95,104,1
17,19,113,1
17,53,81,1
17,98,3,1
17,69,126,0
17,69,126,0
17,22,43,1
17,88,6,1
17,69,126,0
17,115,53,1
17,76,60,1
17,70,127,1
17,70,127,0
17,59,10,1
17,62,1,1
17,71,38,1
17,47,20,1
17,59,52,1
17,105,45,1
17,127,18,1
17,51,19,1
17,114,11,1
17,0,114,1
17,44,69,1
17,0,50,1
17,10,68,1
17,15,84,1
17,120,35,1
17,73,118,1
17,40,27,1
17,39,91,1
17,37,52,1
17,89,71,1
17,92,115,1
17,92,71,1
17,69,126,1
17,110,110,1
17,69,126,0
17,69,126,0
17,14,123,1
17,69,126,0
17,10,116,1
17,37,76,1
17,85,115,1
17,13,50,1
17,25,75,1
17,43,56,1
17,125,76,1
17,43,70,1
17,52,39,1
17,70,127,1
17,34,99,1
17,91,88,1
17,49,23,1
17,70,127,0
17,70,127,0
17,69,16,1
17,33,26,1
17,89,41,1
17,70,126,0
17,70,126,0
17,70,126,1
17,8,61,1
17,125,81,1
17,58,53,1
17,46,43,1
17,43,99,1
17,46,21,1
17,82,0,1
17,2,35,1
17,47,51,1
17,48,120,1
17,98,30,1
17,92,15,1
17,66,65,1
17,38,30,1
17,39,75,1
17,112,47,1
17,107,24,1
17,25,78,1
17,25,23,1
17,43,63,1
17,16,30,1
17,58,32,1
17,37,47,1
17,97,108,1
17,75,40,1
17,87,101,1
17,116,64,1
17,109,90,1
17,40,50,1
17,59,19,1
17,21,92,1
17,48,53,1
17,43,73,1
17,123,33,1
17,27,105,1
17,121,8,1
17,27,19,1
17,38,83,1
17,44,52,1
17,77,6,1
17,13,88,1
17,29,10,1
17,47,74,1
17,75,15,1
17,69,126,1
17,31,96,1
17,41,70,1
17,69,126,0
17,69,126,0
17,69,126,0
17,69,127,0
17,89,85,1
17,70,127,1
17,77,107,1
17,57,49,1
17,93,76,1
17,40,90,1
17,110,103,1
17,48,88,1
17,70,127,0
17,70,127,0
17,26,87,1
17,94,65,1
17,62,23,1
17,69,126,1
17,4,112,1
17,112,69,1
17,69,127,1
17,73,60,1
17,109,97,1
17,34,112,1
17,55,54,1
17,109,22,1
17,45,126,1
17,69,126,0
17,112,74,1
17,42,111,1
17,17,33,1
17,53,86,1
17,69,126,1
17,120,51,1
17,2,122,1
17,75,105,1
17,49,51,1
17,41,120,1
17,69,126,1
17,75,100,1
17,69,126,0
17,69,126,0
17,69,126,0
17,35,67,1
17,85,51,1
17,44,81,1
17,59,71,1
17,107,115,1
17,31,101,1
17,78,17,1
17,27,52,1
17,2,69,1
17,69,126,1
17,70,127,1
17,23,122,1
17,94,46,1
17,24,126,1
17,69,126,0
17,69,126,0
17,81,115,1
17,70,127,0
17,70,127,0
17,69,126,0
17,69,127,0
17,83,46,1
17,18,118,1
17,35,12,1
17,34,87,1
17,70,127,1
17,93,8,1
17,37,125,1
17,53,109,1
17,70,127,0
17,70,127,0
17,78,90,1
17,54,2,1
