timestamp,neuron
4274,125
4274,109
4284,179
4287,159
4287,217
4291,192
4300,213
4300,157
4308,145
4309,108
4311,202
4312,212
4312,178
4316,193
4327,188
4328,144
4336,116
4338,216
4355,129
4355,115
4357,138
4363,211
4363,217
4381,96
4382,159
4386,184
4405,127
4409,186
4412,163
4437,180
4450,138
4450,213
4451,136
4452,149
4455,176
4456,193
4456,155
4457,147
4463,216
4464,118
4464,121
4469,129
4482,212
4484,166
4505,109
4508,153
4512,127
4512,196
4532,115
4535,214
4539,187
4547,213
4549,117
4550,139
4552,163
4562,176
4563,217
4564,138
4569,99
4578,128
4581,198
4582,142
4583,159
4586,189
4605,212
4606,140
4607,207
4607,192
4609,131
4612,118
4613,102
4632,92
4637,202
4639,115
4640,217
4642,211
4650,154
4653,160
4663,94
4664,128
4667,195
4672,131
4673,140
4679,117
4685,169
4702,126
4702,146
4703,95
4704,110
4705,151
4705,182
4705,206
4705,120
4706,119
4706,100
4707,155
4708,179
4709,217
4712,154
4713,202
4716,10
4728,92
4732,111
4735,216
4736,160
4738,94
4745,128
4748,123
4757,127
4758,115
4759,192
4759,141
4760,90
4760,105
4760,171
4761,164
4762,114
4765,215
4770,210
4770,131
4772,117
4777,217
4779,209
4779,206
4792,182
4792,190
4795,202
4799,184
4800,111
4802,146
4803,99
4806,121
4807,166
4813,154
4817,128
4822,96
4824,110
4825,158
4828,141
4828,140
4833,211
4841,216
4841,205
4845,217
4851,209
4853,206
4854,117
4856,160
4858,179
4859,127
4859,130
4860,157
4861,186
4861,181
4862,175
4863,200
4863,177
4863,191
4864,150
4865,193
4865,196
4870,121
4871,128
4872,171
4878,115
4879,184
4885,111
4889,185
4890,165
4895,155
4903,137
4904,116
4904,110
4907,125
4909,182
4912,216
4914,217
4945,141
4946,99
4948,128
4948,209
4953,146
4955,130
4956,117
4957,152
4962,147
4964,121
4982,148
4985,217
4986,182
4997,216
4998,116
5000,160
5000,126
5001,102
5002,105
5002,115
5002,158
5002,133
5003,198
5004,166
5004,131
5008,123
5011,213
5016,199
5023,138
5028,124
5031,119
5047,137
5049,153
5052,217
5055,125
5056,174
5057,181
5057,114
5060,182
5061,116
5062,183
5062,159
5066,216
5082,121
5083,106
5087,194
5087,177
5089,105
5090,193
5100,130
5102,147
5102,134
5105,199
5105,115
5107,163
5108,110
5111,179
5112,101
5119,217
5124,124
5125,114
5125,153
5128,137
5128,214
5129,100
5129,148
5131,116
5136,159
5138,181
5144,216
5147,169
5153,136
5158,93
5159,200
5161,196
5162,201
5166,205
5180,128
5182,145
5184,105
5187,191
5188,187
5192,144
5192,115
5192,116
5197,217
5201,148
5202,121
5207,112
5207,133
5208,163
5208,122
5208,138
5208,110
5208,137
5209,143
5210,167
5212,175
5214,189
5222,210
5223,134
5223,216
5225,141
5231,128
5236,174
5236,109
5237,125
5237,171
5238,156
5240,157
5241,193
5242,104
5246,153
5251,126
5252,145
5254,206
5254,140
5254,147
5255,115
5255,196
5256,186
5257,94
5257,178
5259,116
5260,184
5262,159
5267,144
5268,215
5270,133
5271,217
5273,191
5275,112
5281,95
5283,205
5283,129
5284,162
5292,128
5299,216
5300,167
5301,134
5306,92
5306,189
5311,174
5313,104
5327,126
5329,116
5334,153
5338,122
5346,171
5348,141
5348,148
5349,163
5349,133
5350,195
5353,108
5354,158
5355,212
5361,102
5363,111
5364,97
5365,216
5366,209
5366,112
5367,177
5368,217
5375,134
5380,215
5381,175
5404,129
5406,92
5406,186
5407,107
5407,172
5409,179
5411,176
5416,116
5416,122
5424,158
5427,148
5434,167
5434,182
5438,196
5439,216
5439,150
5443,141
5444,207
5450,217
5450,137
5450,154
5451,123
5451,174
5452,90
5452,157
5452,192
5452,121
5452,126
5452,145
5452,147
5452,139
5452,118
5452,180
5452,195
5452,104
5452,144
5452,127
5452,132
5453,102
5453,105
5453,146
5453,210
5453,208
5453,213
5453,100
5453,138
5453,188
5453,200
5453,171
5453,162
5453,131
5453,189
5453,177
5453,125
5453,203
5453,166
5454,165
5454,128
5454,99
5454,160
5454,95
5454,187
5454,184
5454,96
5454,163
5454,119
5454,193
5454,202
5454,198
5454,91
5454,124
5454,110
5454,149
5455,206
5455,185
5455,115
5455,201
5455,183
5455,120
5455,108
5455,134
5456,97
5456,155
5456,101
5456,133
5456,153
5458,94
5458,106
5458,143
5458,114
5459,169
5459,151
5459,135
5459,117
5459,159
5459,140
5460,130
5460,209
5461,191
5461,152
5462,199
5462,194
5462,129
5463,181
5463,164
5464,175
5464,205
5464,190
5464,178
5465,93
5469,211
5471,107
5475,122
5477,116
5480,179
5485,172
5485,186
5494,148
5498,158
5500,176
5505,182
5506,167
5509,128
5509,118
5510,127
5511,132
5511,104
5513,216
5513,90
5513,171
5514,141
5516,121
5517,126
5518,144
5519,138
5520,108
5520,110
5521,123
5521,96
5521,131
5522,139
5522,115
5522,124
5523,174
5523,91
5524,147
5525,157
5525,133
5525,125
5525,137
5525,129
5525,187
5526,160
5526,102
5526,207
5527,180
5528,198
5528,95
5529,119
5530,165
5530,99
5531,145
5533,196
5533,162
5534,105
5534,192
5535,188
5535,210
5536,217
5537,94
5537,189
5538,122
5539,155
5540,149
5541,134
5542,100
5542,101
5542,177
5543,200
5544,107
5545,195
5545,206
5545,213
5546,193
5547,202
5548,120
5556,116
5556,146
5556,97
5556,183
5556,106
5557,163
5558,93
5562,166
5563,172
5570,179
5575,201
5575,148
5576,184
5579,118
5584,171
5584,167
5585,127
5590,128
5592,133
5594,132
5595,144
5595,139
5599,96
5600,158
5600,208
5600,129
5600,126
5601,131
5601,91
5601,123
5604,135
5605,209
5606,121
5607,217
5608,104
5611,157
5615,216
5617,141
5617,122
5619,182
5621,138
5626,160
5627,137
5627,186
5628,108
5630,169
5631,116
5638,174
5639,124
5647,134
5650,110
5651,190
5657,149
5659,101
5659,153
5662,142
5664,188
5664,105
5665,147
5666,106
5678,167
5678,96
5678,114
5686,92
5687,125
5690,91
5690,200
5693,131
5695,133
5702,213
5702,119
5702,209
5703,112
5703,136
5704,217
5708,134
5708,150
5727,148
5728,216
5729,139
5738,182
5748,138
5750,146
5754,169
5756,101
5756,124
5757,131
5760,151
5761,94
5782,189
5782,92
5783,129
5784,144
5786,164
5787,155
5789,209
5790,195
5793,213
5795,134
5802,110
5811,95
5813,207
5826,119
5832,151
5838,148
5840,90
5845,124
5851,147
5854,92
5854,169
5855,128
5863,146
5866,131
5878,129
5887,125
5887,101
5888,191
5896,110
5900,136
5902,109
5904,100
5906,178
5907,176
5908,151
5909,94
5910,133
5911,216
5913,181
5935,92
5938,128
5939,147
5944,150
5954,139
5956,107
5956,115
5957,143
5958,186
5960,177
5961,190
5961,95
5968,185
5971,110
5977,104
5983,149
5985,180
5999,92
6006,133
6007,202
6008,176
6010,169
6010,160
6011,214
6011,138
6036,150
6037,122
6038,147
6043,159
6044,193
6045,99
6051,185
6053,124
6055,125
6055,152
6083,213
