timestamp,neuron
10015,200
10088,200
10165,200
10241,200
10316,200
10388,200
10465,200
10542,200
10616,200
10689,200
10767,200
10855,200
11514,45
11571,45
11584,112
11629,45
11688,45
11747,45
11806,45
11863,46
11867,45
11916,46
11931,45
11942,112
11969,46
12006,45
12024,46
12079,46
12130,46
12186,46
12214,47
12244,46
12272,47
12306,46
12331,47
12380,46
12390,47
12449,47
12509,47
12569,47
12574,112
12582,126
12593,162
12632,47
12645,134
12645,194
12645,214
12649,92
12651,206
12653,95
12653,159
12655,110
12656,112
12660,186
12663,97
12669,200
12682,140
12687,107
12687,146
12700,47
12736,112
12783,47
12818,112
12898,112
12914,49
12919,126
12920,172
12921,134
12922,174
12922,214
12923,154
12924,206
12925,148
12926,178
12926,110
12927,188
12928,107
12929,111
12930,153
12930,95
12931,137
12932,106
12939,144
12944,202
12946,199
12948,187
12948,99
12958,171
12961,192
12962,193
12971,49
12974,112
12980,134
13029,49
13057,112
13061,126
13087,49
13138,112
13146,49
13204,49
13218,112
13264,49
13264,50
13298,112
13326,50
13326,49
13378,112
13387,50
13395,49
13403,126
13406,172
13406,134
13410,174
13410,214
13414,154
13417,206
13420,148
13424,178
13426,110
13433,188
13442,107
13449,50
13454,112
13473,153
13510,50
13538,112
13544,49
13572,50
13580,172
13580,154
13581,214
13581,138
13582,188
13582,107
13583,206
13584,130
13584,104
13584,190
13585,144
13585,207
13585,106
13586,153
13586,137
13587,102
13589,162
13590,110
13592,140
13592,181
13592,119
13596,159
13597,142
13597,115
13605,187
13606,114
13614,51
13617,112
13621,126
13625,174
13626,215
13632,184
13634,178
13636,50
13645,146
13651,182
13651,148
13653,171
13655,164
13659,154
13672,51
13680,138
13681,172
13681,214
13691,107
13694,188
13697,112
13698,206
13704,106
13711,50
13717,132
13725,153
13730,51
13740,216
13747,126
13778,112
13789,51
13848,51
13856,112
13907,51
13938,112
13964,52
13967,51
14018,112
14025,52
14029,51
14063,126
14085,52
14095,51
14098,112
14106,172
14106,214
14107,174
14113,184
14115,178
14123,107
14124,188
14130,206
14133,182
14134,164
14135,146
14145,52
14147,154
14149,171
14152,148
14178,112
14181,51
14197,126
14206,52
14258,112
14266,52
14314,53
14321,126
14322,162
14322,172
14324,174
14324,214
14327,194
14328,216
14328,52
14332,148
14332,130
14333,184
14335,96
14335,112
14336,110
14339,178
14339,206
14342,142
14344,144
14351,182
14352,133
14364,97
14365,127
14366,53
14382,119
14391,52
14415,53
14417,112
14421,126
14421,172
14422,162
14422,174
14423,214
14424,194
14425,216
14426,148
14427,130
14427,96
14428,184
14428,110
14429,206
14430,178
14430,133
14430,142
14430,144
14431,182
14437,106
14439,127
14439,186
14442,107
14443,217
14444,137
14444,200
14447,171
14447,153
14448,146
14454,132
14456,52
14462,207
14466,53
14499,112
14516,53
14524,126
14525,111
14527,162
14527,172
14528,174
14529,214
14529,52
14532,194
14536,216
14542,148
14543,130
14545,184
14550,110
14552,96
14557,147
14567,53
14567,178
14569,206
14577,112
14591,142
14613,52
14617,53
14619,126
14620,174
14621,182
14621,172
14621,154
