timestamp,neuron
21262,200
21333,200
21409,200
21486,200
21562,200
21633,200
21709,200
21786,200
21862,200
21933,200
22011,200
22099,200
22760,45
22817,45
22856,112
22874,45
22932,45
22949,112
22991,45
23050,45
23109,46
23111,45
23165,46
23175,45
23190,112
23217,46
23252,45
23270,46
23271,112
23326,46
23380,46
23432,46
23461,47
23490,46
23519,47
23553,46
23577,47
23629,46
23635,47
23693,47
23716,112
23753,47
23813,47
23816,112
23819,126
23821,162
23823,134
23823,194
23824,214
23826,92
23826,206
23827,159
23827,95
23829,110
23830,186
23832,97
23832,200
23835,140
23837,146
23841,107
23847,164
23847,119
23851,192
23855,132
23855,144
23859,106
23870,165
23875,211
23876,47
23885,134
23888,217
23888,92
23896,114
23898,130
23899,112
23900,202
23902,163
23902,133
23903,187
23906,199
23912,109
23932,196
23945,47
23979,112
24030,47
24059,112
24138,112
24161,49
24172,126
24178,134
24180,172
24188,214
24216,49
24218,112
24225,154
24226,206
24227,148
24228,110
24229,178
24229,188
24230,107
24231,95
24232,111
24232,153
24232,137
24233,106
24240,144
24243,202
24247,187
24248,199
24249,99
24254,158
24255,193
24255,171
24257,192
24267,104
24267,207
24273,49
24281,126
24283,134
24284,172
24288,214
24291,176
24299,112
24331,49
24379,112
24389,49
24448,49
24457,112
24508,49
24510,50
24539,112
24570,49
24572,50
24619,112
24633,50
24640,49
24648,126
24651,172
24651,154
24652,214
24652,134
24664,206
24666,107
24667,188
24684,148
24694,50
24695,178
24697,112
24700,138
24703,130
24703,104
24703,190
24703,207
24703,144
24703,106
24703,137
24704,102
24704,153
24704,110
24705,162
24705,181
24705,119
24706,115
24706,140
24707,142
24707,114
24707,159
24709,187
24710,158
24711,215
24715,200
24715,132
24716,175
24718,143
24720,165
24721,109
24722,136
24734,185
24746,217
24756,50
24769,154
24771,172
24774,214
24776,138
24778,112
24779,188
24779,107
24784,206
24787,130
24787,104
24818,50
24854,144
24857,207
24859,106
24860,112
24861,153
24861,51
24871,126
24878,214
24880,172
24883,50
24910,184
24918,51
24930,178
24939,112
24940,107
24940,188
24943,164
24944,206
24944,154
24945,146
24945,182
24948,171
24950,148
24956,50
24965,172
24967,138
24967,214
24971,130
24971,104
24971,144
24972,207
24972,190
24973,106
24973,137
24974,110
24974,153
24975,102
24975,51
24977,162
24979,126
24980,216
24981,181
24981,140
24982,119
24982,159
24983,142
24984,132
24984,115
24985,187
24987,158
24988,202
24989,217
24989,199
24990,175
24990,200
24992,133
24993,109
24994,192
24998,163
25003,189
25016,136
25020,112
25031,123
25034,51
25045,214
25045,172
25055,184
25058,178
25079,107
25092,51
25098,112
25109,126
25151,51
25180,112
25210,52
25211,51
25260,112
25270,52
25273,51
25284,126
25296,214
25312,172
25331,52
25337,112
25340,51
25353,174
25363,184
25366,178
25391,52
25398,107
25414,112
25428,51
25451,52
25481,112
